size 25 20
tileset outdoor
visibilityRadius 8
unexplored


encounter "boss_lvl07" 5 2

item 1 "sonorinCanyonExitDoor" 7 1
tile base 4 15 base/desert5
tile base 3 15 base/desert2
tile base 2 15 base/desert1
tile base 1 15 base/desert0
tile base 0 15 base/desert6
tile base 24 14 base/desert3
tile base 23 14 base/desert4
tile base 22 14 base/desert2
tile base 21 14 base/desert6
tile base 20 14 base/desert7
tile base 19 14 base/desert7
tile base 18 14 base/desert5
tile base 17 14 base/desert5
tile base 16 14 base/desert3
tile base 15 14 base/desert7
tile base 14 14 base/desert7
tile base 13 14 base/desert0
tile base 12 14 base/desert1
tile base 11 14 base/desert5
tile base 10 14 base/desert6
tile base 9 14 base/desert7
tile base 8 14 base/desert0
tile base 7 14 base/desert7
tile base 6 14 base/desert4
tile base 5 14 base/desert6
tile base 4 14 base/desert4
tile base 3 14 base/desert2
tile base 2 14 base/desert5
tile base 1 14 base/desert1
tile base 0 14 base/desert7
tile base 24 13 base/desert4
tile base 23 13 base/desert3
tile base 22 13 base/desert4
tile base 21 13 base/desert6
tile base 20 13 base/desert2
tile base 19 13 base/desert1
tile base 18 13 base/desert6
tile base 17 13 base/desert6
tile base 16 13 base/desert2
tile base 15 13 base/desert5
tile base 14 13 base/desert6
tile base 13 13 base/desert0
tile base 12 13 base/desert5
tile base 11 13 base/desert4
tile base 10 13 base/desert2
tile base 9 13 base/desert1
tile base 8 13 base/desert6
tile base 7 13 base/desert3
tile base 6 13 base/desert3
tile base 5 13 base/desert6
tile base 4 13 base/desert0
tile base 3 13 base/desert0
tile base 2 13 base/desert0
tile base 1 13 base/desert3
tile base 0 13 base/desert5
tile base 24 12 base/desert4
tile base 23 12 base/desert4
tile base 22 12 base/desert6
tile base 21 12 base/desert5
tile base 20 12 base/desert3
tile base 19 12 base/desert3
tile base 18 12 base/desert2
tile base 17 12 base/desert1
tile base 16 12 base/desert2
tile base 15 12 base/desert0
tile base 14 12 base/desert4
tile base 13 12 base/desert1
tile base 12 12 base/desert1
tile base 11 12 base/desert7
tile base 10 12 base/desert2
tile base 9 12 base/desert0
tile base 8 12 base/desert2
tile base 7 12 base/desert5
tile base 6 12 base/desert2
tile base 5 12 base/desert3
tile base 4 12 base/desert1
tile base 3 12 base/desert0
tile base 2 12 base/dirt1
tile base 1 12 base/desert5
tile base 0 12 base/desert7
tile base 24 11 base/desert2
tile base 23 11 base/desert3
tile base 22 11 base/desert3
tile base 21 11 base/desert4
tile base 20 11 base/desert3
tile base 19 11 base/desert4
tile base 18 11 base/desert4
tile base 17 11 base/desert0
tile base 16 11 base/desert6
tile base 15 11 base/desert4
tile base 14 11 base/desert5
tile base 13 11 base/desert1
tile base 12 11 base/desert3
tile base 11 11 base/desert0
tile base 10 11 base/desert0
tile base 9 11 base/desert5
tile base 8 11 base/desert3
tile base 7 11 base/desert2
tile base 6 11 base/dirt3
tile base 5 11 base/desert4
tile base 4 11 base/desert7
tile base 3 11 base/desert1
tile base 2 11 base/dirt5
tile base 1 11 base/dirt2
tile base 0 11 base/dirt2
tile base 24 10 base/desert1
tile base 23 10 base/desert2
tile base 22 10 base/desert7
tile base 21 10 base/desert4
tile base 20 10 base/desert0
tile base 19 10 base/desert0
tile base 18 10 base/desert4
tile base 17 10 base/desert7
tile base 16 10 base/desert0
tile base 15 10 base/desert1
tile base 14 10 base/desert0
tile base 13 10 base/desert5
tile base 12 10 base/desert0
tile base 11 10 base/desert3
tile base 10 10 base/desert4
tile base 9 10 base/desert5
tile base 8 10 base/desert2
tile base 7 10 base/dirt0
tile base 6 10 base/dirt2
tile base 5 10 base/desert2
tile base 4 10 base/desert5
tile base 3 10 base/desert7
tile base 2 10 base/desert1
tile base 1 10 base/dirt1
tile base 0 10 base/dirt3
tile base 24 9 base/desert7
tile base 23 9 base/desert0
tile base 22 9 base/desert2
tile base 21 9 base/desert1
tile base 20 9 base/desert0
tile base 19 9 base/desert2
tile base 18 9 base/desert0
tile base 17 9 base/desert6
tile base 16 9 base/desert4
tile base 15 9 base/desert5
tile base 14 9 base/desert6
tile base 13 9 base/desert2
tile base 12 9 base/desert6
tile base 11 9 base/desert2
tile base 10 9 base/desert3
tile base 9 9 base/desert1
tile base 8 9 base/dirt3
tile base 7 9 base/dirt5
tile base 6 9 base/desert2
tile base 5 9 base/desert2
tile base 4 9 base/desert5
tile base 3 9 base/desert4
tile base 2 9 base/desert0
tile base 1 9 base/dirt6
tile base 0 9 base/dirt5
tile base 24 8 base/desert3
tile base 23 8 base/desert5
tile base 22 8 base/desert1
tile base 21 8 base/desert3
tile base 20 8 base/desert1
tile base 19 8 base/desert7
tile base 18 8 base/desert0
tile base 17 8 base/desert5
tile base 16 8 base/desert0
tile base 15 8 base/desert2
tile base 14 8 base/desert7
tile base 13 8 base/desert3
tile base 12 8 base/desert2
tile base 11 8 base/desert5
tile base 10 8 base/desert1
tile base 9 8 base/dirt2
tile base 8 8 base/dirt2
tile base 7 8 base/dirt3
tile base 6 8 base/desert1
tile base 5 8 base/desert5
tile base 4 8 base/desert1
tile base 3 8 base/desert1
tile base 2 8 base/desert2
tile base 1 8 base/dirt6
tile base 0 8 base/dirt2
tile base 24 7 base/desert6
tile base 23 7 base/desert7
tile base 22 7 base/desert0
tile base 21 7 base/desert5
tile base 20 7 base/desert2
tile base 19 7 base/desert7
tile base 18 7 base/desert0
tile base 17 7 base/desert0
tile base 16 7 base/desert4
tile base 15 7 base/desert2
tile base 14 7 base/desert1
tile base 13 7 base/desert3
tile base 12 7 base/desert4
tile base 11 7 base/desert4
tile base 10 7 base/desert6
tile base 9 7 base/dirt4
tile base 8 7 base/dirt1
tile base 7 7 base/desert7
tile base 6 7 base/desert3
tile base 5 7 base/desert5
tile base 4 7 base/desert1
tile base 3 7 base/desert3
tile base 2 7 base/desert3
tile base 1 7 base/dirt5
tile base 0 7 base/dirt4
tile base 24 6 base/desert4
tile base 23 6 base/desert6
tile base 22 6 base/desert6
tile base 21 6 base/desert5
tile base 20 6 base/desert1
tile base 19 6 base/desert0
tile base 18 6 base/desert2
tile base 17 6 base/desert4
tile base 16 6 base/desert0
tile base 15 6 base/desert3
tile base 14 6 base/desert3
tile base 13 6 base/desert6
tile base 12 6 base/desert1
tile base 11 6 base/desert2
tile base 10 6 base/desert6
tile base 9 6 base/dirt6
tile base 8 6 base/dirt5
tile base 7 6 base/desert2
tile base 6 6 base/desert6
tile base 5 6 base/desert3
tile base 4 6 base/desert0
tile base 3 6 base/desert0
tile base 2 6 base/desert5
tile base 1 6 base/dirt1
tile base 0 6 base/dirt3
tile base 24 5 base/desert7
tile base 23 5 base/desert0
tile base 22 5 base/desert0
tile base 21 5 base/desert4
tile base 20 5 base/desert4
tile base 19 5 base/desert0
tile base 18 5 base/desert7
tile base 17 5 base/desert4
tile base 16 5 base/desert7
tile base 15 5 base/desert2
tile base 14 5 base/desert1
tile base 13 5 base/desert4
tile base 12 5 base/desert2
tile base 11 5 base/desert0
tile base 10 5 base/desert4
tile base 9 5 base/dirt6
tile base 8 5 base/dirt6
tile base 7 5 base/desert5
tile base 6 5 base/desert3
tile base 5 5 base/desert1
tile base 4 5 base/desert7
tile base 3 5 base/desert1
tile base 2 5 base/desert3
tile base 1 5 base/dirt6
tile base 0 5 base/dirt3
tile base 24 4 base/desert6
tile base 23 4 base/desert6
tile base 22 4 base/desert3
tile base 21 4 base/desert0
tile base 20 4 base/desert6
tile base 19 4 base/desert6
tile base 18 4 base/desert0
tile base 17 4 base/desert3
tile base 16 4 base/desert3
tile base 15 4 base/desert6
tile base 14 4 base/desert6
tile base 13 4 base/desert7
tile base 12 4 base/desert5
tile base 11 4 base/desert2
tile base 10 4 base/dirt5
tile base 9 4 base/dirt6
tile base 8 4 base/dirt6
tile base 7 4 base/desert2
tile base 6 4 base/desert5
tile base 5 4 base/desert2
tile base 4 4 base/desert6
tile base 3 4 base/desert5
tile base 2 4 base/desert3
tile base 1 4 base/dirt3
tile base 0 4 base/dirt5
tile base 24 3 base/desert2
tile base 23 3 base/desert6
tile base 22 3 base/desert0
tile base 21 3 base/desert7
tile base 20 3 base/desert5
tile base 19 3 base/desert5
tile base 18 3 base/desert3
tile base 17 3 base/desert1
tile base 16 3 base/desert1
tile base 15 3 base/desert5
tile base 14 3 base/desert5
tile base 13 3 base/desert3
tile base 12 3 base/dirt5
tile base 11 3 base/dirt1
tile base 10 3 base/dirt1
tile base 9 3 base/dirt4
tile base 8 3 base/desert4
tile base 7 3 base/desert7
tile base 6 3 base/desert1
tile base 5 3 base/desert2
tile base 4 3 base/desert6
tile base 3 3 base/desert3
tile base 2 3 base/desert4
tile base 1 3 base/dirt4
tile base 0 3 base/dirt0
tile base 24 2 base/desert3
tile base 23 2 base/desert6
tile base 22 2 base/desert1
tile base 21 2 base/desert5
tile base 20 2 base/desert1
tile base 19 2 base/desert6
tile base 18 2 base/desert7
tile base 17 2 base/desert0
tile base 16 2 base/desert0
tile base 15 2 base/desert0
tile base 14 2 base/desert5
tile base 13 2 base/desert2
tile base 12 2 base/dirt1
tile base 11 2 base/dirt1
tile base 10 2 base/desert6
tile base 9 2 base/desert5
tile base 8 2 base/desert3
tile base 7 2 base/desert3
tile base 6 2 base/desert6
tile base 5 2 base/desert7
tile base 4 2 base/desert1
tile base 3 2 base/desert3
tile base 2 2 base/desert0
tile base 1 2 base/dirt4
tile base 0 2 base/dirt2
tile base 24 1 base/desert5
tile base 23 1 base/desert7
tile base 22 1 base/desert3
tile base 21 1 base/desert2
tile base 20 1 base/desert4
tile base 19 1 base/desert1
tile base 18 1 base/desert0
tile base 17 1 base/desert3
tile base 16 1 base/desert4
tile base 15 1 base/desert4
tile base 14 1 base/desert6
tile base 13 1 base/desert4
tile base 12 1 base/dirt0
tile base 11 1 base/dirt4
tile base 10 1 base/desert5
tile base 9 1 base/desert5
tile base 8 1 base/desert1
tile base 7 1 base/desert6
tile base 6 1 base/desert2
tile base 5 1 base/desert5
tile base 4 1 base/desert0
tile base 3 1 base/desert3
tile base 2 1 base/desert0
tile base 1 1 base/dirt6
tile base 0 1 base/dirt6
tile base 24 0 base/desert4
tile base 23 0 base/desert6
tile base 22 0 base/desert1
tile base 21 0 base/desert5
tile base 20 0 base/desert0
tile base 19 0 base/desert0
tile base 18 0 base/desert2
tile base 17 0 base/desert7
tile base 16 0 base/desert3
tile base 15 0 base/desert4
tile base 14 0 base/desert0
tile base 13 0 base/desert2
tile base 12 0 base/dirt3
tile base 11 0 base/desert0
tile base 10 0 base/dirt2
tile base 9 0 base/desert4
tile base 8 0 base/desert7
tile base 7 0 base/desert3
tile base 6 0 base/desert3
tile base 5 0 base/desert5
tile base 4 0 base/desert3
tile base 3 0 base/desert7
tile base 2 0 base/dirt1
tile base 1 0 base/dirt3
tile base 0 0 base/dirt6
tile borders 2 11 borders/desert-n
tile borders 2 11 borders/desert-ne
tile borders 2 11 borders/desert-se
tile borders 8 8 borders/desert-nw
tile borders 7 8 borders/desert-n
tile borders 7 8 borders/desert-sw
tile borders 7 8 borders/desert-nw
tile borders 9 5 borders/desert-ne
tile borders 9 5 borders/desert-se
tile borders 8 4 borders/desert-n
tile borders 8 4 borders/desert-nw
tile borders 10 3 borders/desert-n
tile borders 10 3 borders/desert-nw
tile borders 9 3 borders/desert-n
tile borders 9 3 borders/desert-nw
tile borders 1 3 borders/desert-ne
tile borders 12 2 borders/desert-ne
tile borders 11 2 borders/desert-nw
tile borders 1 2 borders/desert-ne
tile borders 1 2 borders/desert-se
tile borders 12 1 borders/desert-nw
tile borders 12 1 borders/desert-ne
tile borders 12 1 borders/desert-se
tile borders 11 1 borders/desert-n
tile borders 11 1 borders/desert-nw
tile borders 11 1 borders/desert-sw
tile borders 1 1 borders/desert-ne
tile borders 1 1 borders/desert-se
tile borders 12 0 borders/desert-sw
tile borders 12 0 borders/desert-se
tile borders 10 0 borders/desert-se
tile borders 10 0 borders/desert-s
tile borders 10 0 borders/desert-sw
tile borders 2 0 borders/desert-s
tile borders 2 0 borders/desert-se
tile borders 1 0 borders/desert-se
tile entity 11 19 cliffs/concave-r
tile entity 9 19 cliffs/concave-r
tile entity 7 19 cliffs/concave-l
tile entity 4 19 cliffs/concave-tl
tile entity 2 19 cliffs/concave-tl
tile entity 20 18 cliffs/concave-tl
tile entity 20 18 cliffs/convex-bl
tile entity 20 18 cliffs/convex-br
tile entity 18 18 cliffs/concave-tl
tile entity 18 18 cliffs/convex-bl
tile entity 18 18 cliffs/convex-br
tile entity 16 18 cliffs/concave-tl
tile entity 16 18 cliffs/convex-bl
tile entity 16 18 cliffs/convex-br
tile entity 14 18 cliffs/concave-tl
tile entity 14 18 cliffs/convex-bl
tile entity 14 18 cliffs/convex-br
tile entity 12 18 cliffs/concave-tl
tile entity 12 18 cliffs/convex-bl
tile entity 12 18 cliffs/convex-br
tile entity 10 18 cliffs/convex-bl
tile entity 10 18 cliffs/concave-tr
tile entity 8 18 cliffs/concave-tr
tile entity 7 18 cliffs/concave-tl
tile entity 6 18 cliffs/concave-tl
tile entity 6 18 cliffs/convex-br
tile entity 5 18 cliffs/concave-tl
tile entity 5 18 cliffs/convex-br
tile entity 4 18 cliffs/concave-tl
tile entity 4 18 cliffs/convex-bl
tile entity 4 18 cliffs/convex-br
tile entity 3 18 cliffs/concave-tr
tile entity 2 18 cliffs/concave-r
tile entity 2 18 cliffs/concave-tl
tile entity 2 18 cliffs/convex-bl
tile entity 2 18 cliffs/convex-br
tile entity 2 18 cliffs/convex-l
tile entity 22 17 cliffs/concave-l
tile entity 22 17 cliffs/convex-br
tile entity 22 17 cliffs/convex-r
tile entity 21 17 cliffs/concave-tl
tile entity 21 17 cliffs/convex-br
tile entity 19 17 cliffs/concave-tr
tile entity 17 17 cliffs/concave-tr
tile entity 15 17 cliffs/concave-tr
tile entity 14 17 cliffs/concave-br
tile entity 14 17 cliffs/concave-bl
tile entity 13 17 cliffs/concave-tr
tile entity 11 17 cliffs/convex-bl
tile entity 11 17 cliffs/concave-tr
tile entity 10 17 cliffs/convex-bl
tile entity 10 17 cliffs/concave-tr
tile entity 9 17 cliffs/convex-bl
tile entity 9 17 cliffs/concave-tr
tile entity 8 17 cliffs/concave-tr
tile entity 7 17 cliffs/concave-tl
tile entity 7 17 cliffs/convex-br
tile entity 6 17 cliffs/concave-tl
tile entity 6 17 cliffs/convex-br
tile entity 5 17 cliffs/concave-tl
tile entity 5 17 cliffs/convex-br
tile entity 3 17 cliffs/concave-tr
tile entity 2 17 cliffs/concave-r
tile entity 2 17 cliffs/convex-l
tile entity 22 16 cliffs/concave-l
tile entity 22 16 cliffs/convex-r
tile entity 18 16 cliffs/concave-br
tile entity 18 16 cliffs/convex-tl
tile entity 17 16 cliffs/concave-br
tile entity 17 16 cliffs/concave-bl
tile entity 16 16 cliffs/convex-tl
tile entity 16 16 cliffs/convex-tr
tile entity 15 16 cliffs/convex-tl
tile entity 15 16 cliffs/concave-br
tile entity 13 16 cliffs/convex-tr
tile entity 13 16 cliffs/concave-bl
tile entity 12 16 cliffs/convex-tl
tile entity 12 16 cliffs/convex-tr
tile entity 11 16 cliffs/concave-br
tile entity 11 16 cliffs/concave-bl
tile entity 10 16 cliffs/convex-tr
tile entity 10 16 cliffs/concave-bl
tile entity 9 16 cliffs/convex-bl
tile entity 9 16 cliffs/concave-tr
tile entity 8 16 cliffs/concave-tr
tile entity 7 16 cliffs/concave-tl
tile entity 7 16 cliffs/convex-br
tile entity 2 16 cliffs/concave-r
tile entity 2 16 cliffs/convex-l
tile entity 22 15 cliffs/concave-l
tile entity 22 15 cliffs/convex-r
tile entity 19 15 cliffs/concave-r
tile entity 14 15 cliffs/concave-tl
tile entity 14 15 cliffs/convex-bl
tile entity 14 15 cliffs/convex-br
tile entity 12 15 cliffs/concave-r
tile entity 11 15 cliffs/concave-br
tile entity 11 15 cliffs/concave-bl
tile entity 10 15 cliffs/concave-l
tile entity 9 15 cliffs/concave-l
tile entity 2 15 cliffs/concave-r
tile entity 2 15 cliffs/convex-l
tile entity 22 14 cliffs/convex-r
tile entity 22 14 cliffs/convex-tr
tile entity 22 14 cliffs/concave-bl
tile entity 18 14 cliffs/concave-tr
tile entity 17 14 cliffs/concave-tl
tile entity 17 14 cliffs/convex-bl
tile entity 17 14 cliffs/convex-br
tile entity 16 14 cliffs/concave-tr
tile entity 15 14 cliffs/concave-tl
tile entity 15 14 cliffs/convex-br
tile entity 13 14 cliffs/concave-r
tile entity 13 14 cliffs/convex-bl
tile entity 13 14 cliffs/convex-l
tile entity 13 14 cliffs/concave-tr
tile entity 10 14 cliffs/concave-br
tile entity 10 14 cliffs/concave-tl
tile entity 10 14 cliffs/concave-bl
tile entity 9 14 cliffs/convex-r
tile entity 9 14 cliffs/convex-tr
tile entity 9 14 cliffs/concave-bl
tile entity 8 14 cliffs/concave-l
tile entity 3 14 features/dragon-statue
tile entity 2 14 cliffs/concave-r
tile entity 2 14 cliffs/convex-l
tile entity 24 13 cliffs/concave-r
tile entity 23 13 cliffs/concave-br
tile entity 23 13 cliffs/concave-bl
tile entity 22 13 cliffs/concave-l
tile entity 21 13 cliffs/concave-l
tile entity 16 13 cliffs/concave-br
tile entity 16 13 cliffs/convex-tl
tile entity 15 13 cliffs/concave-br
tile entity 15 13 cliffs/concave-bl
tile entity 14 13 cliffs/concave-l
tile entity 12 13 cliffs/concave-r
tile entity 12 13 cliffs/convex-bl
tile entity 12 13 cliffs/convex-l
tile entity 12 13 cliffs/concave-tr
tile entity 11 13 cliffs/concave-r
tile entity 11 13 cliffs/concave-tr
tile entity 9 13 cliffs/concave-l
tile entity 8 13 cliffs/concave-l
tile entity 8 13 cliffs/convex-r
tile entity 3 13 features/dragon-statue
tile entity 22 12 cliffs/concave-tl
tile entity 21 12 cliffs/concave-bl
tile entity 21 12 cliffs/convex-r
tile entity 21 12 cliffs/convex-tr
tile entity 20 12 cliffs/concave-bl
tile entity 20 12 cliffs/convex-tr
tile entity 18 12 cliffs/concave-br
tile entity 18 12 cliffs/convex-tl
tile entity 17 12 cliffs/concave-br
tile entity 17 12 cliffs/convex-tl
tile entity 14 12 cliffs/concave-l
tile entity 14 12 cliffs/convex-r
tile entity 12 12 cliffs/concave-r
tile entity 12 12 cliffs/convex-l
tile entity 11 12 cliffs/concave-r
tile entity 11 12 cliffs/convex-l
tile entity 9 12 cliffs/concave-l
tile entity 9 12 cliffs/convex-r
tile entity 8 12 cliffs/concave-l
tile entity 8 12 cliffs/convex-r
tile entity 7 12 features/dragon-statue
tile entity 6 12 features/dragon-statue
tile entity 2 12 cliffs/concave-l
tile entity 2 12 cliffs/convex-bl
tile entity 2 12 cliffs/convex-br
tile entity 2 12 cliffs/convex-r
tile entity 1 12 cliffs/concave-tr
tile entity 1 12 cliffs/convex-bl
tile entity 1 12 features/boulder4
tile entity 0 12 cliffs/concave-tr
tile entity 24 11 cliffs/convex-bl
tile entity 23 11 cliffs/concave-tr
tile entity 19 11 cliffs/convex-tl
tile entity 19 11 cliffs/convex-tr
tile entity 14 11 cliffs/concave-tl
tile entity 12 11 cliffs/concave-br
tile entity 12 11 cliffs/convex-l
tile entity 12 11 cliffs/convex-tl
tile entity 11 11 cliffs/concave-r
tile entity 11 11 cliffs/convex-l
tile entity 9 11 cliffs/concave-l
tile entity 9 11 cliffs/convex-r
tile entity 8 11 cliffs/concave-l
tile entity 8 11 cliffs/convex-r
tile entity 6 11 cliffs/concave-r
tile entity 6 11 cliffs/concave-tl
tile entity 6 11 cliffs/convex-bl
tile entity 6 11 cliffs/convex-br
tile entity 6 11 cliffs/convex-l
tile entity 2 11 cliffs/convex-r
tile entity 2 11 cliffs/convex-tr
tile entity 2 11 cliffs/concave-bl
tile entity 1 11 cliffs/convex-bl
tile entity 1 11 cliffs/concave-tr
tile entity 0 11 cliffs/concave-tr
tile entity 23 10 cliffs/convex-bl
tile entity 23 10 cliffs/concave-tr
tile entity 22 10 cliffs/convex-bl
tile entity 22 10 cliffs/concave-tr
tile entity 16 10 cliffs/concave-tl
tile entity 16 10 cliffs/convex-br
tile entity 15 10 cliffs/concave-tl
tile entity 15 10 cliffs/convex-br
tile entity 13 10 cliffs/concave-r
tile entity 10 10 cliffs/concave-tr
tile entity 9 10 cliffs/concave-tl
tile entity 8 10 cliffs/concave-tl
tile entity 7 10 cliffs/concave-l
tile entity 7 10 cliffs/convex-br
tile entity 7 10 cliffs/convex-r
tile entity 6 10 cliffs/concave-br
tile entity 6 10 cliffs/convex-l
tile entity 6 10 cliffs/convex-tl
tile entity 1 10 cliffs/concave-l
tile entity 0 10 cliffs/concave-l
tile entity 0 10 cliffs/convex-br
tile entity 0 10 cliffs/convex-r
tile entity 21 9 cliffs/convex-bl
tile entity 21 9 cliffs/concave-tr
tile entity 20 9 cliffs/convex-bl
tile entity 20 9 cliffs/concave-tr
tile entity 17 9 cliffs/concave-l
tile entity 17 9 cliffs/convex-br
tile entity 17 9 cliffs/convex-r
tile entity 14 9 cliffs/concave-r
tile entity 13 9 cliffs/concave-br
tile entity 13 9 cliffs/convex-l
tile entity 13 9 cliffs/convex-tl
tile entity 12 9 cliffs/concave-br
tile entity 12 9 cliffs/concave-bl
tile entity 10 9 cliffs/concave-l
tile entity 10 9 cliffs/convex-br
tile entity 10 9 cliffs/convex-r
tile entity 9 9 cliffs/concave-tl
tile entity 9 9 cliffs/convex-br
tile entity 8 9 cliffs/concave-tl
tile entity 8 9 cliffs/convex-br
tile entity 7 9 cliffs/concave-r
tile entity 7 9 cliffs/concave-tl
tile entity 1 9 cliffs/concave-l
tile entity 1 9 cliffs/convex-r
tile entity 0 9 cliffs/concave-l
tile entity 0 9 cliffs/convex-r
tile entity 24 8 cliffs/concave-bl
tile entity 19 8 cliffs/convex-bl
tile entity 19 8 cliffs/concave-tr
tile entity 18 8 cliffs/concave-tr
tile entity 17 8 cliffs/concave-tl
tile entity 14 8 cliffs/concave-r
tile entity 14 8 cliffs/convex-l
tile entity 13 8 cliffs/concave-r
tile entity 11 8 cliffs/concave-l
tile entity 10 8 cliffs/concave-l
tile entity 10 8 cliffs/convex-r
tile entity 9 8 cliffs/concave-l
tile entity 9 8 cliffs/convex-br
tile entity 9 8 cliffs/convex-r
tile entity 8 8 cliffs/concave-r
tile entity 7 8 cliffs/concave-br
tile entity 7 8 cliffs/convex-l
tile entity 7 8 cliffs/convex-tl
tile entity 1 8 cliffs/concave-l
tile entity 1 8 cliffs/convex-r
tile entity 0 8 cliffs/concave-l
tile entity 0 8 cliffs/convex-r
tile entity 24 7 cliffs/concave-bl
tile entity 23 7 cliffs/convex-tr
tile entity 23 7 cliffs/concave-bl
tile entity 22 7 cliffs/convex-tr
tile entity 22 7 cliffs/concave-bl
tile entity 14 7 cliffs/concave-br
tile entity 14 7 cliffs/convex-l
tile entity 14 7 cliffs/convex-tl
tile entity 13 7 cliffs/concave-r
tile entity 13 7 cliffs/convex-l
tile entity 11 7 cliffs/concave-l
tile entity 11 7 cliffs/convex-r
tile entity 10 7 cliffs/concave-l
tile entity 10 7 cliffs/convex-r
tile entity 9 7 cliffs/concave-l
tile entity 9 7 cliffs/convex-r
tile entity 8 7 cliffs/concave-r
tile entity 8 7 cliffs/convex-l
tile entity 1 7 cliffs/concave-l
tile entity 1 7 cliffs/convex-r
tile entity 0 7 cliffs/concave-l
tile entity 0 7 cliffs/convex-r
tile entity 23 6 cliffs/convex-tr
tile entity 23 6 cliffs/concave-bl
tile entity 22 6 cliffs/concave-l
tile entity 21 6 cliffs/concave-l
tile entity 16 6 cliffs/concave-br
tile entity 16 6 cliffs/convex-tl
tile entity 15 6 cliffs/convex-tl
tile entity 15 6 cliffs/concave-br
tile entity 14 6 cliffs/convex-tl
tile entity 14 6 cliffs/concave-br
tile entity 13 6 cliffs/convex-l
tile entity 13 6 cliffs/convex-tl
tile entity 13 6 cliffs/concave-br
tile entity 11 6 cliffs/concave-l
tile entity 11 6 cliffs/convex-r
tile entity 10 6 cliffs/concave-l
tile entity 10 6 cliffs/convex-r
tile entity 9 6 cliffs/concave-l
tile entity 9 6 cliffs/convex-r
tile entity 8 6 cliffs/concave-r
tile entity 8 6 cliffs/convex-l
tile entity 1 6 cliffs/concave-l
tile entity 1 6 cliffs/convex-r
