size 20 20
tileset interior
visibilityRadius 6
unexplored


encounter "ghostsBossLvl16" 4 16
encounter "ghostsLvl15" 13 11
encounter "ghostsLvl15" 4 7
encounter "ghostsLvl15" 16 3
encounter "ghostsLvl15" 9 2

item 1 "armorstand_superb" 2 18
tile floor 13 10 floor/wood2
tile floor 12 10 floor/wood0
tile floor 11 10 floor/wood2
tile floor 10 10 floor/wood0
tile floor 8 10 floor/wood2
tile floor 7 10 floor/wood1
tile floor 13 9 floor/wood1
tile floor 10 9 floor/wood1
tile floor 9 9 floor/wood0
tile floor 8 9 floor/wood0
tile floor 6 9 floor/wood0
tile floor 5 9 floor/wood2
tile floor 4 9 floor/wood1
tile floor 14 8 floor/wood2
tile floor 12 8 floor/wood2
tile floor 11 8 floor/wood0
tile floor 8 8 floor/wood0
tile floor 7 8 floor/wood2
tile floor 6 8 floor/wood0
tile floor 5 8 floor/wood1
tile floor 4 8 floor/wood2
tile floor 3 8 floor/wood0
tile floor 2 8 floor/wood0
tile floor 13 7 floor/wood1
tile floor 12 7 floor/wood2
tile floor 9 7 floor/wood1
tile floor 8 7 floor/wood0
tile floor 7 7 floor/wood0
tile floor 6 7 floor/wood2
tile floor 5 7 floor/wood2
tile floor 4 7 floor/wood0
tile floor 3 7 floor/wood1
tile floor 2 7 floor/wood2
tile floor 16 6 floor/wood1
tile floor 11 6 floor/wood0
tile floor 10 6 floor/wood0
tile floor 7 6 floor/wood1
tile floor 6 6 floor/wood0
tile floor 5 6 floor/wood2
tile floor 4 6 floor/wood1
tile floor 3 6 floor/wood1
tile floor 2 6 floor/wood0
tile floor 17 5 floor/wood1
tile floor 16 5 floor/wood1
tile floor 15 5 floor/wood0
tile floor 14 5 floor/wood2
tile floor 12 5 floor/wood1
tile floor 11 5 floor/wood2
tile floor 9 5 floor/wood0
tile floor 8 5 floor/wood1
tile floor 5 5 floor/wood1
tile floor 4 5 floor/wood0
tile floor 3 5 floor/wood0
tile floor 17 4 floor/wood0
tile floor 16 4 floor/wood0
tile floor 15 4 floor/wood0
tile floor 14 4 floor/wood2
tile floor 13 4 floor/wood1
tile floor 10 4 floor/wood0
tile floor 9 4 floor/wood2
tile floor 8 4 floor/wood2
tile floor 7 4 floor/wood1
tile floor 6 4 floor/wood0
tile floor 17 3 floor/wood2
tile floor 16 3 floor/wood1
tile floor 15 3 floor/wood0
tile floor 14 3 floor/wood1
tile floor 12 3 floor/wood1
tile floor 11 3 floor/wood2
tile floor 10 3 floor/wood0
tile floor 9 3 floor/wood0
tile floor 8 3 floor/wood2
tile floor 5 3 floor/wood1
tile floor 4 3 floor/wood2
tile floor 3 3 floor/wood1
tile floor 2 3 floor/wood0
tile floor 17 2 floor/wood1
tile floor 16 2 floor/wood0
tile floor 15 2 floor/wood0
tile floor 14 2 floor/wood0
tile floor 11 2 floor/wood1
tile floor 10 2 floor/wood0
tile floor 9 2 floor/wood0
tile floor 8 2 floor/wood1
tile floor 6 2 floor/wood2
tile floor 5 2 floor/wood2
tile floor 4 2 floor/wood1
tile floor 3 2 floor/wood2
tile floor 2 2 floor/wood0
tile floor 17 1 floor/wood2
tile floor 16 1 floor/wood0
tile floor 15 1 floor/wood1
tile floor 9 1 floor/wood2
tile floor 5 1 floor/wood2
tile floor 4 1 floor/wood0
tile floor 3 1 floor/wood2
tile wall-base 19 19 wall-base/wall
tile wall-base 18 19 wall-base/wall
tile wall-base 17 19 wall-base/wall
tile wall-base 16 19 wall-base/wall
tile wall-base 15 19 wall-base/wall
tile wall-base 14 19 wall-base/wall
tile wall-base 13 19 wall-base/wall
tile wall-base 12 19 wall-base/wall
tile wall-base 11 19 wall-base/wall
tile wall-base 10 19 wall-base/wall
tile wall-base 9 19 wall-base/wall
tile wall-base 8 19 wall-base/wall
tile wall-base 7 19 wall-base/wall
tile wall-base 6 19 wall-base/wall
tile wall-base 5 19 wall-base/wall
tile wall-base 4 19 wall-base/wall
tile wall-base 3 19 wall-base/wall
tile wall-base 2 19 wall-base/wall
tile wall-base 1 19 wall-base/wall
tile wall-base 0 19 wall-base/wall
tile wall-base 19 18 wall-base/wall
tile wall-base 18 18 wall-base/wall
tile wall-base 17 18 wall-base/wall
tile wall-base 16 18 wall-base/wall
tile wall-base 15 18 wall-base/wall
tile wall-base 14 18 wall-base/wall
tile wall-base 13 18 wall-base/wall
tile wall-base 12 18 wall-base/wall
tile wall-base 11 18 wall-base/wall
tile wall-base 7 18 wall-base/wall
tile wall-base 5 18 wall-base/wall
tile wall-base 3 18 wall-base/wall
tile wall-base 1 18 wall-base/wall
tile wall-base 0 18 wall-base/wall
tile wall-base 19 17 wall-base/wall
tile wall-base 18 17 wall-base/wall
tile wall-base 17 17 wall-base/wall
tile wall-base 16 17 wall-base/wall
tile wall-base 15 17 wall-base/wall
tile wall-base 14 17 wall-base/wall
tile wall-base 13 17 wall-base/wall
tile wall-base 1 17 wall-base/wall
tile wall-base 0 17 wall-base/wall
tile wall-base 19 16 wall-base/wall
tile wall-base 18 16 wall-base/wall
tile wall-base 17 16 wall-base/wall
tile wall-base 16 16 wall-base/wall
tile wall-base 15 16 wall-base/wall
tile wall-base 1 16 wall-base/wall
tile wall-base 0 16 wall-base/wall
tile wall-base 19 15 wall-base/wall
tile wall-base 18 15 wall-base/wall
tile wall-base 17 15 wall-base/wall
tile wall-base 1 15 wall-base/wall
tile wall-base 0 15 wall-base/wall
tile wall-base 19 14 wall-base/wall
tile wall-base 14 14 wall-base/wall
tile wall-base 13 14 wall-base/wall
tile wall-base 12 14 wall-base/wall
tile wall-base 2 14 wall-base/wall
tile wall-base 1 14 wall-base/wall
tile wall-base 0 14 wall-base/wall
tile wall-base 19 13 wall-base/wall
tile wall-base 18 13 wall-base/wall
tile wall-base 15 13 wall-base/wall
tile wall-base 11 13 wall-base/wall
tile wall-base 10 13 wall-base/wall
tile wall-base 4 13 wall-base/wall
tile wall-base 3 13 wall-base/wall
tile wall-base 2 13 wall-base/wall
tile wall-base 1 13 wall-base/wall
tile wall-base 0 13 wall-base/wall
tile wall-base 19 12 wall-base/wall
tile wall-base 18 12 wall-base/wall
tile wall-base 17 12 wall-base/wall
tile wall-base 9 12 wall-base/wall
tile wall-base 8 12 wall-base/wall
tile wall-base 6 12 wall-base/wall
tile wall-base 5 12 wall-base/wall
tile wall-base 4 12 wall-base/wall
tile wall-base 3 12 wall-base/wall
tile wall-base 2 12 wall-base/wall
tile wall-base 1 12 wall-base/wall
tile wall-base 0 12 wall-base/wall
tile wall-base 19 11 wall-base/wall
tile wall-base 18 11 wall-base/wall
tile wall-base 8 11 wall-base/wall
tile wall-base 7 11 wall-base/wall
tile wall-base 4 11 wall-base/wall
tile wall-base 3 11 wall-base/wall
tile wall-base 2 11 wall-base/wall
tile wall-base 1 11 wall-base/wall
tile wall-base 0 11 wall-base/wall
tile wall-base 19 10 wall-base/wall
tile wall-base 18 10 wall-base/wall
tile wall-base 17 10 wall-base/wall
tile wall-base 16 10 wall-base/wall
tile wall-base 9 10 wall-base/wall
tile wall-base 6 10 wall-base/wall
tile wall-base 5 10 wall-base/wall
tile wall-base 4 10 wall-base/wall
tile wall-base 3 10 wall-base/wall
tile wall-base 2 10 wall-base/wall
tile wall-base 1 10 wall-base/wall
tile wall-base 0 10 wall-base/wall
tile wall-base 19 9 wall-base/wall
tile wall-base 18 9 wall-base/wall
tile wall-base 17 9 wall-base/wall
tile wall-base 16 9 wall-base/wall
tile wall-base 15 9 wall-base/wall
tile wall-base 14 9 wall-base/wall
tile wall-base 12 9 wall-base/wall
tile wall-base 11 9 wall-base/wall
tile wall-base 7 9 wall-base/wall
tile wall-base 3 9 wall-base/wall
tile wall-base 2 9 wall-base/wall
tile wall-base 1 9 wall-base/wall
tile wall-base 0 9 wall-base/wall
tile wall-base 19 8 wall-base/wall
tile wall-base 18 8 wall-base/wall
tile wall-base 17 8 wall-base/wall
tile wall-base 16 8 wall-base/wall
tile wall-base 15 8 wall-base/wall
tile wall-base 13 8 wall-base/wall
tile wall-base 10 8 wall-base/wall
tile wall-base 9 8 wall-base/wall
tile wall-base 1 8 wall-base/wall
tile wall-base 0 8 wall-base/wall
tile wall-base 19 7 wall-base/wall
tile wall-base 18 7 wall-base/wall
tile wall-base 17 7 wall-base/wall
tile wall-base 16 7 wall-base/wall
tile wall-base 15 7 wall-base/wall
tile wall-base 14 7 wall-base/wall
tile wall-base 11 7 wall-base/wall
tile wall-base 10 7 wall-base/wall
tile wall-base 1 7 wall-base/wall
tile wall-base 0 7 wall-base/wall
tile wall-base 19 6 wall-base/wall
tile wall-base 18 6 wall-base/wall
tile wall-base 17 6 wall-base/wall
tile wall-base 15 6 wall-base/wall
tile wall-base 14 6 wall-base/wall
tile wall-base 13 6 wall-base/wall
tile wall-base 12 6 wall-base/wall
tile wall-base 9 6 wall-base/wall
tile wall-base 8 6 wall-base/wall
tile wall-base 1 6 wall-base/wall
tile wall-base 0 6 wall-base/wall
tile wall-base 19 5 wall-base/wall
tile wall-base 18 5 wall-base/wall
tile wall-base 13 5 wall-base/wall
tile wall-base 10 5 wall-base/wall
tile wall-base 7 5 wall-base/wall
tile wall-base 6 5 wall-base/wall
tile wall-base 2 5 wall-base/wall
tile wall-base 1 5 wall-base/wall
tile wall-base 0 5 wall-base/wall
tile wall-base 19 4 wall-base/wall
tile wall-base 18 4 wall-base/wall
tile wall-base 12 4 wall-base/wall
tile wall-base 11 4 wall-base/wall
tile wall-base 5 4 wall-base/wall
tile wall-base 4 4 wall-base/wall
tile wall-base 3 4 wall-base/wall
tile wall-base 2 4 wall-base/wall
tile wall-base 1 4 wall-base/wall
tile wall-base 0 4 wall-base/wall
tile wall-base 19 3 wall-base/wall
tile wall-base 18 3 wall-base/wall
tile wall-base 13 3 wall-base/wall
tile wall-base 7 3 wall-base/wall
tile wall-base 6 3 wall-base/wall
tile wall-base 1 3 wall-base/wall
tile wall-base 0 3 wall-base/wall
tile wall-base 19 2 wall-base/wall
tile wall-base 18 2 wall-base/wall
tile wall-base 13 2 wall-base/wall
tile wall-base 12 2 wall-base/wall
tile wall-base 7 2 wall-base/wall
tile wall-base 1 2 wall-base/wall
tile wall-base 0 2 wall-base/wall
tile wall-base 19 1 wall-base/wall
tile wall-base 18 1 wall-base/wall
tile wall-base 14 1 wall-base/wall
tile wall-base 13 1 wall-base/wall
tile wall-base 12 1 wall-base/wall
tile wall-base 11 1 wall-base/wall
tile wall-base 10 1 wall-base/wall
tile wall-base 8 1 wall-base/wall
tile wall-base 7 1 wall-base/wall
tile wall-base 6 1 wall-base/wall
tile wall-base 2 1 wall-base/wall
tile wall-base 1 1 wall-base/wall
tile wall-base 0 1 wall-base/wall
tile wall-base 19 0 wall-base/wall
tile wall-base 18 0 wall-base/wall
tile wall-base 17 0 wall-base/wall
tile wall-base 16 0 wall-base/wall
tile wall-base 15 0 wall-base/wall
tile wall-base 14 0 wall-base/wall
tile wall-base 13 0 wall-base/wall
tile wall-base 12 0 wall-base/wall
tile wall-base 11 0 wall-base/wall
tile wall-base 10 0 wall-base/wall
tile wall-base 9 0 wall-base/wall
tile wall-base 8 0 wall-base/wall
tile wall-base 7 0 wall-base/wall
tile wall-base 6 0 wall-base/wall
tile wall-base 5 0 wall-base/wall
tile wall-base 4 0 wall-base/wall
tile wall-base 3 0 wall-base/wall
tile wall-base 2 0 wall-base/wall
tile wall-base 1 0 wall-base/wall
tile wall-base 0 0 wall-base/wall
tile border 10 19 floor-border/wood-regular-nw-n
tile border 8 19 floor-border/wood-regular-n-ne
tile border 12 18 floor-border/wood-regular-nw-n
tile border 11 18 floor-border/wood-regular-nw-n
tile border 7 18 floor-border/wood-regular-nw-n
tile border 7 18 floor-border/wood-regular-nw-n-ne
tile border 7 18 floor-border/wood-regular-n-ne
tile border 5 18 floor-border/wood-regular-n-ne
tile border 5 18 floor-border/wood-regular-nw-n-ne
tile border 5 18 floor-border/wood-regular-nw-n
tile border 3 18 floor-border/wood-regular-n-ne
tile border 3 18 floor-border/wood-regular-nw-n-ne
tile border 3 18 floor-border/wood-regular-nw-n
tile border 14 17 floor-border/wood-regular-nw-n
tile border 13 17 floor-border/wood-regular-nw-n
tile border 16 16 floor-border/wood-regular-nw-n
tile border 15 16 floor-border/wood-regular-nw-n
tile border 18 15 floor-border/wood-regular-nw-n
tile border 17 15 floor-border/wood-regular-nw-n
tile border 14 14 floor-border/wood-regular-nw-n
tile border 12 14 floor-border/wood-regular-n-ne
tile border 15 13 floor-border/wood-regular-n-ne
tile border 15 13 floor-border/wood-regular-nw-n-ne
tile border 15 13 floor-border/wood-regular-nw-n
tile border 11 13 floor-border/wood-regular-n-ne
tile border 10 13 floor-border/wood-regular-n-ne
tile border 17 12 floor-border/wood-regular-nw-n
tile border 9 12 floor-border/wood-regular-n-ne
tile border 6 12 floor-border/wood-regular-nw-n
tile border 8 11 floor-border/wood-regular-nw-n
tile border 7 11 floor-border/wood-regular-nw-n
tile border 9 10 floor-border/wood-regular-nw-n-ne
tile border 9 10 floor-border/wood-regular-n-ne
tile border 9 10 floor-border/wood-regular-nw-n
tile border 6 10 floor-border/wood-regular-nw-n
tile border 4 10 floor-border/wood-regular-n-ne
tile border 12 9 floor-border/wood-regular-nw-n
tile border 11 9 floor-border/wood-regular-nw-n
tile border 7 9 floor-border/wood-regular-n-ne
tile border 7 9 floor-border/wood-regular-nw-n-ne
tile border 7 9 floor-border/wood-regular-nw-n
tile border 3 9 floor-border/wood-regular-n-ne
tile border 2 9 floor-border/wood-regular-n-ne
tile border 13 8 floor-border/wood-regular-nw-n-ne
tile border 13 8 floor-border/wood-regular-n-ne
tile border 13 8 floor-border/wood-regular-nw-n
tile border 9 8 floor-border/wood-regular-nw-n
tile border 11 7 floor-border/wood-regular-n-ne
tile border 10 7 floor-border/wood-regular-n-ne
tile border 17 6 floor-border/wood-regular-nw-n
tile border 15 6 floor-border/wood-regular-n-ne
tile border 14 6 floor-border/wood-regular-n-ne
tile border 12 6 floor-border/wood-regular-nw-n
tile border 9 6 floor-border/wood-regular-n-ne
tile border 8 6 floor-border/wood-regular-n-ne
tile border 13 5 floor-border/wood-regular-n-ne
tile border 13 5 floor-border/wood-regular-nw-n-ne
tile border 13 5 floor-border/wood-regular-nw-n
tile border 10 5 floor-border/wood-regular-nw-n
tile border 7 5 floor-border/wood-regular-n-ne
tile border 6 5 floor-border/wood-regular-n-ne
tile border 12 4 floor-border/wood-regular-nw-n
tile border 11 4 floor-border/wood-regular-nw-n
tile border 5 4 floor-border/wood-regular-n-ne
tile border 4 4 floor-border/wood-regular-nw-n-ne
tile border 4 4 floor-border/wood-regular-n-ne
tile border 4 4 floor-border/wood-regular-nw-n
tile border 2 4 floor-border/wood-regular-n-ne
tile border 6 3 floor-border/wood-regular-nw-n
tile entity 14 15 walls/wall-wood-nw-n
tile entity 13 15 walls/wall-wood-n
tile entity 12 15 walls/wall-wood-n-ne
tile entity 2 15 walls/wall-wood-nw-n
tile entity 18 14 walls/wall-wood-n-ne
tile entity 16 14 walls/wall-wood-nw
tile entity 15 14 walls/wall-wood-nw-n
tile entity 11 14 walls/wall-wood-n-ne
tile entity 10 14 walls/wall-wood-n-ne
tile entity 4 14 walls/wall-wood-nw-n
tile entity 3 14 walls/wall-wood-nw-n
tile entity 17 13 walls/wall-wood-n-ne
tile entity 16 13 walls/wall-wood-ne
tile entity 12 13 features/bed
tile entity 9 13 walls/wall-wood-n-ne
tile entity 8 13 walls/wall-wood-n-ne
tile entity 6 13 walls/wall-wood-nw-n
tile entity 5 13 walls/wall-wood-nw-n
tile entity 10 12 features/bed
tile entity 7 12 walls/wall-wood-nw-n-ne
tile entity 17 11 walls/wall-wood-n-ne
tile entity 16 11 walls/wall-wood-n-ne
tile entity 16 11 features/bookshelf2
tile entity 10 11 walls/wall-wood-nw
tile entity 9 11 walls/wall-wood-nw-n
tile entity 6 11 walls/wall-wood-nw-n
tile entity 5 11 walls/wall-wood-nw-n
tile entity 15 10 walls/wall-wood-n-ne
tile entity 14 10 walls/wall-wood-n-ne
tile entity 14 10 features/bookshelf2
tile entity 12 10 walls/wall-wood-nw-n
tile entity 11 10 walls/wall-wood-n
tile entity 10 10 walls/wall-wood-ne
tile entity 8 10 walls/wall-wood-nw
tile entity 7 10 walls/wall-wood-nw-n
tile entity 13 9 walls/wall-wood-nw-n-ne
tile entity 10 9 walls/wall-wood-nw-n
tile entity 9 9 walls/wall-wood-n
tile entity 8 9 walls/wall-wood-ne
tile entity 5 9 features/table-set
tile entity 14 8 walls/wall-wood-n-ne
tile entity 12 8 walls/wall-wood-nw
tile entity 11 8 walls/wall-wood-nw-n
tile entity 3 8 features/bed
tile entity 13 7 walls/wall-wood-n-ne
tile entity 12 7 walls/wall-wood-n-ne
tile entity 9 7 walls/wall-wood-n-ne
tile entity 8 7 walls/wall-wood-n-ne
tile entity 11 6 walls/wall-wood-ne
tile entity 10 6 walls/wall-wood-n
tile entity 7 6 walls/wall-wood-n-ne
tile entity 6 6 walls/wall-wood-n-ne
tile entity 2 6 walls/wall-wood-nw-n
tile entity 2 6 features/bookshelf
tile entity 15 5 features/bed
tile entity 12 5 walls/wall-wood-nw-n
tile entity 11 5 walls/wall-wood-nw-n
tile entity 9 5 walls/wall-wood-ne
tile entity 5 5 walls/wall-wood-n-ne
tile entity 5 5 features/bookshelf2-empty
tile entity 4 5 walls/wall-wood-nw-n-ne
tile entity 3 5 walls/wall-wood-nw-n
tile entity 3 5 features/bookshelf-empty
tile entity 14 4 walls/wall-wood-nw
tile entity 13 4 walls/wall-wood-nw-n
tile entity 8 4 walls/wall-wood-nw
tile entity 7 4 walls/wall-wood-n
tile entity 6 4 walls/wall-wood-n-ne
tile entity 12 3 walls/wall-wood-n-ne
tile entity 11 3 features/barrels
tile entity 5 3 walls/wall-wood-ne
tile entity 14 2 walls/wall-wood-nw-n
tile entity 11 2 walls/wall-wood-n-ne
tile entity 10 2 walls/wall-wood-n-ne
tile entity 8 2 walls/wall-wood-nw-n
tile entity 6 2 walls/wall-wood-n-ne
tile entity 2 2 walls/wall-wood-nw-n
tile entity 17 1 walls/wall-wood-n-ne
tile entity 17 1 features/bookshelf2
tile entity 16 1 walls/wall-wood-nw-n-ne
tile entity 16 1 features/bookshelf2
tile entity 15 1 walls/wall-wood-nw-n
tile entity 9 1 walls/wall-wood-nw-n-ne
tile entity 9 1 features/bookshelf-empty
tile entity 5 1 walls/wall-wood-n-ne
tile entity 4 1 walls/wall-wood-nw-n-ne
tile entity 3 1 walls/wall-wood-nw-n
tile entity 3 1 features/door-nw
tile ceiling 10 18 ceiling/wall-wood-se-s
tile ceiling 9 18 ceiling/wall-wood-se-s-sw
tile ceiling 8 18 ceiling/wall-wood-s-sw
tile ceiling 6 18 ceiling/wall-wood-se-s-sw
tile ceiling 4 18 ceiling/wall-wood-se-s-sw
tile ceiling 2 18 ceiling/wall-wood-se-s-sw
tile ceiling 2 18 ceiling/wall-wood-se-s-sw-nw
tile ceiling 12 17 ceiling/wall-wood-se-s
tile ceiling 11 17 ceiling/wall-wood-se-s
tile ceiling 7 17 ceiling/wall-wood-s
tile ceiling 5 17 ceiling/wall-wood-s
tile ceiling 3 17 ceiling/wall-wood-s
tile ceiling 2 17 ceiling/wall-wood-sw-ne
tile ceiling 14 16 ceiling/wall-wood-se-s
tile ceiling 13 16 ceiling/wall-wood-se-s
tile ceiling 2 16 ceiling/wall-wood-sw-ne
tile ceiling 16 15 ceiling/wall-wood-se-s
tile ceiling 15 15 ceiling/wall-wood-se-s
tile ceiling 2 15 ceiling/wall-wood-sw-ne
tile ceiling 18 14 ceiling/wall-wood-n-ne-se-s-fg
tile ceiling 18 14 ceiling/wall-wood-se-s
tile ceiling 17 14 ceiling/wall-wood-se-s
tile ceiling 16 13 ceiling/wall-wood-sw2
tile ceiling 14 13 ceiling/wall-wood-se-s
tile ceiling 13 13 ceiling/wall-wood-se-s-sw
tile ceiling 12 13 ceiling/wall-wood-s-sw
tile ceiling 16 12 ceiling/wall-wood-se2
tile ceiling 15 12 ceiling/wall-wood-s
tile ceiling 11 12 ceiling/wall-wood-s-sw
tile ceiling 10 12 ceiling/wall-wood-s-sw
tile ceiling 17 11 ceiling/wall-wood-n-ne-se-s-fg
tile ceiling 17 11 ceiling/wall-wood-se-s
tile ceiling 9 11 ceiling/wall-wood-s-sw
tile ceiling 9 11 ceiling/wall-wood-s-sw-ne-n-fg
tile ceiling 6 11 ceiling/wall-wood-se-s
tile ceiling 5 11 ceiling/wall-wood-se-s-sw
tile ceiling 5 11 ceiling/wall-wood-s-sw-ne-n-fg
tile ceiling 10 10 ceiling/wall-wood-sw
tile ceiling 10 10 ceiling/wall-wood-sw2
tile ceiling 8 10 ceiling/wall-wood-se-s
tile ceiling 7 10 ceiling/wall-wood-se-s
tile ceiling 10 9 ceiling/wall-wood-se
tile ceiling 10 9 ceiling/wall-wood-se2
tile ceiling 9 9 ceiling/wall-wood-s
tile ceiling 8 9 ceiling/wall-wood-sw2
tile ceiling 6 9 ceiling/wall-wood-se-s
tile ceiling 5 9 ceiling/wall-wood-se-s-sw
tile ceiling 4 9 ceiling/wall-wood-s-sw
tile ceiling 14 8 ceiling/wall-wood-n-ne-se-s-fg
tile ceiling 14 8 ceiling/wall-wood-se-s-sw
tile ceiling 12 8 ceiling/wall-wood-se-s
tile ceiling 11 8 ceiling/wall-wood-se-s
tile ceiling 8 8 ceiling/wall-wood-se2
tile ceiling 7 8 ceiling/wall-wood-s
tile ceiling 3 8 ceiling/wall-wood-s-sw
tile ceiling 2 8 ceiling/wall-wood-s-sw-nw
tile ceiling 2 8 ceiling/wall-wood-s-sw
tile ceiling 13 7 ceiling/wall-wood-s
tile ceiling 12 7 ceiling/wall-wood-sw
tile ceiling 12 7 ceiling/wall-wood-sw2
tile ceiling 9 7 ceiling/wall-wood-n-ne-se-s-fg
tile ceiling 9 7 ceiling/wall-wood-se-s
tile ceiling 2 7 ceiling/wall-wood-sw-ne
tile ceiling 16 6 ceiling/wall-wood-se-s-sw
tile ceiling 11 6 ceiling/wall-wood-s-sw
tile ceiling 10 6 ceiling/wall-wood-s-sw
tile ceiling 2 6 ceiling/wall-wood-sw-ne
tile ceiling 17 5 ceiling/wall-wood-ne-se-s
tile ceiling 17 5 ceiling/wall-wood-se-s
tile ceiling 15 5 ceiling/wall-wood-s-sw
tile ceiling 14 5 ceiling/wall-wood-s-sw
tile ceiling 12 5 ceiling/wall-wood-se-s
tile ceiling 11 5 ceiling/wall-wood-se
tile ceiling 11 5 ceiling/wall-wood-se2
tile ceiling 9 5 ceiling/wall-wood-s-sw
tile ceiling 8 5 ceiling/wall-wood-s-sw
tile ceiling 17 4 ceiling/wall-wood-ne-se
tile ceiling 13 4 ceiling/wall-wood-s
tile ceiling 10 4 ceiling/wall-wood-se-s
tile ceiling 9 4 ceiling/wall-wood-se
tile ceiling 9 4 ceiling/wall-wood-se2
tile ceiling 7 4 ceiling/wall-wood-s-sw
tile ceiling 6 4 ceiling/wall-wood-s-sw
tile ceiling 17 3 ceiling/wall-wood-ne-se
tile ceiling 14 3 ceiling/wall-wood-sw-ne2
tile ceiling 12 3 ceiling/wall-wood-n-ne-se-s-fg
tile ceiling 12 3 ceiling/wall-wood-se-s
tile ceiling 11 3 ceiling/wall-wood-se-s
tile ceiling 8 3 ceiling/wall-wood-sw-ne
tile ceiling 8 3 ceiling/wall-wood-sw-ne2
tile ceiling 5 3 ceiling/wall-wood-s-sw
tile ceiling 4 3 ceiling/wall-wood-s
tile ceiling 3 3 ceiling/wall-wood-se-s-sw
tile ceiling 2 3 ceiling/wall-wood-s-sw-nw
tile ceiling 2 3 ceiling/wall-wood-s-sw
tile ceiling 17 2 ceiling/wall-wood-ne-se
tile ceiling 14 2 ceiling/wall-wood-sw-ne
tile ceiling 8 2 ceiling/wall-wood-sw-ne
tile ceiling 6 2 ceiling/wall-wood-n-ne-se-s-fg
tile ceiling 6 2 ceiling/wall-wood-se-s
tile ceiling 5 2 ceiling/wall-wood-se
tile ceiling 5 2 ceiling/wall-wood-se2
tile ceiling 2 2 ceiling/wall-wood-sw-ne
tile ceiling 17 1 ceiling/wall-wood-ne-se

elevation 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
elevation 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
