size 40 40
tileset outdoor
visibilityRadius 8
unexplored



item 1 "ruraldoor_SE_unlockable" 28 10
tile base 24 29 base/stone4
tile base 23 29 base/stone2
tile base 22 29 base/stone4
tile base 21 29 base/stone4
tile base 20 29 base/stone3
tile base 19 29 base/stone4
tile base 18 29 base/stone2
tile base 17 29 base/stone4
tile base 16 29 base/stone4
tile base 14 29 base/path0
tile base 13 29 base/path0
tile base 12 29 base/path2
tile base 11 29 base/path2
tile base 10 29 base/path3
tile base 9 29 base/path3
tile base 8 29 base/path2
tile base 5 29 base/stone4
tile base 4 29 base/stone0
tile base 3 29 base/stone1
tile base 2 29 base/stone4
tile base 1 29 base/stone3
tile base 0 29 base/stone1
tile base 39 28 base/stone3
tile base 38 28 base/stone1
tile base 37 28 base/stone4
tile base 36 28 base/stone3
tile base 35 28 base/stone4
tile base 34 28 base/stone3
tile base 33 28 base/stone3
tile base 32 28 base/stone4
tile base 31 28 base/stone3
tile base 30 28 base/stone0
tile base 29 28 base/stone0
tile base 28 28 base/stone2
tile base 27 28 base/stone0
tile base 26 28 base/stone2
tile base 25 28 base/stone2
tile base 24 28 base/stone1
tile base 23 28 base/stone3
tile base 22 28 base/stone4
tile base 21 28 base/stone1
tile base 20 28 base/stone4
tile base 19 28 base/stone0
tile base 18 28 base/stone4
tile base 17 28 base/stone0
tile base 16 28 base/stone0
tile base 14 28 base/path1
tile base 13 28 base/path0
tile base 12 28 base/path2
tile base 11 28 base/path1
tile base 10 28 base/path2
tile base 9 28 base/path2
tile base 8 28 base/path0
tile base 7 28 base/path1
tile base 6 28 base/path1
tile base 3 28 base/stone1
tile base 2 28 base/stone0
tile base 1 28 base/stone3
tile base 0 28 base/stone1
tile base 39 27 base/stone1
tile base 38 27 base/stone1
tile base 37 27 base/stone1
tile base 36 27 base/stone0
tile base 35 27 base/stone2
tile base 34 27 base/stone4
tile base 33 27 base/stone1
tile base 32 27 base/stone0
tile base 31 27 base/stone1
tile base 30 27 base/stone0
tile base 29 27 base/stone4
tile base 28 27 base/stone1
tile base 27 27 base/stone2
tile base 26 27 base/stone0
tile base 25 27 base/stone0
tile base 24 27 base/stone3
tile base 23 27 base/stone4
tile base 22 27 base/stone2
tile base 21 27 base/stone4
tile base 20 27 base/stone2
tile base 19 27 base/stone1
tile base 18 27 base/stone1
tile base 17 27 base/stone3
tile base 16 27 base/stone4
tile base 13 27 base/path2
tile base 12 27 base/path1
tile base 11 27 base/path1
tile base 10 27 base/path3
tile base 9 27 base/path1
tile base 8 27 base/path3
tile base 7 27 base/path3
tile base 6 27 base/path2
tile base 5 27 base/path2
tile base 4 27 base/path1
tile base 1 27 base/stone2
tile base 0 27 base/stone2
tile base 39 26 base/stone3
tile base 38 26 base/stone0
tile base 37 26 base/stone1
tile base 36 26 base/stone3
tile base 35 26 base/stone0
tile base 34 26 base/stone1
tile base 33 26 base/stone3
tile base 32 26 base/stone3
tile base 31 26 base/stone1
tile base 30 26 base/stone3
tile base 29 26 base/stone4
tile base 28 26 base/stone4
tile base 27 26 base/stone1
tile base 26 26 base/stone4
tile base 25 26 base/stone4
tile base 24 26 base/stone3
tile base 23 26 base/stone2
tile base 22 26 base/stone4
tile base 21 26 base/stone3
tile base 20 26 base/stone2
tile base 19 26 base/stone2
tile base 18 26 base/stone4
tile base 17 26 base/stone4
tile base 16 26 base/stone3
tile base 15 26 base/stone0
tile base 14 26 base/stone1
tile base 11 26 base/path3
tile base 10 26 base/path0
tile base 9 26 base/path3
tile base 8 26 base/path2
tile base 7 26 base/path0
tile base 6 26 base/path0
tile base 5 26 base/path3
tile base 4 26 base/path1
tile base 3 26 base/path3
tile base 2 26 base/path3
tile base 39 25 base/stone3
tile base 38 25 base/stone1
tile base 37 25 base/stone3
tile base 36 25 base/stone4
tile base 35 25 base/stone1
tile base 34 25 base/stone0
tile base 33 25 base/stone0
tile base 32 25 base/stone3
tile base 31 25 base/stone0
tile base 30 25 base/stone1
tile base 29 25 base/stone4
tile base 28 25 base/stone3
tile base 27 25 base/stone3
tile base 26 25 base/stone0
tile base 25 25 base/stone1
tile base 24 25 base/stone4
tile base 23 25 base/stone1
tile base 22 25 base/stone3
tile base 21 25 base/stone1
tile base 20 25 base/stone3
tile base 19 25 base/stone0
tile base 18 25 base/stone2
tile base 17 25 base/stone2
tile base 16 25 base/stone2
tile base 15 25 base/stone4
tile base 14 25 base/stone4
tile base 13 25 base/stone2
tile base 12 25 base/stone1
tile base 9 25 base/path3
tile base 8 25 base/path1
tile base 7 25 base/path1
tile base 6 25 base/path1
tile base 5 25 base/path2
tile base 4 25 base/path1
tile base 3 25 base/path0
tile base 2 25 base/path1
tile base 39 24 base/stone3
tile base 38 24 base/stone0
tile base 37 24 base/stone1
tile base 36 24 base/stone3
tile base 35 24 base/stone3
tile base 34 24 base/stone4
tile base 33 24 base/stone4
tile base 32 24 base/stone1
tile base 31 24 base/stone0
tile base 30 24 base/stone1
tile base 29 24 base/stone4
tile base 28 24 base/stone1
tile base 27 24 base/stone4
tile base 26 24 base/stone3
tile base 25 24 base/stone2
tile base 24 24 base/stone3
tile base 23 24 base/stone0
tile base 22 24 base/stone2
tile base 21 24 base/stone2
tile base 20 24 base/stone3
tile base 19 24 base/stone1
tile base 18 24 base/stone2
tile base 17 24 base/stone2
tile base 16 24 base/stone2
tile base 15 24 base/stone0
tile base 14 24 base/stone2
tile base 13 24 base/stone2
tile base 12 24 base/stone4
tile base 11 24 base/stone3
tile base 10 24 base/stone1
tile base 7 24 base/path2
tile base 6 24 base/path2
tile base 5 24 base/path1
tile base 4 24 base/path0
tile base 3 24 base/path0
tile base 2 24 base/path1
tile base 39 23 base/stone4
tile base 38 23 base/stone3
tile base 37 23 base/stone2
tile base 36 23 base/stone4
tile base 35 23 base/stone4
tile base 34 23 base/stone0
tile base 33 23 base/stone3
tile base 32 23 base/stone1
tile base 31 23 base/stone3
tile base 30 23 base/stone2
tile base 29 23 base/stone3
tile base 28 23 base/stone1
tile base 27 23 base/stone1
tile base 26 23 base/stone3
tile base 25 23 base/stone0
tile base 24 23 base/stone0
tile base 23 23 base/stone3
tile base 22 23 base/stone2
tile base 21 23 base/stone4
tile base 20 23 base/stone0
tile base 19 23 base/stone4
tile base 18 23 base/stone2
tile base 17 23 base/stone4
tile base 16 23 base/stone0
tile base 15 23 base/stone1
tile base 14 23 base/stone4
tile base 13 23 base/stone1
tile base 12 23 base/stone0
tile base 11 23 base/stone4
tile base 10 23 base/stone4
tile base 9 23 base/stone0
tile base 8 23 base/stone4
tile base 5 23 base/path3
tile base 4 23 base/path0
tile base 3 23 base/path2
tile base 0 23 base/stone4
tile base 39 22 base/stone0
tile base 38 22 base/stone2
tile base 37 22 base/stone3
tile base 36 22 base/stone3
tile base 35 22 base/stone3
tile base 34 22 base/stone3
tile base 33 22 base/stone3
tile base 32 22 base/stone1
tile base 31 22 base/stone4
tile base 30 22 base/stone2
tile base 29 22 base/stone4
tile base 28 22 base/stone4
tile base 27 22 base/stone0
tile base 26 22 base/stone2
tile base 25 22 base/stone3
tile base 24 22 base/stone1
tile base 23 22 base/stone2
tile base 22 22 base/stone2
tile base 21 22 base/stone1
tile base 20 22 base/stone2
tile base 19 22 base/stone4
tile base 18 22 base/stone4
tile base 17 22 base/stone1
tile base 16 22 base/stone4
tile base 15 22 base/stone2
tile base 14 22 base/stone4
tile base 13 22 base/stone3
tile base 12 22 base/stone2
tile base 11 22 base/stone4
tile base 10 22 base/stone1
tile base 9 22 base/stone2
tile base 8 22 base/stone3
tile base 7 22 base/stone2
tile base 6 22 base/stone0
tile base 3 22 base/path1
tile base 2 22 base/path0
tile base 0 22 base/path2
tile base 39 21 base/stone4
tile base 38 21 base/stone0
tile base 37 21 base/stone4
tile base 36 21 base/stone0
tile base 35 21 base/stone4
tile base 34 21 base/stone3
tile base 33 21 base/stone4
tile base 32 21 base/stone4
tile base 31 21 base/stone3
tile base 30 21 base/stone1
tile base 29 21 base/stone1
tile base 28 21 base/stone3
tile base 27 21 base/stone2
tile base 26 21 base/stone1
tile base 25 21 base/stone2
tile base 24 21 base/stone4
tile base 23 21 base/stone4
tile base 22 21 base/stone3
tile base 21 21 base/stone2
tile base 20 21 base/stone4
tile base 19 21 base/stone0
tile base 18 21 base/stone3
tile base 17 21 base/stone4
tile base 16 21 base/stone1
tile base 15 21 base/stone3
tile base 14 21 base/stone4
tile base 13 21 base/stone4
tile base 12 21 base/stone0
tile base 11 21 base/stone0
tile base 10 21 base/stone4
tile base 9 21 base/stone1
tile base 8 21 base/stone4
tile base 7 21 base/stone3
tile base 4 21 base/path3
tile base 3 21 base/path1
tile base 2 21 base/path3
tile base 0 21 base/path1
tile base 39 20 base/stone3
tile base 38 20 base/stone1
tile base 37 20 base/stone3
tile base 36 20 base/stone2
tile base 35 20 base/stone2
tile base 34 20 base/stone4
tile base 33 20 base/stone2
tile base 32 20 base/stone2
tile base 31 20 base/stone2
tile base 30 20 base/stone1
tile base 29 20 base/stone2
tile base 28 20 base/stone4
tile base 27 20 base/stone0
tile base 26 20 base/stone2
tile base 25 20 base/stone4
tile base 24 20 base/stone2
tile base 23 20 base/stone0
tile base 22 20 base/stone1
tile base 21 20 base/stone4
tile base 20 20 base/stone4
tile base 19 20 base/stone3
tile base 18 20 base/stone4
tile base 17 20 base/stone0
tile base 16 20 base/stone4
tile base 15 20 base/stone3
tile base 14 20 base/stone2
tile base 13 20 base/stone4
tile base 12 20 base/stone2
tile base 11 20 base/stone0
tile base 10 20 base/stone4
tile base 9 20 base/stone3
tile base 6 20 base/path2
tile base 5 20 base/path2
tile base 4 20 base/path3
tile base 3 20 base/path0
tile base 2 20 base/path3
tile base 0 20 base/path1
tile base 39 19 base/stone0
tile base 38 19 base/stone1
tile base 37 19 base/stone3
tile base 36 19 base/stone4
tile base 35 19 base/stone3
tile base 34 19 base/stone3
tile base 33 19 base/stone3
tile base 32 19 base/stone4
tile base 31 19 base/stone1
tile base 30 19 base/stone4
tile base 29 19 base/stone1
tile base 28 19 base/stone3
tile base 27 19 base/stone0
tile base 26 19 base/stone3
tile base 25 19 base/stone4
tile base 24 19 base/stone0
tile base 23 19 base/stone3
tile base 22 19 base/stone3
tile base 21 19 base/stone2
tile base 20 19 base/stone2
tile base 19 19 base/stone3
tile base 18 19 base/stone3
tile base 17 19 base/stone4
tile base 16 19 base/stone4
tile base 15 19 base/stone4
tile base 14 19 base/stone3
tile base 13 19 base/stone4
tile base 12 19 base/stone4
tile base 11 19 base/stone3
tile base 8 19 base/path3
tile base 7 19 base/path3
tile base 6 19 base/path2
tile base 5 19 base/path2
tile base 4 19 base/path0
tile base 3 19 base/path3
tile base 2 19 base/path3
tile base 0 19 base/path0
tile base 39 18 base/stone4
tile base 38 18 base/stone4
tile base 37 18 base/stone1
tile base 36 18 base/stone4
tile base 35 18 base/stone3
tile base 34 18 base/stone4
tile base 33 18 base/stone4
tile base 32 18 base/stone3
tile base 31 18 base/stone4
tile base 30 18 base/stone4
tile base 29 18 base/stone4
tile base 28 18 base/stone1
tile base 27 18 base/stone1
tile base 26 18 base/stone1
tile base 25 18 base/stone3
tile base 24 18 base/stone0
tile base 23 18 base/stone4
tile base 22 18 base/stone3
tile base 21 18 base/stone0
tile base 20 18 base/stone1
tile base 19 18 base/stone3
tile base 18 18 base/stone2
tile base 17 18 base/stone1
tile base 16 18 base/stone2
tile base 15 18 base/stone3
tile base 14 18 base/stone1
tile base 13 18 base/stone4
tile base 10 18 base/path1
tile base 7 18 base/path1
tile base 6 18 base/path0
tile base 5 18 base/path3
tile base 4 18 base/path3
tile base 3 18 base/path0
tile base 2 18 base/path2
tile base 0 18 base/path0
tile base 39 17 base/stone0
tile base 38 17 base/stone2
tile base 37 17 base/stone0
tile base 36 17 base/stone1
tile base 35 17 base/stone2
tile base 34 17 base/stone4
tile base 33 17 base/stone4
tile base 32 17 base/stone0
tile base 31 17 base/stone4
tile base 30 17 base/stone4
tile base 29 17 base/stone4
tile base 28 17 base/stone4
tile base 27 17 base/stone3
tile base 23 17 base/stone0
tile base 22 17 base/stone4
tile base 21 17 base/stone0
tile base 20 17 base/stone4
tile base 19 17 base/stone1
tile base 18 17 base/stone2
tile base 17 17 base/stone2
tile base 16 17 base/stone2
tile base 15 17 base/stone0
tile base 12 17 base/path1
tile base 11 17 base/path3
tile base 10 17 base/path0
tile base 9 17 base/path3
tile base 8 17 base/path3
tile base 7 17 base/path0
tile base 5 17 base/path3
tile base 4 17 base/path3
tile base 3 17 base/path0
tile base 2 17 base/path0
tile base 0 17 base/path2
tile base 39 16 base/stone3
tile base 38 16 base/stone2
tile base 37 16 base/stone0
tile base 36 16 base/stone3
tile base 35 16 base/stone1
tile base 34 16 base/stone4
tile base 33 16 base/stone1
tile base 32 16 base/stone0
tile base 31 16 base/stone3
tile base 30 16 base/stone4
tile base 29 16 base/stone0
tile base 28 16 base/stone3
tile base 27 16 base/stone0
tile base 26 16 base/stone4
tile base 21 16 base/stone1
tile base 20 16 base/stone0
tile base 19 16 base/stone0
tile base 18 16 base/stone0
tile base 17 16 base/stone0
tile base 14 16 base/path1
tile base 13 16 base/path2
tile base 12 16 base/path3
tile base 11 16 base/path1
tile base 10 16 base/path3
tile base 9 16 base/path3
tile base 8 16 base/path0
tile base 7 16 base/path0
tile base 6 16 base/path3
tile base 3 16 base/path3
tile base 0 16 base/path0
tile base 39 15 base/stone0
tile base 38 15 base/stone1
tile base 37 15 base/stone0
tile base 36 15 base/stone0
tile base 35 15 base/stone3
tile base 34 15 base/stone2
tile base 33 15 base/stone1
tile base 32 15 base/stone1
tile base 31 15 base/stone4
tile base 30 15 base/stone4
tile base 29 15 base/stone4
tile base 28 15 base/stone3
tile base 27 15 base/stone3
tile base 26 15 base/stone4
tile base 25 15 base/stone1
tile base 24 15 base/stone4
tile base 19 15 base/stone4
tile base 16 15 base/path0
tile base 15 15 base/path3
tile base 14 15 base/path1
tile base 13 15 base/path2
tile base 12 15 base/path2
tile base 11 15 base/path0
tile base 10 15 base/path1
tile base 9 15 base/path3
tile base 8 15 base/path1
tile base 7 15 base/path1
tile base 6 15 base/path0
tile base 5 15 base/path0
tile base 4 15 base/path3
tile base 2 15 base/path2
tile base 0 15 base/path2
tile base 39 14 base/stone3
tile base 38 14 base/stone4
tile base 37 14 base/stone0
tile base 36 14 base/stone2
tile base 35 14 base/stone4
tile base 34 14 base/stone2
tile base 33 14 base/stone4
tile base 32 14 base/stone4
tile base 31 14 base/stone4
tile base 30 14 base/stone3
tile base 29 14 base/stone0
tile base 28 14 base/stone4
tile base 27 14 base/stone2
tile base 26 14 base/stone0
tile base 25 14 base/stone2
tile base 24 14 base/stone0
tile base 23 14 base/stone1
tile base 22 14 base/stone3
tile base 18 14 base/path3
tile base 17 14 base/path3
tile base 16 14 base/path1
tile base 15 14 base/path1
tile base 14 14 base/path1
tile base 13 14 base/path3
tile base 12 14 base/path3
tile base 11 14 base/path0
tile base 10 14 base/path2
tile base 9 14 base/path2
tile base 8 14 base/path1
tile base 7 14 base/path2
tile base 6 14 base/path3
tile base 5 14 base/path1
tile base 4 14 base/path0
tile base 3 14 base/path1
tile base 2 14 base/path2
tile base 0 14 base/path2
tile base 39 13 base/stone4
tile base 38 13 base/stone4
tile base 37 13 base/stone0
tile base 36 13 base/stone4
tile base 35 13 base/stone4
tile base 34 13 base/stone3
tile base 33 13 base/stone4
tile base 32 13 base/stone2
tile base 31 13 base/stone4
tile base 30 13 base/stone0
tile base 29 13 base/stone4
tile base 28 13 base/stone4
tile base 27 13 base/stone4
tile base 26 13 base/stone4
tile base 25 13 base/stone3
tile base 24 13 base/stone1
tile base 23 13 base/stone4
tile base 20 13 base/path1
tile base 19 13 base/path0
tile base 18 13 base/path3
tile base 17 13 base/path2
tile base 16 13 base/path1
tile base 15 13 base/path3
tile base 13 13 base/path3
tile base 12 13 base/path0
tile base 11 13 base/path3
tile base 10 13 base/path3
tile base 9 13 base/path1
tile base 8 13 base/path2
tile base 7 13 base/path1
tile base 6 13 base/path2
tile base 5 13 base/path1
tile base 4 13 base/path3
tile base 3 13 base/path2
tile base 0 13 base/path1
tile base 39 12 base/stone4
tile base 38 12 base/stone1
tile base 37 12 base/stone4
tile base 36 12 base/stone4
tile base 35 12 base/stone3
tile base 34 12 base/stone0
tile base 33 12 base/stone3
tile base 32 12 base/stone2
tile base 31 12 base/stone1
