size 50 15
tileset cave
visibilityRadius 6
unexplored


encounter "drakes_king" 34 9
encounter "drakes_lvl14" 9 11
encounter "drakes_lvl14" 21 3

item 1 "chest_lock_lvl15" 37 11
tile 0 7 9 layer0/floor
tile 0 6 9 layer0/lava4
tile 0 5 9 layer0/lava1
tile 0 4 9 layer0/lava2
tile 0 3 9 layer0/lava1
tile 0 2 9 layer0/lava4
tile 0 1 9 layer0/lava2
tile 0 0 9 layer0/lava4
tile 0 49 8 layer0/floor2
tile 0 45 8 layer0/floor5
tile 0 44 8 layer0/floor
tile 0 43 8 layer0/floor
tile 0 42 8 layer0/lava3
tile 0 41 8 layer0/lava1
tile 0 40 8 layer0/lava1
tile 0 39 8 layer0/lava3
tile 0 38 8 layer0/floor6
tile 0 37 8 layer0/floor5
tile 0 36 8 layer0/floor
tile 0 35 8 layer0/floor
tile 0 34 8 layer0/floor
tile 0 33 8 layer0/floor4
tile 0 32 8 layer0/floor
tile 0 31 8 layer0/floor
tile 0 30 8 layer0/floor
tile 0 29 8 layer0/floor3
tile 0 28 8 layer0/floor
tile 0 27 8 layer0/floor6
tile 0 26 8 layer0/floor5
tile 0 25 8 layer0/floor
tile 0 24 8 layer0/lava1
tile 0 23 8 layer0/floor
tile 0 22 8 layer0/floor
tile 0 21 8 layer0/floor
tile 0 20 8 layer0/floor
tile 0 19 8 layer0/floor
tile 0 17 8 layer0/lava1
tile 0 16 8 layer0/lava1
tile 0 15 8 layer0/lava1
tile 0 14 8 layer0/lava4
tile 0 13 8 layer0/lava2
tile 0 12 8 layer0/lava4
tile 0 11 8 layer0/lava3
tile 0 10 8 layer0/lava4
tile 0 9 8 layer0/floor
tile 0 8 8 layer0/floor6
tile 0 7 8 layer0/floor6
tile 0 6 8 layer0/floor
tile 0 5 8 layer0/lava2
tile 0 4 8 layer0/lava4
tile 0 3 8 layer0/lava3
tile 0 2 8 layer0/lava3
tile 0 1 8 layer0/lava2
tile 0 45 7 layer0/floor
tile 0 44 7 layer0/floor
tile 0 43 7 layer0/floor
tile 0 42 7 layer0/floor3
tile 0 41 7 layer0/lava3
tile 0 40 7 layer0/lava4
tile 0 39 7 layer0/lava1
tile 0 38 7 layer0/floor
tile 0 37 7 layer0/floor
tile 0 36 7 layer0/floor6
tile 0 35 7 layer0/floor
tile 0 34 7 layer0/floor3
tile 0 33 7 layer0/floor2
tile 0 32 7 layer0/floor
tile 0 31 7 layer0/floor
tile 0 30 7 layer0/floor3
tile 0 29 7 layer0/floor
tile 0 28 7 layer0/floor
tile 0 27 7 layer0/floor
tile 0 26 7 layer0/floor
tile 0 25 7 layer0/lava1
tile 0 24 7 layer0/lava4
tile 0 23 7 layer0/floor4
tile 0 22 7 layer0/floor
tile 0 21 7 layer0/floor4
tile 0 20 7 layer0/floor
tile 0 19 7 layer0/floor
tile 0 18 7 layer0/lava3
tile 0 17 7 layer0/lava2
tile 0 16 7 layer0/lava3
tile 0 15 7 layer0/lava4
tile 0 14 7 layer0/lava3
tile 0 13 7 layer0/lava1
tile 0 12 7 layer0/lava1
tile 0 11 7 layer0/lava2
tile 0 10 7 layer0/lava4
tile 0 9 7 layer0/lava4
tile 0 8 7 layer0/floor
tile 0 7 7 layer0/floor
tile 0 6 7 layer0/floor
tile 0 5 7 layer0/floor
tile 0 4 7 layer0/floor2
tile 0 3 7 layer0/lava1
tile 0 44 6 layer0/floor6
tile 0 43 6 layer0/floor
tile 0 42 6 layer0/floor
tile 0 41 6 layer0/lava3
tile 0 40 6 layer0/lava3
tile 0 39 6 layer0/lava4
tile 0 38 6 layer0/floor
tile 0 37 6 layer0/floor4
tile 0 36 6 layer0/floor2
tile 0 35 6 layer0/floor
tile 0 34 6 layer0/floor
tile 0 33 6 layer0/floor4
tile 0 32 6 layer0/floor
tile 0 31 6 layer0/floor3
tile 0 30 6 layer0/floor
tile 0 29 6 layer0/floor
tile 0 28 6 layer0/floor
tile 0 27 6 layer0/floor
tile 0 26 6 layer0/floor
tile 0 25 6 layer0/lava1
tile 0 24 6 layer0/lava2
tile 0 23 6 layer0/floor6
tile 0 22 6 layer0/floor4
tile 0 21 6 layer0/floor2
tile 0 20 6 layer0/floor
tile 0 19 6 layer0/floor3
tile 0 18 6 layer0/lava4
tile 0 17 6 layer0/lava4
tile 0 16 6 layer0/lava3
tile 0 15 6 layer0/lava1
tile 0 14 6 layer0/lava3
tile 0 13 6 layer0/lava1
tile 0 12 6 layer0/lava3
tile 0 11 6 layer0/lava4
tile 0 10 6 layer0/lava1
tile 0 9 6 layer0/lava3
tile 0 8 6 layer0/lava4
tile 0 7 6 layer0/floor6
tile 0 6 6 layer0/floor5
tile 0 5 6 layer0/floor
tile 0 4 6 layer0/floor
tile 0 3 6 layer0/floor3
tile 0 43 5 layer0/floor
tile 0 42 5 layer0/floor
tile 0 41 5 layer0/floor
tile 0 40 5 layer0/floor
tile 0 39 5 layer0/floor2
tile 0 38 5 layer0/floor2
tile 0 37 5 layer0/floor
tile 0 36 5 layer0/floor4
tile 0 35 5 layer0/floor
tile 0 34 5 layer0/floor
tile 0 33 5 layer0/floor
tile 0 32 5 layer0/floor
tile 0 31 5 layer0/floor
tile 0 30 5 layer0/floor
tile 0 29 5 layer0/floor4
tile 0 28 5 layer0/floor
tile 0 27 5 layer0/floor
tile 0 26 5 layer0/floor
tile 0 25 5 layer0/lava2
tile 0 24 5 layer0/lava1
tile 0 23 5 layer0/floor
tile 0 22 5 layer0/floor3
tile 0 21 5 layer0/floor
tile 0 20 5 layer0/floor5
tile 0 19 5 layer0/floor
tile 0 18 5 layer0/lava4
tile 0 17 5 layer0/lava4
tile 0 16 5 layer0/lava1
tile 0 15 5 layer0/lava4
tile 0 14 5 layer0/lava1
tile 0 13 5 layer0/lava1
tile 0 12 5 layer0/lava2
tile 0 11 5 layer0/lava3
tile 0 10 5 layer0/lava2
tile 0 9 5 layer0/lava2
tile 0 8 5 layer0/lava1
tile 0 7 5 layer0/lava2
tile 0 6 5 layer0/floor
tile 0 5 5 layer0/floor
tile 0 4 5 layer0/floor
tile 0 3 5 layer0/floor
tile 0 2 5 layer0/floor6
tile 0 41 4 layer0/floor
tile 0 40 4 layer0/floor
tile 0 39 4 layer0/floor
tile 0 38 4 layer0/floor
tile 0 37 4 layer0/floor
tile 0 36 4 layer0/floor
tile 0 35 4 layer0/floor
tile 0 34 4 layer0/floor
tile 0 33 4 layer0/floor5
tile 0 32 4 layer0/floor
tile 0 31 4 layer0/floor5
tile 0 30 4 layer0/floor
tile 0 29 4 layer0/floor
tile 0 28 4 layer0/floor
tile 0 27 4 layer0/floor4
tile 0 26 4 layer0/floor
tile 0 25 4 layer0/lava1
tile 0 24 4 layer0/floor
tile 0 23 4 layer0/floor2
tile 0 22 4 layer0/floor
tile 0 21 4 layer0/floor4
tile 0 20 4 layer0/floor
tile 0 19 4 layer0/floor2
tile 0 18 4 layer0/lava4
tile 0 17 4 layer0/lava2
tile 0 16 4 layer0/lava1
tile 0 15 4 layer0/lava2
tile 0 14 4 layer0/lava2
tile 0 13 4 layer0/lava4
tile 0 12 4 layer0/lava1
tile 0 11 4 layer0/lava2
tile 0 10 4 layer0/lava3
tile 0 9 4 layer0/lava2
tile 0 8 4 layer0/lava4
tile 0 7 4 layer0/lava3
tile 0 6 4 layer0/lava2
tile 0 5 4 layer0/floor3
tile 0 4 4 layer0/floor
tile 0 3 4 layer0/floor
tile 0 2 4 layer0/floor
tile 0 1 4 layer0/floor
tile 0 0 4 layer0/floor
tile 0 42 3 layer0/lava4
tile 0 41 3 layer0/lava2
tile 0 40 3 layer0/lava4
tile 0 39 3 layer0/lava4
tile 0 38 3 layer0/lava3
tile 0 37 3 layer0/floor
tile 0 36 3 layer0/floor
tile 0 35 3 layer0/floor
tile 0 34 3 layer0/floor
tile 0 33 3 layer0/floor5
tile 0 32 3 layer0/floor5
tile 0 31 3 layer0/floor
tile 0 30 3 layer0/floor
tile 0 29 3 layer0/floor
tile 0 28 3 layer0/floor4
tile 0 27 3 layer0/floor6
tile 0 26 3 layer0/floor
tile 0 25 3 layer0/floor
tile 0 24 3 layer0/floor
tile 0 23 3 layer0/floor
tile 0 22 3 layer0/floor
tile 0 21 3 layer0/floor
tile 0 20 3 layer0/floor
tile 0 19 3 layer0/floor
tile 0 18 3 layer0/lava3
tile 0 17 3 layer0/lava1
tile 0 16 3 layer0/lava4
tile 0 13 3 layer0/lava3
tile 0 12 3 layer0/lava2
tile 0 11 3 layer0/lava2
tile 0 10 3 layer0/lava4
tile 0 9 3 layer0/lava3
tile 0 8 3 layer0/lava1
tile 0 7 3 layer0/lava2
tile 0 6 3 layer0/lava3
tile 0 5 3 layer0/lava1
tile 0 4 3 layer0/lava4
tile 0 3 3 layer0/floor
tile 0 2 3 layer0/floor
tile 0 1 3 layer0/floor
tile 0 0 3 layer0/floor4
tile 0 42 2 layer0/lava1
tile 0 41 2 layer0/lava2
tile 0 40 2 layer0/lava4
tile 0 39 2 layer0/lava2
tile 0 38 2 layer0/lava4
tile 0 37 2 layer0/floor
tile 0 36 2 layer0/lava4
tile 0 35 2 layer0/floor
tile 0 34 2 layer0/lava2
tile 0 33 2 layer0/lava3
tile 0 32 2 layer0/lava4
tile 0 31 2 layer0/floor
tile 0 30 2 layer0/lava4
tile 0 29 2 layer0/lava1
tile 0 28 2 layer0/lava4
tile 0 27 2 layer0/floor
tile 0 26 2 layer0/floor
tile 0 25 2 layer0/floor6
tile 0 24 2 layer0/lava4
tile 0 23 2 layer0/floor
tile 0 22 2 layer0/floor5
tile 0 21 2 layer0/floor
tile 0 20 2 layer0/floor
tile 0 19 2 layer0/lava2
tile 0 18 2 layer0/lava3
tile 0 17 2 layer0/lava3
tile 0 12 2 layer0/lava1
tile 0 11 2 layer0/lava4
tile 0 10 2 layer0/lava4
tile 0 9 2 layer0/lava2
tile 0 8 2 layer0/lava4
tile 0 7 2 layer0/lava3
tile 0 6 2 layer0/lava2
tile 0 5 2 layer0/lava2
tile 0 1 2 layer0/floor
tile 0 0 2 layer0/floor3
tile 0 43 1 layer0/lava4
tile 0 42 1 layer0/lava3
tile 0 41 1 layer0/lava2
tile 0 40 1 layer0/lava4
tile 0 39 1 layer0/lava2
tile 0 38 1 layer0/lava3
tile 0 37 1 layer0/lava2
tile 0 36 1 layer0/lava4
tile 0 35 1 layer0/lava1
tile 0 34 1 layer0/lava3
tile 0 33 1 layer0/lava4
tile 0 32 1 layer0/lava2
tile 0 31 1 layer0/lava1
tile 0 30 1 layer0/lava1
tile 0 29 1 layer0/lava4
tile 0 28 1 layer0/lava2
tile 0 27 1 layer0/lava4
tile 0 26 1 layer0/lava2
tile 0 25 1 layer0/lava3
tile 0 24 1 layer0/lava1
tile 0 23 1 layer0/lava1
tile 0 22 1 layer0/lava1
tile 0 21 1 layer0/floor
tile 0 20 1 layer0/lava2
tile 0 19 1 layer0/lava3
tile 0 18 1 layer0/lava1
tile 0 17 1 layer0/lava3
tile 0 13 1 layer0/lava1
tile 0 12 1 layer0/lava3
tile 0 11 1 layer0/lava1
tile 0 10 1 layer0/lava3
tile 0 9 1 layer0/lava2
tile 0 8 1 layer0/lava2
tile 0 7 1 layer0/lava1
tile 0 6 1 layer0/lava4
tile 0 5 1 layer0/lava4
tile 0 43 0 layer0/lava1
tile 0 42 0 layer0/lava2
tile 0 41 0 layer0/lava2
tile 0 40 0 layer0/lava1
tile 0 39 0 layer0/lava3
tile 0 38 0 layer0/lava2
tile 0 37 0 layer0/lava4
tile 0 36 0 layer0/lava4
tile 0 35 0 layer0/lava2
tile 0 34 0 layer0/lava2
tile 0 33 0 layer0/lava3
tile 0 32 0 layer0/lava3
tile 0 31 0 layer0/lava4
tile 0 30 0 layer0/lava4
tile 0 29 0 layer0/lava4
tile 0 28 0 layer0/lava1
tile 0 27 0 layer0/lava3
tile 0 26 0 layer0/lava2
tile 0 25 0 layer0/lava2
tile 0 24 0 layer0/lava3
tile 0 23 0 layer0/lava4
tile 0 22 0 layer0/lava1
tile 0 21 0 layer0/lava2
tile 0 20 0 layer0/lava4
tile 0 19 0 layer0/lava1
tile 0 18 0 layer0/lava4
tile 0 17 0 layer0/lava3
tile 0 13 0 layer0/lava1
tile 0 12 0 layer0/lava3
tile 0 11 0 layer0/lava2
tile 0 10 0 layer0/lava4
tile 0 9 0 layer0/lava1
tile 0 8 0 layer0/lava4
tile 0 7 0 layer0/lava3
tile 0 6 0 layer0/lava2
tile 0 5 0 layer0/lava2
tile 2 40 14 layer2/lava-concave-l
tile 2 40 14 layer2/lava-convex-r
tile 2 16 14 layer2/lava-concave-bl
tile 2 16 14 layer2/lava-concave-br
tile 2 12 14 layer2/lava-concave-br
tile 2 12 14 layer2/lava-concave-bl
tile 2 10 14 layer2/lava-concave-br
tile 2 10 14 layer2/lava-concave-bl
tile 2 40 13 layer2/lava-concave-l
tile 2 40 13 layer2/lava-convex-r
tile 2 36 13 layer2/lava-concave-br
tile 2 36 13 layer2/lava-convex-tl
tile 2 35 13 layer2/lava-concave-bl
tile 2 35 13 layer2/lava-concave-br
tile 2 34 13 layer2/lava-concave-bl
tile 2 34 13 layer2/lava-convex-tr
tile 2 32 13 layer2/lava-concave-bl
tile 2 32 13 layer2/lava-concave-br
tile 2 18 13 layer2/lava-convex-tl
tile 2 18 13 layer2/lava-concave-br
tile 2 17 13 layer2/lava-convex-tl
tile 2 17 13 layer2/lava-concave-br
tile 2 15 13 layer2/lava-concave-bl
tile 2 15 13 layer2/lava-convex-tr
tile 2 14 13 layer2/lava-convex-tl
tile 2 14 13 layer2/lava-convex-tr
tile 2 13 13 layer2/lava-concave-br
tile 2 13 13 layer2/lava-convex-tl
tile 2 11 13 layer2/lava-convex-tl
tile 2 11 13 layer2/lava-convex-tr
tile 2 9 13 layer2/lava-convex-tr
tile 2 9 13 layer2/lava-concave-bl
tile 2 8 13 layer2/lava-convex-tl
tile 2 8 13 layer2/lava-convex-tr
tile 2 7 13 layer2/lava-concave-br
tile 2 7 13 layer2/lava-concave-bl
tile 2 6 13 layer2/lava-concave-l
tile 2 40 12 layer2/lava-concave-tl
tile 2 38 12 layer2/lava-concave-r
tile 2 37 12 layer2/lava-convex-tl
tile 2 37 12 layer2/lava-concave-br
tile 2 33 12 layer2/lava-convex-tl
tile 2 33 12 layer2/lava-convex-tr
tile 2 31 12 layer2/lava-concave-bl
tile 2 31 12 layer2/lava-convex-tr
tile 2 30 12 layer2/lava-concave-bl
tile 2 30 12 layer2/lava-convex-tr
tile 2 26 12 layer2/lava-concave-bl
tile 2 26 12 layer2/lava-concave-br
tile 2 20 12 layer2/lava-convex-tl
tile 2 20 12 layer2/lava-concave-br
tile 2 19 12 layer2/lava-convex-tl
tile 2 19 12 layer2/lava-concave-br
tile 2 6 12 layer2/lava-concave-l
tile 2 6 12 layer2/lava-convex-r
tile 2 41 11 layer2/lava-concave-l
tile 2 41 11 layer2/lava-convex-br
tile 2 41 11 layer2/lava-convex-r
tile 2 38 11 layer2/lava-concave-r
tile 2 38 11 layer2/lava-convex-l
tile 2 29 11 layer2/lava-concave-bl
tile 2 29 11 layer2/lava-convex-tr
tile 2 28 11 layer2/lava-convex-tl
tile 2 28 11 layer2/lava-convex-tr
tile 2 27 11 layer2/lava-convex-tl
tile 2 27 11 layer2/lava-concave-br
tile 2 25 11 layer2/lava-concave-l
tile 2 24 11 layer2/lava-concave-br
tile 2 24 11 layer2/lava-convex-tl
tile 2 23 11 layer2/lava-concave-br
tile 2 23 11 layer2/lava-concave-bl
tile 2 22 11 layer2/lava-convex-tl
tile 2 22 11 layer2/lava-convex-tr
tile 2 21 11 layer2/lava-convex-tl
tile 2 21 11 layer2/lava-concave-br
tile 2 6 11 layer2/lava-concave-l
tile 2 6 11 layer2/lava-convex-r
tile 2 41 10 layer2/lava-concave-l
tile 2 41 10 layer2/lava-convex-r
tile 2 38 10 layer2/lava-concave-br
tile 2 38 10 layer2/lava-convex-l
tile 2 38 10 layer2/lava-convex-tl
tile 2 25 10 layer2/lava-concave-l
tile 2 25 10 layer2/lava-concave-r
tile 2 25 10 layer2/lava-convex-r
tile 2 16 10 layer2/lava-concave-tl
tile 2 16 10 layer2/lava-convex-bl
tile 2 16 10 layer2/lava-convex-br
tile 2 12 10 layer2/lava-concave-tl
tile 2 12 10 layer2/lava-convex-bl
tile 2 12 10 layer2/lava-convex-br
tile 2 6 10 layer2/lava-concave-l
tile 2 6 10 layer2/lava-convex-r
tile 2 42 9 layer2/lava-concave-l
tile 2 42 9 layer2/lava-convex-br
tile 2 42 9 layer2/lava-convex-r
tile 2 41 9 layer2/lava-concave-tl
tile 2 39 9 layer2/lava-concave-r
tile 2 25 9 layer2/lava-convex-r
tile 2 25 9 layer2/lava-convex-tr
tile 2 25 9 layer2/lava-concave-bl
tile 2 24 9 layer2/lava-concave-l
tile 2 24 9 layer2/lava-concave-r
tile 2 24 9 layer2/lava-convex-bl
tile 2 24 9 layer2/lava-convex-l
tile 2 24 9 layer2/lava-concave-tr
tile 2 17 9 layer2/lava-concave-l
tile 2 17 9 layer2/lava-convex-br
tile 2 17 9 layer2/lava-convex-r
tile 2 15 9 layer2/lava-concave-tr
tile 2 15 9 layer2/lava-convex-bl
tile 2 14 9 layer2/lava-concave-tr
tile 2 13 9 layer2/lava-concave-tl
tile 2 13 9 layer2/lava-convex-br
tile 2 11 9 layer2/lava-concave-tr
tile 2 11 9 layer2/lava-convex-bl
tile 2 10 9 layer2/lava-concave-tr
tile 2 10 9 layer2/lava-concave-r
tile 2 10 9 layer2/lava-convex-bl
tile 2 10 9 layer2/lava-convex-l
tile 2 6 9 layer2/lava-concave-bl
tile 2 6 9 layer2/lava-convex-r
tile 2 6 9 layer2/lava-convex-tr
tile 2 0 9 layer2/lava-concave-br
tile 2 42 8 layer2/lava-concave-bl
tile 2 42 8 layer2/lava-convex-r
tile 2 42 8 layer2/lava-convex-tr
tile 2 39 8 layer2/lava-concave-r
tile 2 39 8 layer2/lava-convex-l
tile 2 24 8 layer2/lava-concave-r
tile 2 24 8 layer2/lava-concave-tl
tile 2 24 8 layer2/lava-convex-l
tile 2 17 8 layer2/lava-concave-l
tile 2 17 8 layer2/lava-convex-r
tile 2 5 8 layer2/lava-convex-tr
tile 2 5 8 layer2/lava-concave-bl
tile 2 4 8 layer2/lava-convex-tr
tile 2 4 8 layer2/lava-concave-bl
tile 2 2 8 layer2/lava-convex-tl
tile 2 2 8 layer2/lava-concave-br
tile 2 1 8 layer2/lava-convex-tl
tile 2 1 8 layer2/lava-concave-br
tile 2 41 7 layer2/lava-concave-l
tile 2 39 7 layer2/lava-concave-r
tile 2 39 7 layer2/lava-convex-l
tile 2 25 7 layer2/lava-concave-l
tile 2 25 7 layer2/lava-convex-br
tile 2 25 7 layer2/lava-convex-r
tile 2 24 7 layer2/lava-concave-r
tile 2 24 7 layer2/lava-convex-l
tile 2 18 7 layer2/lava-concave-l
tile 2 18 7 layer2/lava-convex-br
tile 2 18 7 layer2/lava-convex-r
tile 2 17 7 layer2/lava-concave-tl
