size 30 25
tileset outdoor
visibilityRadius 8
unexplored



item 1 "ruraldoor_SE" 10 7
tile base 29 19 base/grass0
tile base 25 19 base/grass4
tile base 24 19 base/grass0
tile base 23 19 base/grass6
tile base 22 19 base/grass2
tile base 21 19 base/grass4
tile base 17 19 base/grass6
tile base 16 19 base/grass4
tile base 15 19 base/pathclean2
tile base 14 19 base/pathclean2
tile base 13 19 base/dirt0
tile base 12 19 base/dirt0
tile base 8 19 base/dirt1
tile base 7 19 base/dirt0
tile base 6 19 base/pathclean2
tile base 5 19 base/pathclean0
tile base 4 19 base/grass4
tile base 3 19 base/grass3
tile base 2 19 base/grass2
tile base 1 19 base/dirt6
tile base 29 18 base/grass4
tile base 26 18 base/path1
tile base 23 18 base/grass4
tile base 22 18 base/grass4
tile base 15 18 base/grass0
tile base 14 18 base/grass3
tile base 13 18 base/pathclean2
tile base 12 18 base/pathclean1
tile base 11 18 base/dirt6
tile base 10 18 base/dirt0
tile base 9 18 base/dirt0
tile base 8 18 base/pathclean2
tile base 7 18 base/pathclean2
tile base 6 18 base/grass2
tile base 5 18 base/grass5
tile base 3 18 base/grass0
tile base 2 18 base/grass1
tile base 29 17 base/grass4
tile base 26 17 base/path2
tile base 25 17 base/path2
tile base 24 17 base/path0
tile base 21 17 base/grass0
tile base 20 17 base/grass5
tile base 13 17 base/grass6
tile base 12 17 base/grass6
tile base 11 17 base/pathclean2
tile base 10 17 base/pathclean1
tile base 9 17 base/pathclean2
tile base 8 17 base/grass2
tile base 7 17 base/grass1
tile base 2 17 base/grass3
tile base 29 16 base/grass4
tile base 26 16 base/path3
tile base 25 16 base/path0
tile base 24 16 base/path3
tile base 23 16 base/path3
tile base 22 16 base/path0
tile base 19 16 base/grass0
tile base 18 16 base/grass1
tile base 16 16 base/grass4
tile base 11 16 base/grass6
tile base 10 16 base/pathclean0
tile base 9 16 base/grass0
tile base 2 16 base/grass6
tile base 29 15 base/grass1
tile base 26 15 base/path3
tile base 25 15 base/path1
tile base 24 15 base/path3
tile base 23 15 base/path3
tile base 22 15 base/path2
tile base 21 15 base/path2
tile base 20 15 base/path2
tile base 17 15 base/grass6
tile base 15 15 base/grass4
tile base 14 15 base/grass5
tile base 12 15 base/grass3
tile base 11 15 base/grass5
tile base 10 15 base/pathclean1
tile base 9 15 base/grass2
tile base 8 15 base/grass2
tile base 2 15 base/grass6
tile base 29 14 base/grass1
tile base 26 14 base/path2
tile base 25 14 base/path2
tile base 24 14 base/path2
tile base 23 14 base/path2
tile base 22 14 base/path1
tile base 21 14 base/path1
tile base 20 14 base/path0
tile base 19 14 base/path1
tile base 16 14 base/path2
tile base 13 14 base/grass6
tile base 12 14 base/grass1
tile base 11 14 base/grass0
tile base 10 14 base/pathclean0
tile base 9 14 base/grass1
tile base 3 14 base/grass3
tile base 2 14 base/grass5
tile base 29 13 base/grass3
tile base 25 13 base/path3
tile base 24 13 base/path0
tile base 23 13 base/path1
tile base 22 13 base/path1
tile base 21 13 base/path0
tile base 20 13 base/path0
tile base 18 13 base/path0
tile base 17 13 base/path0
tile base 16 13 base/path1
tile base 15 13 base/path3
tile base 12 13 base/pathclean1
tile base 11 13 base/pathclean0
tile base 10 13 base/grass6
tile base 9 13 base/grass6
tile base 8 13 base/grass3
tile base 2 13 base/grass2
tile base 29 12 base/grass1
tile base 26 12 base/pathclean0
tile base 23 12 base/path3
tile base 22 12 base/path1
tile base 21 12 base/path3
tile base 20 12 base/path2
tile base 19 12 base/path3
tile base 18 12 base/path0
tile base 17 12 base/path3
tile base 16 12 base/path2
tile base 15 12 base/path2
tile base 13 12 base/path0
tile base 12 12 base/path1
tile base 11 12 base/pathclean1
tile base 9 12 base/grass1
tile base 8 12 base/grass0
tile base 4 12 base/grass6
tile base 3 12 base/grass3
tile base 29 11 base/grass5
tile base 26 11 base/pathclean1
tile base 25 11 base/pathclean2
tile base 24 11 base/pathclean1
tile base 22 11 base/path3
tile base 21 11 base/path3
tile base 20 11 base/path2
tile base 19 11 base/path0
tile base 18 11 base/path1
tile base 17 11 base/path2
tile base 16 11 base/path2
tile base 15 11 base/path0
tile base 13 11 base/path0
tile base 12 11 base/path1
tile base 11 11 base/path3
tile base 10 11 base/path0
tile base 7 11 base/grass3
tile base 6 11 base/grass1
tile base 5 11 base/grass2
tile base 0 11 base/grass6
tile base 29 10 base/grass1
tile base 26 10 base/pathclean1
tile base 25 10 base/pathclean0
tile base 24 10 base/pathclean0
tile base 23 10 base/pathclean0
tile base 22 10 base/pathclean1
tile base 21 10 base/path1
tile base 19 10 base/path1
tile base 18 10 base/path0
tile base 17 10 base/path3
tile base 16 10 base/path2
tile base 15 10 base/path3
tile base 13 10 base/path0
tile base 12 10 base/path2
tile base 11 10 base/path0
tile base 9 10 base/path0
tile base 8 10 base/path0
tile base 4 10 base/path1
tile base 1 10 base/grass6
tile base 0 10 base/grass3
tile base 29 9 base/grass4
tile base 26 9 base/pathclean2
tile base 25 9 base/pathclean2
tile base 24 9 base/pathclean1
tile base 23 9 base/pathclean1
tile base 22 9 base/pathclean0
tile base 21 9 base/pathclean0
tile base 17 9 base/path1
tile base 16 9 base/path3
tile base 14 9 base/path0
tile base 13 9 base/path3
tile base 12 9 base/path2
tile base 10 9 base/path3
tile base 9 9 base/path3
tile base 8 9 base/path3
tile base 7 9 base/path1
tile base 6 9 base/path3
tile base 5 9 base/path0
tile base 4 9 base/path2
tile base 3 9 base/path0
tile base 2 9 base/path1
tile base 0 9 base/grass3
tile base 29 8 base/grass3
tile base 25 8 base/pathclean2
tile base 24 8 base/pathclean2
tile base 23 8 base/pathclean1
tile base 22 8 base/pathclean1
tile base 20 8 base/pathclean0
tile base 19 8 base/pathclean0
tile base 18 8 base/pathclean2
tile base 15 8 base/path2
tile base 14 8 base/path0
tile base 13 8 base/path0
tile base 12 8 base/path2
tile base 9 8 base/path1
tile base 8 8 base/path2
tile base 7 8 base/path2
tile base 6 8 base/path2
tile base 5 8 base/path3
tile base 4 8 base/path2
tile base 3 8 base/path3
tile base 2 8 base/path1
tile base 0 8 base/grass0
tile base 29 7 base/grass6
tile base 28 7 base/grass1
tile base 22 7 base/pathclean1
tile base 21 7 base/pathclean1
tile base 20 7 base/pathclean0
tile base 19 7 base/pathclean0
tile base 18 7 base/pathclean1
tile base 17 7 base/pathclean2
tile base 16 7 base/pathclean2
tile base 13 7 base/path0
tile base 12 7 base/path3
tile base 11 7 base/path3
tile base 10 7 base/path0
tile base 7 7 base/path3
tile base 6 7 base/path0
tile base 5 7 base/path2
tile base 4 7 base/path3
tile base 3 7 base/path0
tile base 2 7 base/path2
tile base 0 7 base/grass3
tile base 29 6 base/grass1
tile base 28 6 base/grass2
tile base 27 6 base/grass5
tile base 26 6 base/grass2
tile base 21 6 base/pathclean2
tile base 20 6 base/pathclean0
tile base 19 6 base/pathclean1
tile base 18 6 base/pathclean2
tile base 17 6 base/pathclean1
tile base 16 6 base/pathclean1
tile base 15 6 base/pathclean1
tile base 11 6 base/path1
tile base 10 6 base/path3
tile base 9 6 base/path3
tile base 8 6 base/path2
tile base 6 6 base/path0
tile base 5 6 base/path0
tile base 4 6 base/path3
tile base 3 6 base/path3
tile base 0 6 base/grass5
tile base 29 5 base/grass6
tile base 28 5 base/grass1
tile base 27 5 base/grass2
tile base 26 5 base/grass0
tile base 25 5 base/grass6
tile base 24 5 base/grass0
tile base 19 5 base/pathclean2
tile base 18 5 base/pathclean2
tile base 17 5 base/pathclean2
tile base 12 5 base/path0
tile base 11 5 base/path2
tile base 10 5 base/path0
tile base 9 5 base/path3
tile base 8 5 base/path1
tile base 5 5 base/path1
tile base 2 5 base/grass2
tile base 1 5 base/grass3
tile base 0 5 base/grass6
tile base 29 4 base/grass6
tile base 28 4 base/grass6
tile base 27 4 base/grass3
tile base 26 4 base/grass0
tile base 25 4 base/grass2
tile base 24 4 base/grass5
tile base 23 4 base/grass0
tile base 22 4 base/grass3
tile base 14 4 base/grass4
tile base 13 4 base/path2
tile base 12 4 base/path0
tile base 11 4 base/path3
tile base 10 4 base/path0
tile base 9 4 base/path2
tile base 8 4 base/grass1
tile base 7 4 base/grass5
tile base 6 4 base/grass6
tile base 4 4 base/grass0
tile base 3 4 base/grass1
tile base 2 4 base/grass6
tile base 1 4 base/grass2
tile base 0 4 base/grass3
tile base 29 3 base/grass0
tile base 28 3 base/grass4
tile base 27 3 base/grass1
tile base 26 3 base/grass3
tile base 25 3 base/grass0
tile base 24 3 base/grass3
tile base 23 3 base/grass0
tile base 22 3 base/grass5
tile base 21 3 base/grass4
tile base 20 3 base/grass1
tile base 16 3 base/grass6
tile base 15 3 base/grass5
tile base 14 3 base/grass6
tile base 13 3 base/grass3
tile base 12 3 base/grass4
tile base 11 3 base/path0
tile base 10 3 base/path3
tile base 9 3 base/grass5
tile base 8 3 base/grass6
tile base 7 3 base/grass5
tile base 6 3 base/grass0
tile base 5 3 base/grass0
tile base 4 3 base/grass2
tile base 3 3 base/grass3
tile base 2 3 base/grass5
tile base 1 3 base/grass2
tile base 0 3 base/grass4
tile base 29 2 base/grass5
tile base 28 2 base/grass1
tile base 27 2 base/grass6
tile base 26 2 base/grass6
tile base 25 2 base/grass6
tile base 24 2 base/grass5
tile base 23 2 base/grass0
tile base 22 2 base/grass5
tile base 21 2 base/grass4
tile base 20 2 base/grass5
tile base 19 2 base/grass5
tile base 18 2 base/grass4
tile base 17 2 base/grass4
tile base 16 2 base/grass0
tile base 15 2 base/grass1
tile base 14 2 base/grass2
tile base 13 2 base/grass1
tile base 12 2 base/grass2
tile base 11 2 base/path1
tile base 10 2 base/path1
tile base 9 2 base/grass5
tile base 8 2 base/grass3
tile base 7 2 base/grass0
tile base 6 2 base/grass5
tile base 5 2 base/grass0
tile base 4 2 base/grass1
tile base 3 2 base/grass6
tile base 2 2 base/grass6
tile base 1 2 base/grass4
tile base 0 2 base/grass0
tile base 29 1 base/grass4
tile base 28 1 base/grass2
tile base 27 1 base/grass6
tile base 26 1 base/grass3
tile base 25 1 base/grass2
tile base 24 1 base/grass1
tile base 23 1 base/grass6
tile base 22 1 base/grass4
tile base 21 1 base/grass2
tile base 20 1 base/grass5
tile base 19 1 base/grass0
tile base 18 1 base/grass1
tile base 17 1 base/grass1
tile base 16 1 base/grass5
tile base 15 1 base/grass4
tile base 14 1 base/grass2
tile base 13 1 base/grass0
tile base 12 1 base/grass4
tile base 11 1 base/path2
tile base 10 1 base/path2
tile base 9 1 base/grass1
tile base 8 1 base/grass4
tile base 7 1 base/grass2
tile base 6 1 base/grass3
tile base 5 1 base/grass0
tile base 4 1 base/grass1
tile base 3 1 base/grass6
tile base 2 1 base/grass3
tile base 1 1 base/grass5
tile base 0 1 base/grass0
tile base 29 0 base/grass6
tile base 28 0 base/grass0
tile base 27 0 base/grass1
tile base 26 0 base/grass1
tile base 25 0 base/grass6
tile base 24 0 base/grass3
tile base 23 0 base/grass6
tile base 22 0 base/grass1
tile base 21 0 base/grass0
tile base 20 0 base/grass3
tile base 19 0 base/grass4
tile base 18 0 base/grass4
tile base 17 0 base/grass2
tile base 16 0 base/grass0
tile base 15 0 base/grass3
tile base 14 0 base/grass3
tile base 13 0 base/grass5
tile base 12 0 base/grass1
tile base 11 0 base/path0
tile base 10 0 base/path3
tile base 9 0 base/grass1
tile base 8 0 base/grass1
tile base 7 0 base/grass3
tile base 6 0 base/grass0
tile base 5 0 base/grass0
tile base 4 0 base/grass1
tile base 3 0 base/grass6
tile base 2 0 base/grass2
tile base 1 0 base/grass5
tile base 0 0 base/grass3
tile borders 24 24 borders/pathclean-sw-nw
tile borders 22 24 borders/pathclean-n
tile borders 22 24 borders/pathclean-n-ne-se
tile borders 6 24 borders/pathclean-sw-nw
tile borders 4 24 borders/pathclean-ne-se
tile borders 24 23 borders/pathclean-sw
tile borders 21 23 borders/pathclean-n-ne
tile borders 21 23 borders/pathclean-n
tile borders 20 23 borders/pathclean-n-ne
tile borders 20 23 borders/pathclean-n
tile borders 6 23 borders/pathclean-sw-nw
tile borders 4 23 borders/pathclean-ne-se
tile borders 26 22 borders/grass-n
tile borders 23 22 borders/pathclean-s-sw
tile borders 22 22 borders/pathclean-s-sw
tile borders 19 22 borders/pathclean-n-ne
tile borders 19 22 borders/pathclean-n
tile borders 18 22 borders/pathclean-n
tile borders 18 22 borders/pathclean-n-ne
tile borders 6 22 borders/pathclean-sw-nw
tile borders 4 22 borders/pathclean-ne-se
tile borders 21 21 borders/pathclean-s-sw
tile borders 21 21 borders/grass-nw-n
tile borders 20 21 borders/pathclean-s-sw
tile borders 17 21 borders/pathclean-n-ne
tile borders 17 21 borders/pathclean-n
tile borders 16 21 borders/pathclean-n-ne
tile borders 16 21 borders/pathclean-n
tile borders 6 21 borders/pathclean-sw-nw
tile borders 4 21 borders/pathclean-ne-se
tile borders 4 21 borders/grass-n
tile borders 19 20 borders/pathclean-s-sw
tile borders 18 20 borders/pathclean-s-sw
tile borders 15 20 borders/pathclean-n-ne
tile borders 15 20 borders/pathclean-n
tile borders 14 20 borders/pathclean-n
tile borders 14 20 borders/pathclean-n-ne
tile borders 6 20 borders/pathclean-sw-nw
tile borders 6 20 borders/pathclean-sw-nw-n
tile borders 4 20 borders/pathclean-ne-se
tile borders 17 19 borders/pathclean-s-sw
tile borders 16 19 borders/pathclean-s-sw
tile borders 13 19 borders/pathclean-n
tile borders 13 19 borders/pathclean-n-ne
tile borders 12 19 borders/pathclean-n
tile borders 12 19 borders/pathclean-n-ne
tile borders 8 19 borders/pathclean-nw
tile borders 8 19 borders/pathclean-nw-n
tile borders 7 19 borders/pathclean-nw
tile borders 7 19 borders/pathclean-nw-n
tile borders 4 19 borders/pathclean-se
tile borders 15 18 borders/pathclean-s-sw
tile borders 14 18 borders/pathclean-s-sw
tile borders 11 18 borders/pathclean-n
tile borders 11 18 borders/pathclean-n-ne
tile borders 10 18 borders/pathclean-nw-n-ne
tile borders 10 18 borders/pathclean-nw
tile borders 9 18 borders/pathclean-nw
tile borders 9 18 borders/pathclean-nw-n
tile borders 6 18 borders/pathclean-se
tile borders 6 18 borders/pathclean-se-s
tile borders 5 18 borders/pathclean-se
tile borders 5 18 borders/pathclean-se-s
tile borders 13 17 borders/pathclean-s-sw
tile borders 12 17 borders/pathclean-s-sw
tile borders 8 17 borders/pathclean-se
tile borders 8 17 borders/pathclean-se-s
tile borders 7 17 borders/pathclean-se
tile borders 7 17 borders/pathclean-se-s
tile borders 11 16 borders/pathclean-s-sw
tile borders 11 16 borders/pathclean-s-sw-nw
tile borders 9 16 borders/pathclean-ne-se
tile borders 9 16 borders/pathclean-ne-se-s
tile borders 11 15 borders/pathclean-sw-nw
tile borders 9 15 borders/pathclean-ne-se
tile borders 12 14 borders/pathclean-nw
tile borders 11 14 borders/pathclean-sw-nw
tile borders 11 14 borders/pathclean-sw-nw-n
tile borders 9 14 borders/pathclean-ne-se
tile borders 10 13 borders/pathclean-ne-se-s
tile borders 9 13 borders/pathclean-se
tile borders 12 12 borders/pathclean-s-sw
tile borders 11 12 borders/pathclean-n
tile borders 22 11 borders/pathclean-n
tile borders 14 4 borders/path-sw
tile borders 8 4 borders/path-se
tile borders 8 4 borders/path-se-s
tile borders 7 4 borders/path-se
tile borders 13 3 borders/path-s-sw
tile borders 12 3 borders/path-s-sw
tile borders 12 3 borders/path-s-sw-nw
tile borders 9 3 borders/path-ne-se
tile borders 9 3 borders/path-ne-se-s
tile borders 12 2 borders/path-sw-nw
tile borders 9 2 borders/path-ne-se
tile borders 12 1 borders/path-sw-nw
tile borders 9 1 borders/path-ne-se
tile wall-base 28 24 wall-base/wall
tile wall-base 27 24 wall-base/wall
tile wall-base 21 24 wall-base/building
tile wall-base 20 24 wall-base/building
tile wall-base 19 24 wall-base/building
tile wall-base 18 24 wall-base/building
tile wall-base 17 24 wall-base/building
tile wall-base 16 24 wall-base/building
tile wall-base 13 24 wall-base/building
tile wall-base 12 24 wall-base/building
tile wall-base 11 24 wall-base/building
tile wall-base 10 24 wall-base/building
tile wall-base 9 24 wall-base/building
tile wall-base 8 24 wall-base/building
tile wall-base 0 24 wall-base/building
tile wall-base 28 23 wall-base/wall
tile wall-base 27 23 wall-base/wall
tile wall-base 19 23 wall-base/building
tile wall-base 18 23 wall-base/building
tile wall-base 17 23 wall-base/building
tile wall-base 16 23 wall-base/building
tile wall-base 15 23 wall-base/building
tile wall-base 12 23 wall-base/building
tile wall-base 11 23 wall-base/building
tile wall-base 10 23 wall-base/building
tile wall-base 9 23 wall-base/building
tile wall-base 2 23 wall-base/building
tile wall-base 1 23 wall-base/building
tile wall-base 0 23 wall-base/building
tile wall-base 28 22 wall-base/wall
tile wall-base 27 22 wall-base/wall
tile wall-base 24 22 wall-base/building
tile wall-base 17 22 wall-base/building
tile wall-base 16 22 wall-base/building
tile wall-base 15 22 wall-base/building
tile wall-base 11 22 wall-base/building
tile wall-base 3 22 wall-base/building
tile wall-base 2 22 wall-base/building
tile wall-base 1 22 wall-base/building
tile wall-base 0 22 wall-base/building
tile wall-base 28 21 wall-base/wall
tile wall-base 27 21 wall-base/wall
tile wall-base 25 21 wall-base/building
tile wall-base 24 21 wall-base/building
tile wall-base 23 21 wall-base/building
tile wall-base 22 21 wall-base/building
tile wall-base 10 21 wall-base/building
tile wall-base 8 21 wall-base/building
tile wall-base 3 21 wall-base/building
tile wall-base 2 21 wall-base/building
tile wall-base 1 21 wall-base/building
tile wall-base 0 21 wall-base/building
tile wall-base 28 20 wall-base/wall
tile wall-base 27 20 wall-base/wall
tile wall-base 23 20 wall-base/building
tile wall-base 12 20 wall-base/building
tile wall-base 11 20 wall-base/building
tile wall-base 10 20 wall-base/building
tile wall-base 9 20 wall-base/building
tile wall-base 8 20 wall-base/building
tile wall-base 7 20 wall-base/building
tile wall-base 3 20 wall-base/building
tile wall-base 2 20 wall-base/building
tile wall-base 1 20 wall-base/building
tile wall-base 28 19 wall-base/wall
tile wall-base 27 19 wall-base/wall
tile wall-base 26 19 wall-base/wall
tile wall-base 20 19 wall-base/building
tile wall-base 19 19 wall-base/building
tile wall-base 18 19 wall-base/building
tile wall-base 11 19 wall-base/building
tile wall-base 10 19 wall-base/building
tile wall-base 9 19 wall-base/building
tile wall-base 0 19 wall-base/wall
tile wall-base 28 18 wall-base/wall
tile wall-base 27 18 wall-base/wall
tile wall-base 25 18 wall-base/wall
tile wall-base 24 18 wall-base/wall
tile wall-base 21 18 wall-base/building
tile wall-base 20 18 wall-base/building
tile wall-base 19 18 wall-base/building
tile wall-base 18 18 wall-base/building
tile wall-base 17 18 wall-base/building
tile wall-base 16 18 wall-base/building
tile wall-base 4 18 wall-base/building
tile wall-base 1 18 wall-base/wall
tile wall-base 0 18 wall-base/wall
tile wall-base 28 17 wall-base/wall
tile wall-base 27 17 wall-base/wall
tile wall-base 23 17 wall-base/wall
tile wall-base 22 17 wall-base/wall
tile wall-base 19 17 wall-base/building
tile wall-base 18 17 wall-base/building
tile wall-base 17 17 wall-base/building
tile wall-base 16 17 wall-base/building
tile wall-base 15 17 wall-base/building
tile wall-base 14 17 wall-base/building
tile wall-base 6 17 wall-base/building
tile wall-base 5 17 wall-base/building
tile wall-base 4 17 wall-base/building
tile wall-base 3 17 wall-base/building
tile wall-base 1 17 wall-base/wall
tile wall-base 0 17 wall-base/wall
tile wall-base 28 16 wall-base/wall
tile wall-base 27 16 wall-base/wall
tile wall-base 21 16 wall-base/wall
tile wall-base 20 16 wall-base/wall
tile wall-base 17 16 wall-base/building
tile wall-base 15 16 wall-base/building
tile wall-base 14 16 wall-base/building
tile wall-base 13 16 wall-base/building
tile wall-base 12 16 wall-base/building
tile wall-base 8 16 wall-base/building
tile wall-base 7 16 wall-base/building
tile wall-base 6 16 wall-base/building
tile wall-base 5 16 wall-base/building
tile wall-base 4 16 wall-base/building
tile wall-base 3 16 wall-base/building
tile wall-base 1 16 wall-base/wall
tile wall-base 0 16 wall-base/wall
tile wall-base 28 15 wall-base/wall
tile wall-base 27 15 wall-base/wall
tile wall-base 19 15 wall-base/wall
tile wall-base 18 15 wall-base/wall
tile wall-base 16 15 wall-base/wall
tile wall-base 13 15 wall-base/building
tile wall-base 7 15 wall-base/building
tile wall-base 6 15 wall-base/building
tile wall-base 5 15 wall-base/building
tile wall-base 4 15 wall-base/building
tile wall-base 3 15 wall-base/building
tile wall-base 1 15 wall-base/wall
tile wall-base 0 15 wall-base/wall
tile wall-base 28 14 wall-base/wall
tile wall-base 27 14 wall-base/wall
tile wall-base 18 14 wall-base/wall
tile wall-base 17 14 wall-base/wall
tile wall-base 15 14 wall-base/wall
tile wall-base 14 14 wall-base/wall
tile wall-base 8 14 wall-base/building
tile wall-base 7 14 wall-base/building
tile wall-base 6 14 wall-base/building
tile wall-base 5 14 wall-base/building
tile wall-base 4 14 wall-base/building
tile wall-base 1 14 wall-base/wall
tile wall-base 0 14 wall-base/wall
tile wall-base 28 13 wall-base/wall
tile wall-base 27 13 wall-base/wall
tile wall-base 26 13 wall-base/wall
tile wall-base 19 13 wall-base/wall
tile wall-base 14 13 wall-base/wall
tile wall-base 13 13 wall-base/wall
tile wall-base 7 13 wall-base/building
tile wall-base 6 13 wall-base/building
tile wall-base 5 13 wall-base/building
tile wall-base 4 13 wall-base/building
tile wall-base 3 13 wall-base/building
tile wall-base 1 13 wall-base/wall
tile wall-base 0 13 wall-base/wall
tile wall-base 28 12 wall-base/wall
tile wall-base 27 12 wall-base/wall
tile wall-base 25 12 wall-base/wall
tile wall-base 24 12 wall-base/wall
tile wall-base 14 12 wall-base/wall
tile wall-base 10 12 wall-base/wall
tile wall-base 7 12 wall-base/building
tile wall-base 6 12 wall-base/building
tile wall-base 5 12 wall-base/building
tile wall-base 2 12 wall-base/wall
tile wall-base 1 12 wall-base/wall
tile wall-base 0 12 wall-base/wall
tile wall-base 28 11 wall-base/wall
tile wall-base 27 11 wall-base/wall
tile wall-base 23 11 wall-base/wall
tile wall-base 14 11 wall-base/wall
tile wall-base 9 11 wall-base/wall
tile wall-base 8 11 wall-base/wall
tile wall-base 4 11 wall-base/wall
tile wall-base 3 11 wall-base/wall
tile wall-base 2 11 wall-base/wall
tile wall-base 1 11 wall-base/wall
tile wall-base 28 10 wall-base/wall
tile wall-base 27 10 wall-base/wall
tile wall-base 20 10 wall-base/wall
tile wall-base 14 10 wall-base/wall
tile wall-base 10 10 wall-base/wall
tile wall-base 7 10 wall-base/wall
tile wall-base 6 10 wall-base/wall
tile wall-base 5 10 wall-base/wall
tile wall-base 3 10 wall-base/wall
tile wall-base 2 10 wall-base/wall
tile wall-base 28 9 wall-base/wall
tile wall-base 27 9 wall-base/wall
tile wall-base 20 9 wall-base/wall
tile wall-base 19 9 wall-base/wall
tile wall-base 18 9 wall-base/wall
tile wall-base 15 9 wall-base/wall
tile wall-base 11 9 wall-base/wall
tile wall-base 1 9 wall-base/wall
tile wall-base 28 8 wall-base/wall
tile wall-base 27 8 wall-base/wall
tile wall-base 26 8 wall-base/wall
tile wall-base 21 8 wall-base/wall
tile wall-base 17 8 wall-base/wall
tile wall-base 16 8 wall-base/wall
tile wall-base 11 8 wall-base/wall
tile wall-base 10 8 wall-base/wall
tile wall-base 1 8 wall-base/wall
tile wall-base 27 7 wall-base/wall
tile wall-base 26 7 wall-base/wall
tile wall-base 25 7 wall-base/wall
tile wall-base 24 7 wall-base/wall
tile wall-base 23 7 wall-base/wall
tile wall-base 15 7 wall-base/wall
tile wall-base 14 7 wall-base/wall
tile wall-base 9 7 wall-base/wall
tile wall-base 8 7 wall-base/wall
tile wall-base 1 7 wall-base/wall
tile wall-base 25 6 wall-base/wall
tile wall-base 24 6 wall-base/wall
tile wall-base 23 6 wall-base/wall
tile wall-base 22 6 wall-base/wall
tile wall-base 14 6 wall-base/wall
tile wall-base 13 6 wall-base/wall
tile wall-base 12 6 wall-base/wall
tile wall-base 7 6 wall-base/wall
tile wall-base 2 6 wall-base/wall
tile wall-base 1 6 wall-base/wall
tile wall-base 23 5 wall-base/wall
tile wall-base 22 5 wall-base/wall
tile wall-base 21 5 wall-base/wall
tile wall-base 20 5 wall-base/wall
tile wall-base 16 5 wall-base/wall
tile wall-base 15 5 wall-base/wall
tile wall-base 14 5 wall-base/wall
tile wall-base 13 5 wall-base/wall
tile wall-base 7 5 wall-base/wall
tile wall-base 6 5 wall-base/wall
tile wall-base 4 5 wall-base/wall
tile wall-base 3 5 wall-base/wall
tile wall-base 21 4 wall-base/wall
tile wall-base 20 4 wall-base/wall
tile wall-base 19 4 wall-base/wall
tile wall-base 18 4 wall-base/wall
tile wall-base 17 4 wall-base/wall
tile wall-base 16 4 wall-base/wall
tile wall-base 15 4 wall-base/wall
tile wall-base 5 4 wall-base/wall
tile wall-base 19 3 wall-base/wall
tile wall-base 18 3 wall-base/wall
tile wall-base 17 3 wall-base/wall
tile entity 17 24 walls/building01
tile entity 16 24 walls/building01
tile entity 14 24 features/shrub06
tile entity 9 24 walls/building01
tile entity 8 24 walls/building01
tile entity 15 23 walls/building01
tile entity 15 23 doorsAndWindows/roof-window-sw
