size 50 40
tileset outdoor
visibilityRadius 8
unexplored


encounter "demonsLvl18" 40 19
encounter "demonsLvl18" 21 31
encounter "demonsLvl18" 5 29
encounter "demonsLvl18" 9 16
encounter "demonsLvl18" 24 6

item 1 "chest_lock_exceptional" 43 4
tile base 31 35 base/water4
tile base 30 35 base/water2
tile base 29 35 base/water3
tile base 28 35 base/ice3
tile base 27 35 base/ice3
tile base 26 35 base/ice2
tile base 25 35 base/water3
tile base 24 35 base/ice3
tile base 23 35 base/water3
tile base 22 35 base/ice1
tile base 21 35 base/ice3
tile base 20 35 base/ice2
tile base 19 35 base/ice0
tile base 18 35 base/ice1
tile base 17 35 base/ice0
tile base 16 35 base/ice3
tile base 15 35 base/ice3
tile base 14 35 base/ice4
tile base 13 35 base/ice4
tile base 12 35 base/ice0
tile base 11 35 base/ice1
tile base 10 35 base/ice5
tile base 9 35 base/ice5
tile base 8 35 base/ice3
tile base 7 35 base/ice5
tile base 6 35 base/ice1
tile base 5 35 base/water2
tile base 4 35 base/water4
tile base 3 35 base/water1
tile base 2 35 base/water1
tile base 1 35 base/water4
tile base 0 35 base/water2
tile base 49 34 base/ice2
tile base 48 34 base/ice3
tile base 47 34 base/ice5
tile base 46 34 base/ice2
tile base 45 34 base/ice2
tile base 44 34 base/ice0
tile base 43 34 base/ice0
tile base 42 34 base/ice0
tile base 41 34 base/ice1
tile base 40 34 base/ice5
tile base 39 34 base/ice0
tile base 38 34 base/ice3
tile base 37 34 base/ice1
tile base 36 34 base/ice5
tile base 35 34 base/ice1
tile base 34 34 base/ice2
tile base 33 34 base/ice4
tile base 32 34 base/ice2
tile base 31 34 base/water2
tile base 30 34 base/ice0
tile base 29 34 base/ice3
tile base 28 34 base/ice4
tile base 27 34 base/ice4
tile base 26 34 base/ice3
tile base 25 34 base/ice5
tile base 24 34 base/ice0
tile base 23 34 base/ice2
tile base 22 34 base/ice1
tile base 21 34 base/ice0
tile base 20 34 base/ice5
tile base 19 34 base/ice1
tile base 18 34 base/ice1
tile base 17 34 base/ice0
tile base 16 34 base/ice5
tile base 15 34 base/ice1
tile base 14 34 base/ice5
tile base 13 34 base/ice5
tile base 12 34 base/ice3
tile base 11 34 base/ice2
tile base 10 34 base/ice3
tile base 9 34 base/ice0
tile base 8 34 base/ice4
tile base 7 34 base/ice3
tile base 6 34 base/ice1
tile base 5 34 base/water1
tile base 4 34 base/water3
tile base 3 34 base/water4
tile base 2 34 base/water0
tile base 1 34 base/water1
tile base 0 34 base/water0
tile base 49 33 base/water0
tile base 48 33 base/water1
tile base 47 33 base/ice2
tile base 46 33 base/ice3
tile base 45 33 base/ice3
tile base 44 33 base/ice0
tile base 43 33 base/ice5
tile base 42 33 base/ice4
tile base 41 33 base/ice3
tile base 40 33 base/ice1
tile base 39 33 base/ice4
tile base 38 33 base/ice5
tile base 37 33 base/ice2
tile base 36 33 base/ice3
tile base 35 33 base/ice3
tile base 34 33 base/water0
tile base 33 33 base/water4
tile base 32 33 base/water2
tile base 31 33 base/ice1
tile base 30 33 base/ice2
tile base 29 33 base/ice0
tile base 28 33 base/ice0
tile base 27 33 base/ice0
tile base 26 33 base/ice1
tile base 25 33 base/ice5
tile base 24 33 base/ice0
tile base 23 33 base/ice4
tile base 22 33 base/ice3
tile base 21 33 base/ice3
tile base 20 33 base/ice2
tile base 19 33 base/ice5
tile base 18 33 base/ice3
tile base 17 33 base/ice5
tile base 16 33 base/ice4
tile base 15 33 base/ice5
tile base 14 33 base/ice3
tile base 13 33 base/ice2
tile base 12 33 base/ice4
tile base 11 33 base/ice4
tile base 10 33 base/ice0
tile base 9 33 base/ice5
tile base 8 33 base/ice3
tile base 7 33 base/ice4
tile base 6 33 base/ice5
tile base 5 33 base/ice1
tile base 4 33 base/water4
tile base 3 33 base/water3
tile base 2 33 base/water2
tile base 1 33 base/water1
tile base 0 33 base/water1
tile base 49 32 base/water3
tile base 48 32 base/water2
tile base 47 32 base/water4
tile base 46 32 base/ice5
tile base 45 32 base/ice3
tile base 44 32 base/ice5
tile base 43 32 base/ice3
tile base 42 32 base/water0
tile base 41 32 base/ice3
tile base 40 32 base/water3
tile base 39 32 base/ice2
tile base 38 32 base/ice4
tile base 37 32 base/ice2
tile base 36 32 base/ice3
tile base 35 32 base/ice4
tile base 34 32 base/water2
tile base 33 32 base/water3
tile base 32 32 base/water2
tile base 31 32 base/ice1
tile base 30 32 base/ice4
tile base 29 32 base/ice1
tile base 28 32 base/water3
tile base 27 32 base/ice0
tile base 26 32 base/ice1
tile base 25 32 base/ice5
tile base 24 32 base/ice1
tile base 23 32 base/ice4
tile base 22 32 base/ice3
tile base 21 32 base/ice1
tile base 20 32 base/ice0
tile base 19 32 base/ice2
tile base 18 32 base/ice0
tile base 17 32 base/ice3
tile base 16 32 base/ice3
tile base 15 32 base/ice5
tile base 14 32 base/ice2
tile base 13 32 base/ice1
tile base 12 32 base/ice1
tile base 11 32 base/ice3
tile base 10 32 base/ice0
tile base 9 32 base/ice4
tile base 8 32 base/ice4
tile base 7 32 base/ice5
tile base 6 32 base/ice3
tile base 5 32 base/ice1
tile base 4 32 base/ice2
tile base 3 32 base/water0
tile base 2 32 base/water2
tile base 1 32 base/water0
tile base 0 32 base/water0
tile base 49 31 base/water3
tile base 48 31 base/water3
tile base 47 31 base/water2
tile base 46 31 base/ice3
tile base 45 31 base/ice5
tile base 44 31 base/ice2
tile base 43 31 base/ice1
tile base 42 31 base/water4
tile base 41 31 base/water1
tile base 40 31 base/water0
tile base 39 31 base/water0
tile base 38 31 base/water1
tile base 37 31 base/ice4
tile base 36 31 base/water0
tile base 35 31 base/water3
tile base 34 31 base/water4
tile base 33 31 base/water4
tile base 32 31 base/water3
tile base 31 31 base/water3
tile base 30 31 base/water0
tile base 29 31 base/water3
tile base 28 31 base/water4
tile base 27 31 base/water0
tile base 26 31 base/water3
tile base 25 31 base/ice2
tile base 24 31 base/ice1
tile base 23 31 base/ice2
tile base 22 31 base/ice1
tile base 21 31 base/ice2
tile base 20 31 base/ice1
tile base 19 31 base/ice4
tile base 18 31 base/ice0
tile base 17 31 base/ice4
tile base 16 31 base/water0
tile base 15 31 base/ice4
tile base 14 31 base/water1
tile base 13 31 base/ice0
tile base 12 31 base/ice2
tile base 11 31 base/ice5
tile base 10 31 base/ice3
tile base 9 31 base/ice2
tile base 8 31 base/ice1
tile base 7 31 base/ice4
tile base 6 31 base/ice2
tile base 5 31 base/ice4
tile base 4 31 base/ice3
tile base 3 31 base/ice2
tile base 2 31 base/ice4
tile base 1 31 base/water1
tile base 0 31 base/water3
tile base 49 30 base/water4
tile base 48 30 base/water3
tile base 47 30 base/water1
tile base 46 30 base/water0
tile base 45 30 base/ice4
tile base 44 30 base/ice2
tile base 43 30 base/ice5
tile base 42 30 base/water1
tile base 41 30 base/water2
tile base 40 30 base/water2
tile base 39 30 base/water0
tile base 38 30 base/water2
tile base 37 30 base/water4
tile base 36 30 base/water4
tile base 35 30 base/water1
tile base 34 30 base/water3
tile base 33 30 base/water1
tile base 32 30 base/water2
tile base 31 30 base/water3
tile base 30 30 base/water3
tile base 29 30 base/water0
tile base 28 30 base/water0
tile base 27 30 base/water0
tile base 26 30 base/water0
tile base 25 30 base/ice3
tile base 24 30 base/ice2
tile base 23 30 base/ice5
tile base 22 30 base/ice2
tile base 21 30 base/ice0
tile base 20 30 base/ice2
tile base 19 30 base/ice4
tile base 18 30 base/ice2
tile base 17 30 base/water1
tile base 16 30 base/water3
tile base 15 30 base/water1
tile base 14 30 base/water2
tile base 13 30 base/ice0
tile base 12 30 base/ice0
tile base 11 30 base/ice4
tile base 10 30 base/ice5
tile base 9 30 base/ice3
tile base 8 30 base/ice0
tile base 7 30 base/ice4
tile base 6 30 base/ice0
tile base 5 30 base/ice1
tile base 4 30 base/ice1
tile base 3 30 base/ice0
tile base 2 30 base/ice2
tile base 1 30 base/water2
tile base 0 30 base/water3
tile base 49 29 base/water3
tile base 48 29 base/water0
tile base 47 29 base/water4
tile base 46 29 base/water4
tile base 45 29 base/ice4
tile base 44 29 base/ice3
tile base 43 29 base/ice5
tile base 42 29 base/ice5
tile base 41 29 base/water0
tile base 40 29 base/water3
tile base 39 29 base/water1
tile base 38 29 base/water3
tile base 37 29 base/water4
tile base 36 29 base/water1
tile base 35 29 base/water1
tile base 34 29 base/water0
tile base 33 29 base/water3
tile base 32 29 base/water3
tile base 31 29 base/water0
tile base 30 29 base/water1
tile base 29 29 base/water2
tile base 28 29 base/water0
tile base 27 29 base/water4
tile base 26 29 base/water4
tile base 25 29 base/water3
tile base 24 29 base/ice2
tile base 23 29 base/ice1
tile base 22 29 base/ice0
tile base 21 29 base/ice2
tile base 20 29 base/ice0
tile base 19 29 base/ice0
tile base 18 29 base/water0
tile base 17 29 base/water1
tile base 16 29 base/water2
tile base 15 29 base/water1
tile base 14 29 base/water0
tile base 13 29 base/ice4
tile base 12 29 base/ice3
tile base 11 29 base/ice3
tile base 10 29 base/ice2
tile base 9 29 base/ice1
tile base 8 29 base/ice2
tile base 7 29 base/ice4
tile base 6 29 base/ice1
tile base 5 29 base/ice4
tile base 4 29 base/ice2
tile base 3 29 base/ice3
tile base 2 29 base/ice5
tile base 1 29 base/water3
tile base 0 29 base/water1
tile base 49 28 base/water0
tile base 48 28 base/water0
tile base 47 28 base/water4
tile base 46 28 base/ice0
tile base 45 28 base/ice0
tile base 44 28 base/ice2
tile base 43 28 base/ice2
tile base 42 28 base/ice5
tile base 41 28 base/water0
tile base 40 28 base/water0
tile base 39 28 base/water1
tile base 38 28 base/water1
tile base 37 28 base/water0
tile base 36 28 base/water1
tile base 35 28 base/water1
tile base 34 28 base/water2
tile base 33 28 base/water0
tile base 32 28 base/water0
tile base 31 28 base/water3
tile base 30 28 base/water4
tile base 29 28 base/water2
tile base 28 28 base/water4
tile base 27 28 base/water2
tile base 26 28 base/water4
tile base 25 28 base/water1
tile base 24 28 base/ice1
tile base 23 28 base/ice2
tile base 22 28 base/ice3
tile base 21 28 base/ice1
tile base 20 28 base/ice2
tile base 19 28 base/water1
tile base 18 28 base/water0
tile base 17 28 base/water0
tile base 16 28 base/water1
tile base 15 28 base/water1
tile base 14 28 base/water2
tile base 13 28 base/water0
tile base 12 28 base/ice0
tile base 11 28 base/ice1
tile base 10 28 base/ice0
tile base 9 28 base/ice4
tile base 8 28 base/ice5
tile base 7 28 base/ice5
tile base 6 28 base/ice2
tile base 5 28 base/ice0
tile base 4 28 base/ice1
tile base 3 28 base/ice5
tile base 2 28 base/water3
tile base 1 28 base/water2
tile base 0 28 base/water4
tile base 49 27 base/water2
tile base 48 27 base/water1
tile base 47 27 base/water1
tile base 46 27 base/ice0
tile base 45 27 base/ice1
tile base 44 27 base/ice3
tile base 43 27 base/ice2
tile base 42 27 base/ice3
tile base 41 27 base/water4
tile base 40 27 base/water0
tile base 39 27 base/water3
tile base 38 27 base/water0
tile base 37 27 base/water1
tile base 36 27 base/water2
tile base 35 27 base/water3
tile base 34 27 base/water1
tile base 33 27 base/water1
tile base 32 27 base/water1
tile base 31 27 base/water1
tile base 30 27 base/water3
tile base 29 27 base/water0
tile base 28 27 base/water3
tile base 27 27 base/water2
tile base 26 27 base/water3
tile base 25 27 base/water0
tile base 24 27 base/ice3
tile base 23 27 base/ice5
tile base 22 27 base/ice4
tile base 21 27 base/ice3
tile base 20 27 base/ice4
tile base 19 27 base/water2
tile base 18 27 base/water1
tile base 17 27 base/water0
tile base 16 27 base/water4
tile base 15 27 base/water4
tile base 14 27 base/water3
tile base 13 27 base/ice5
tile base 12 27 base/ice0
tile base 11 27 base/ice5
tile base 10 27 base/ice3
tile base 9 27 base/ice0
tile base 8 27 base/ice0
tile base 7 27 base/ice1
tile base 6 27 base/ice5
tile base 5 27 base/ice3
tile base 4 27 base/ice3
tile base 3 27 base/water3
tile base 2 27 base/water3
tile base 1 27 base/water4
tile base 0 27 base/water0
tile base 49 26 base/water0
tile base 48 26 base/water2
tile base 47 26 base/water0
tile base 46 26 base/ice3
tile base 45 26 base/ice3
tile base 44 26 base/ice4
tile base 43 26 base/ice1
tile base 42 26 base/ice5
tile base 41 26 base/water0
tile base 40 26 base/water4
tile base 39 26 base/water4
tile base 38 26 base/water2
tile base 37 26 base/water1
tile base 36 26 base/water1
tile base 35 26 base/water4
tile base 34 26 base/water1
tile base 33 26 base/water0
tile base 32 26 base/water3
tile base 31 26 base/water1
tile base 30 26 base/water0
tile base 29 26 base/water0
tile base 28 26 base/water4
tile base 27 26 base/water0
tile base 26 26 base/water1
tile base 25 26 base/ice0
tile base 24 26 base/ice4
tile base 23 26 base/ice4
tile base 22 26 base/ice2
tile base 21 26 base/ice4
tile base 20 26 base/water4
tile base 19 26 base/water2
tile base 18 26 base/water2
tile base 17 26 base/water1
tile base 16 26 base/water1
tile base 15 26 base/water3
tile base 14 26 base/water1
tile base 13 26 base/ice2
tile base 12 26 base/ice0
tile base 11 26 base/ice2
tile base 10 26 base/ice4
tile base 9 26 base/ice1
tile base 8 26 base/ice4
tile base 7 26 base/ice5
tile base 6 26 base/ice4
tile base 5 26 base/ice4
tile base 4 26 base/water0
tile base 3 26 base/water4
tile base 2 26 base/water2
tile base 1 26 base/water3
tile base 0 26 base/water4
tile base 49 25 base/water4
tile base 48 25 base/water4
tile base 47 25 base/water0
tile base 46 25 base/ice3
tile base 45 25 base/ice4
tile base 44 25 base/ice4
tile base 43 25 base/ice0
tile base 42 25 base/ice1
tile base 41 25 base/ice2
tile base 40 25 base/ice2
tile base 39 25 base/water0
tile base 38 25 base/water2
tile base 37 25 base/water1
tile base 36 25 base/water3
tile base 35 25 base/water4
tile base 34 25 base/water1
tile base 33 25 base/water1
tile base 32 25 base/water0
tile base 31 25 base/water0
tile base 30 25 base/water0
tile base 29 25 base/water1
tile base 28 25 base/water1
tile base 27 25 base/water2
tile base 26 25 base/ice2
tile base 25 25 base/ice4
tile base 24 25 base/ice1
tile base 23 25 base/ice2
tile base 22 25 base/ice0
tile base 21 25 base/ice2
tile base 20 25 base/water0
tile base 19 25 base/water2
tile base 18 25 base/water4
tile base 17 25 base/water0
tile base 16 25 base/water0
tile base 15 25 base/water2
tile base 14 25 base/water3
tile base 13 25 base/ice0
tile base 12 25 base/ice4
tile base 11 25 base/ice1
tile base 10 25 base/ice2
tile base 9 25 base/ice3
tile base 8 25 base/ice2
tile base 7 25 base/ice0
tile base 6 25 base/ice2
tile base 5 25 base/ice1
tile base 4 25 base/ice0
tile base 3 25 base/water1
tile base 2 25 base/water0
tile base 1 25 base/water1
tile base 0 25 base/water2
tile base 49 24 base/water3
tile base 48 24 base/water4
tile base 47 24 base/water3
tile base 46 24 base/water1
tile base 45 24 base/ice1
tile base 44 24 base/ice0
tile base 43 24 base/ice2
tile base 42 24 base/ice2
tile base 41 24 base/ice4
tile base 40 24 base/ice3
tile base 39 24 base/water0
tile base 38 24 base/water2
tile base 37 24 base/water2
tile base 36 24 base/ice2
tile base 35 24 base/water2
tile base 34 24 base/water3
tile base 33 24 base/water1
tile base 32 24 base/ice0
tile base 31 24 base/ice0
tile base 30 24 base/ice0
tile base 29 24 base/ice4
tile base 28 24 base/ice1
tile base 27 24 base/ice0
tile base 26 24 base/ice0
tile base 25 24 base/ice3
tile base 24 24 base/ice1
tile base 23 24 base/ice2
tile base 22 24 base/ice4
tile base 21 24 base/ice0
tile base 20 24 base/water2
tile base 19 24 base/water2
tile base 18 24 base/water3
tile base 17 24 base/water2
tile base 16 24 base/water1
tile base 15 24 base/water1
tile base 14 24 base/water4
tile base 13 24 base/water0
tile base 12 24 base/ice5
tile base 11 24 base/ice1
tile base 10 24 base/ice1
tile base 9 24 base/ice5
tile base 8 24 base/ice5
tile base 7 24 base/ice0
tile base 6 24 base/ice4
tile base 5 24 base/ice4
tile base 4 24 base/ice2
tile base 3 24 base/water3
tile base 2 24 base/water4
tile base 1 24 base/water2
tile base 0 24 base/water4
tile base 49 23 base/water2
tile base 48 23 base/water3
tile base 47 23 base/water4
tile base 46 23 base/water0
tile base 45 23 base/water1
tile base 44 23 base/ice5
tile base 43 23 base/ice1
tile base 42 23 base/ice3
tile base 41 23 base/ice0
tile base 40 23 base/ice1
tile base 39 23 base/ice4
tile base 38 23 base/ice4
tile base 37 23 base/ice0
tile base 36 23 base/ice1
tile base 35 23 base/ice0
tile base 34 23 base/ice1
tile base 33 23 base/ice2
tile base 32 23 base/ice0
tile base 31 23 base/ice4
tile base 30 23 base/ice4
tile base 29 23 base/ice2
tile base 28 23 base/ice0
tile base 27 23 base/ice4
tile base 26 23 base/ice2
tile base 25 23 base/ice1
tile base 24 23 base/ice1
tile base 23 23 base/ice3
tile base 22 23 base/water3
tile base 21 23 base/water0
tile base 20 23 base/water1
tile base 19 23 base/water4
tile base 18 23 base/water0
tile base 17 23 base/water0
tile base 16 23 base/water0
tile base 15 23 base/water0
tile base 14 23 base/water2
tile base 13 23 base/ice3
tile base 12 23 base/ice2
tile base 11 23 base/ice2
tile base 10 23 base/ice0
tile base 9 23 base/ice5
tile base 8 23 base/ice1
tile base 7 23 base/ice4
tile base 6 23 base/ice5
tile base 5 23 base/ice1
tile base 4 23 base/ice3
tile base 3 23 base/water1
tile base 2 23 base/water2
tile base 1 23 base/water0
tile base 0 23 base/water4
tile base 49 22 base/water3
tile base 48 22 base/water2
tile base 47 22 base/water4
tile base 46 22 base/water1
tile base 45 22 base/water4
tile base 44 22 base/water4
tile base 43 22 base/ice2
tile base 42 22 base/ice1
tile base 41 22 base/ice4
tile base 40 22 base/ice3
tile base 39 22 base/ice4
tile base 38 22 base/ice4
tile base 37 22 base/ice2
tile base 36 22 base/ice2
tile base 35 22 base/ice3
tile base 34 22 base/ice1
tile base 33 22 base/ice1
tile base 32 22 base/ice2
tile base 31 22 base/ice1
tile base 30 22 base/ice0
tile base 29 22 base/ice1
tile base 28 22 base/ice4
tile base 27 22 base/ice2
tile base 26 22 base/ice1
tile base 25 22 base/ice0
tile base 24 22 base/ice0
tile base 23 22 base/ice2
tile base 22 22 base/water1
tile base 21 22 base/water4
tile base 20 22 base/water1
tile base 19 22 base/water3
tile base 18 22 base/water2
tile base 17 22 base/water0
tile base 16 22 base/water0
tile base 15 22 base/water3
tile base 14 22 base/water1
tile base 13 22 base/ice4
tile base 12 22 base/ice2
tile base 11 22 base/ice3
tile base 10 22 base/ice3
tile base 9 22 base/ice5
tile base 8 22 base/ice0
tile base 7 22 base/ice2
tile base 6 22 base/ice1
tile base 5 22 base/ice5
tile base 4 22 base/water4
tile base 3 22 base/water1
tile base 2 22 base/water4
tile base 1 22 base/water4
tile base 0 22 base/water4
tile base 49 21 base/water1
tile base 48 21 base/water1
tile base 47 21 base/water0
tile base 46 21 base/water2
tile base 45 21 base/water4
tile base 44 21 base/water4
tile base 43 21 base/water0
tile base 42 21 base/ice5
tile base 41 21 base/ice0
tile base 40 21 base/ice2
tile base 39 21 base/ice3
tile base 38 21 base/ice0
tile base 37 21 base/ice2
tile base 36 21 base/ice0
tile base 35 21 base/ice5
tile base 34 21 base/ice0
tile base 33 21 base/ice4
tile base 32 21 base/ice1
tile base 31 21 base/ice3
tile base 30 21 base/ice1
tile base 29 21 base/ice0
tile base 28 21 base/ice5
tile base 27 21 base/ice5
tile base 26 21 base/water3
tile base 25 21 base/ice3
tile base 24 21 base/water4
tile base 23 21 base/water2
tile base 22 21 base/water0
tile base 21 21 base/water1
tile base 20 21 base/water0
tile base 19 21 base/water0
tile base 18 21 base/water3
tile base 17 21 base/water0
tile base 16 21 base/water3
tile base 15 21 base/water2
tile base 14 21 base/water4
tile base 13 21 base/ice3
tile base 12 21 base/ice3
tile base 11 21 base/ice1
tile base 10 21 base/ice4
tile base 9 21 base/ice1
tile base 8 21 base/ice0
tile base 7 21 base/ice5
tile base 6 21 base/ice4
tile base 5 21 base/ice1
tile base 4 21 base/water0
tile base 3 21 base/water4
tile base 2 21 base/water3
tile base 1 21 base/water0
tile base 0 21 base/water0
tile base 49 20 base/water2
tile base 48 20 base/water2
tile base 47 20 base/water3
tile base 46 20 base/water1
tile base 45 20 base/water0
tile base 44 20 base/water2
tile base 43 20 base/water1
tile base 42 20 base/water4
tile base 41 20 base/ice0
tile base 40 20 base/ice0
tile base 39 20 base/ice4
tile base 38 20 base/ice5
tile base 37 20 base/ice3
tile base 36 20 base/ice2
tile base 35 20 base/ice4
tile base 34 20 base/water4
tile base 33 20 base/water1
tile base 32 20 base/water2
tile base 31 20 base/ice3
tile base 30 20 base/water2
tile base 29 20 base/ice4
tile base 28 20 base/water2
tile base 27 20 base/water2
tile base 26 20 base/water3
tile base 25 20 base/water4
tile base 24 20 base/water0
tile base 23 20 base/water3
tile base 22 20 base/water1
tile base 21 20 base/water4
tile base 20 20 base/water2
tile base 19 20 base/water3
tile base 18 20 base/water1
tile base 17 20 base/water0
tile base 16 20 base/water3
tile base 15 20 base/water1
tile base 14 20 base/water1
tile base 13 20 base/water3
tile base 12 20 base/water4
tile base 11 20 base/ice3
tile base 10 20 base/ice2
tile base 9 20 base/ice3
tile base 8 20 base/ice0
tile base 7 20 base/ice1
tile base 6 20 base/ice0
tile base 5 20 base/ice1
tile base 4 20 base/water0
tile base 3 20 base/water0
tile base 2 20 base/water1
tile base 1 20 base/water3
tile base 0 20 base/water2
tile base 49 19 base/water3
tile base 48 19 base/water0
tile base 47 19 base/water4
tile base 46 19 base/water3
tile base 45 19 base/water3
tile base 44 19 base/water2
tile base 43 19 base/water2
tile base 42 19 base/ice1
tile base 41 19 base/ice2
tile base 40 19 base/ice2
tile base 39 19 base/ice3
tile base 38 19 base/ice4
tile base 37 19 base/ice3
tile base 36 19 base/water3
