size 40 40
tileset outdoor
visibilityRadius 6
unexplored


encounter "undeadLvl15" 16 15
encounter "undeadLvl15" 29 11
encounter "undeadLvl15" 24 19
encounter "undeadLvl15" 8 15
encounter "undeadLvl15" 4 19
encounter "undeadLvl16" 4 33
encounter "undeadLvl16" 35 10
encounter "undeadLvl16" 34 23
encounter "undeadLvl16" 31 32
encounter "undeadLvl15" 20 5
encounter "undeadLvl16" 10 29
encounter "narkel" 20 34

item 1 "narkelLvl2_door1" 17 19
tile base 12 32 base/path0
tile base 11 32 base/path2
tile base 9 32 base/path2
tile base 8 32 base/path3
tile base 7 32 base/path3
tile base 6 32 base/path3
tile base 5 32 base/path2
tile base 4 32 base/path2
tile base 3 32 base/path1
tile base 2 32 base/path3
tile base 0 32 base/path1
tile base 39 31 base/path3
tile base 37 31 base/path1
tile base 36 31 base/path2
tile base 35 31 base/path0
tile base 33 31 base/path3
tile base 32 31 base/path3
tile base 31 31 base/path3
tile base 29 31 base/path3
tile base 26 31 base/path2
tile base 25 31 base/path0
tile base 24 31 base/path1
tile base 23 31 base/path0
tile base 22 31 base/path1
tile base 21 31 base/path2
tile base 20 31 base/path0
tile base 19 31 base/path0
tile base 18 31 base/path0
tile base 17 31 base/path2
tile base 16 31 base/path1
tile base 15 31 base/path2
tile base 14 31 base/path2
tile base 10 31 base/path0
tile base 9 31 base/path2
tile base 7 31 base/path1
tile base 6 31 base/path0
tile base 5 31 base/path2
tile base 4 31 base/path1
tile base 3 31 base/path3
tile base 2 31 base/path1
tile base 0 31 base/path2
tile base 39 30 base/path0
tile base 37 30 base/path2
tile base 36 30 base/path1
tile base 35 30 base/path1
tile base 33 30 base/path3
tile base 31 30 base/path0
tile base 30 30 base/path3
tile base 29 30 base/path2
tile base 26 30 base/path0
tile base 25 30 base/path1
tile base 24 30 base/path3
tile base 23 30 base/path1
tile base 22 30 base/path3
tile base 21 30 base/path2
tile base 20 30 base/path1
tile base 19 30 base/path3
tile base 18 30 base/path3
tile base 17 30 base/path0
tile base 16 30 base/path3
tile base 15 30 base/path1
tile base 14 30 base/path3
tile base 12 30 base/path0
tile base 11 30 base/path1
tile base 10 30 base/path0
tile base 9 30 base/path0
tile base 8 30 base/path1
tile base 5 30 base/path1
tile base 4 30 base/path0
tile base 3 30 base/path2
tile base 2 30 base/path3
tile base 0 30 base/path2
tile base 39 29 base/path2
tile base 37 29 base/path0
tile base 36 29 base/path3
tile base 35 29 base/path1
tile base 33 29 base/path0
tile base 32 29 base/path0
tile base 31 29 base/path2
tile base 29 29 base/path1
tile base 25 29 base/path1
tile base 24 29 base/path3
tile base 23 29 base/path2
tile base 22 29 base/path3
tile base 21 29 base/path1
tile base 20 29 base/path1
tile base 19 29 base/path0
tile base 18 29 base/path2
tile base 17 29 base/path0
tile base 16 29 base/path1
tile base 15 29 base/path1
tile base 12 29 base/path1
tile base 11 29 base/path1
tile base 10 29 base/path3
tile base 9 29 base/path1
tile base 8 29 base/path0
tile base 7 29 base/path2
tile base 6 29 base/path1
tile base 4 29 base/path0
tile base 3 29 base/path3
tile base 2 29 base/path2
tile base 0 29 base/path0
tile base 39 28 base/path2
tile base 37 28 base/path1
tile base 36 28 base/path2
tile base 35 28 base/path0
tile base 33 28 base/path0
tile base 31 28 base/path3
tile base 30 28 base/path1
tile base 29 28 base/path2
tile base 23 28 base/path0
tile base 22 28 base/path0
tile base 21 28 base/path1
tile base 20 28 base/path1
tile base 19 28 base/path1
tile base 18 28 base/path0
tile base 17 28 base/path1
tile base 14 28 base/path1
tile base 13 28 base/path1
tile base 12 28 base/path1
tile base 11 28 base/path2
tile base 10 28 base/path0
tile base 9 28 base/path3
tile base 8 28 base/path0
tile base 7 28 base/path3
tile base 6 28 base/path3
tile base 4 28 base/path3
tile base 3 28 base/path2
tile base 2 28 base/path1
tile base 0 28 base/path2
tile base 39 27 base/path3
tile base 37 27 base/path1
tile base 36 27 base/path3
tile base 35 27 base/path2
tile base 33 27 base/path1
tile base 32 27 base/path0
tile base 31 27 base/path1
tile base 29 27 base/path0
tile base 26 27 base/path3
tile base 25 27 base/path0
tile base 24 27 base/path1
tile base 21 27 base/path0
tile base 20 27 base/path1
tile base 19 27 base/path1
tile base 16 27 base/path1
tile base 15 27 base/path0
tile base 14 27 base/path3
tile base 13 27 base/path1
tile base 12 27 base/path0
tile base 11 27 base/path3
tile base 10 27 base/path1
tile base 9 27 base/path3
tile base 8 27 base/path3
tile base 7 27 base/path2
tile base 4 27 base/path1
tile base 3 27 base/path2
tile base 2 27 base/path3
tile base 0 27 base/path3
tile base 39 26 base/path0
tile base 37 26 base/path0
tile base 36 26 base/path1
tile base 35 26 base/path0
tile base 34 26 base/path0
tile base 31 26 base/path2
tile base 30 26 base/path3
tile base 29 26 base/path2
tile base 28 26 base/path2
tile base 27 26 base/path3
tile base 26 26 base/path3
tile base 25 26 base/path0
tile base 24 26 base/path3
tile base 23 26 base/path1
tile base 21 26 base/path1
tile base 20 26 base/path0
tile base 19 26 base/path2
tile base 17 26 base/path2
tile base 16 26 base/path2
tile base 15 26 base/path2
tile base 14 26 base/path0
tile base 12 26 base/path1
tile base 11 26 base/path1
tile base 10 26 base/path3
tile base 9 26 base/path1
tile base 6 26 base/path3
tile base 5 26 base/path3
tile base 4 26 base/path1
tile base 3 26 base/path3
tile base 2 26 base/path2
tile base 0 26 base/path2
tile base 39 25 base/path1
tile base 37 25 base/path1
tile base 36 25 base/path3
tile base 35 25 base/path3
tile base 34 25 base/path3
tile base 33 25 base/path0
tile base 32 25 base/path2
tile base 29 25 base/path2
tile base 28 25 base/path3
tile base 27 25 base/path2
tile base 26 25 base/path3
tile base 25 25 base/path0
tile base 24 25 base/path2
tile base 23 25 base/path0
tile base 21 25 base/path1
tile base 20 25 base/path3
tile base 19 25 base/path2
tile base 17 25 base/path1
tile base 16 25 base/path3
tile base 15 25 base/path0
tile base 14 25 base/path0
tile base 12 25 base/path3
tile base 11 25 base/path3
tile base 8 25 base/path2
tile base 7 25 base/path3
tile base 6 25 base/path1
tile base 5 25 base/path0
tile base 4 25 base/path2
tile base 3 25 base/path0
tile base 2 25 base/path2
tile base 0 25 base/path0
tile base 39 24 base/path0
tile base 37 24 base/path0
tile base 36 24 base/path1
tile base 35 24 base/path3
tile base 34 24 base/path1
tile base 33 24 base/path0
tile base 32 24 base/path0
tile base 31 24 base/path1
tile base 30 24 base/path2
tile base 28 24 base/path2
tile base 27 24 base/path3
tile base 26 24 base/path2
tile base 25 24 base/path2
tile base 24 24 base/path0
tile base 23 24 base/path1
tile base 21 24 base/path1
tile base 20 24 base/path3
tile base 19 24 base/path3
tile base 17 24 base/path3
tile base 16 24 base/path3
tile base 15 24 base/path0
tile base 14 24 base/path3
tile base 10 24 base/path3
tile base 9 24 base/path0
tile base 8 24 base/path0
tile base 7 24 base/path3
tile base 6 24 base/path0
tile base 5 24 base/path0
tile base 4 24 base/path3
tile base 3 24 base/path1
tile base 2 24 base/path0
tile base 0 24 base/path2
tile base 39 23 base/path1
tile base 37 23 base/path2
tile base 36 23 base/path1
tile base 35 23 base/path1
tile base 34 23 base/path0
tile base 33 23 base/path0
tile base 32 23 base/path2
tile base 31 23 base/path3
tile base 30 23 base/path3
tile base 28 23 base/path2
tile base 27 23 base/path3
tile base 26 23 base/path1
tile base 25 23 base/path2
tile base 24 23 base/path2
tile base 23 23 base/path2
tile base 21 23 base/path1
tile base 20 23 base/path2
tile base 19 23 base/path0
tile base 17 23 base/path2
tile base 16 23 base/path3
tile base 15 23 base/path1
tile base 14 23 base/path1
tile base 12 23 base/path0
tile base 11 23 base/path0
tile base 10 23 base/path0
tile base 9 23 base/path2
tile base 8 23 base/path0
tile base 7 23 base/path3
tile base 6 23 base/path0
tile base 5 23 base/path1
tile base 4 23 base/path3
tile base 3 23 base/path3
tile base 0 23 base/path3
tile base 39 22 base/path3
tile base 37 22 base/path0
tile base 36 22 base/path0
tile base 35 22 base/path3
tile base 34 22 base/path0
tile base 33 22 base/path0
tile base 32 22 base/path2
tile base 31 22 base/path2
tile base 27 22 base/path3
tile base 26 22 base/path2
tile base 25 22 base/path3
tile base 24 22 base/path1
tile base 23 22 base/path1
tile base 21 22 base/path0
tile base 20 22 base/path2
tile base 19 22 base/path1
tile base 17 22 base/path2
tile base 16 22 base/path3
tile base 15 22 base/path1
tile base 14 22 base/path2
tile base 11 22 base/path2
tile base 10 22 base/path1
tile base 9 22 base/path0
tile base 8 22 base/path1
tile base 7 22 base/path2
tile base 6 22 base/path3
tile base 5 22 base/path1
tile base 2 22 base/path0
tile base 0 22 base/path3
tile base 39 21 base/path1
tile base 37 21 base/path0
tile base 36 21 base/path0
tile base 35 21 base/path1
tile base 34 21 base/path3
tile base 33 21 base/path1
tile base 30 21 base/path0
tile base 29 21 base/path3
tile base 28 21 base/path1
tile base 25 21 base/path1
tile base 24 21 base/path1
tile base 23 21 base/path3
tile base 21 21 base/path1
tile base 20 21 base/path0
tile base 19 21 base/path3
tile base 17 21 base/path3
tile base 16 21 base/path2
tile base 15 21 base/path2
tile base 14 21 base/path1
tile base 13 21 base/path1
tile base 12 21 base/path2
tile base 9 21 base/path1
tile base 8 21 base/path1
tile base 7 21 base/path1
tile base 6 21 base/path3
tile base 4 21 base/path0
tile base 3 21 base/path0
tile base 2 21 base/path0
tile base 0 21 base/path3
tile base 39 20 base/path0
tile base 37 20 base/path3
tile base 36 20 base/path2
tile base 35 20 base/path3
tile base 32 20 base/path0
tile base 31 20 base/path0
tile base 30 20 base/path3
tile base 29 20 base/path2
tile base 28 20 base/path0
tile base 27 20 base/path1
tile base 26 20 base/path2
tile base 25 20 base/path1
tile base 24 20 base/path1
tile base 23 20 base/path3
tile base 22 20 base/path3
tile base 19 20 base/path3
tile base 18 20 base/path2
tile base 15 20 base/path3
tile base 14 20 base/path0
tile base 13 20 base/path0
tile base 12 20 base/path3
tile base 11 20 base/path2
tile base 10 20 base/path2
tile base 7 20 base/path3
tile base 6 20 base/path3
tile base 5 20 base/path1
tile base 4 20 base/path3
tile base 3 20 base/path3
tile base 2 20 base/path2
tile base 0 20 base/path3
tile base 39 19 base/path3
tile base 37 19 base/path3
tile base 36 19 base/path1
tile base 34 19 base/path1
tile base 33 19 base/path0
tile base 32 19 base/path1
tile base 31 19 base/path0
tile base 30 19 base/path3
tile base 29 19 base/path3
tile base 28 19 base/path3
tile base 27 19 base/path1
tile base 26 19 base/path3
tile base 25 19 base/path0
tile base 24 19 base/path2
tile base 23 19 base/path0
tile base 22 19 base/path2
tile base 21 19 base/path1
tile base 20 19 base/path3
tile base 17 19 base/path2
tile base 16 19 base/path3
tile base 13 19 base/path3
tile base 12 19 base/path1
tile base 11 19 base/path0
tile base 10 19 base/path1
tile base 9 19 base/path1
tile base 7 19 base/path3
tile base 6 19 base/path3
tile base 5 19 base/path3
tile base 4 19 base/path1
tile base 3 19 base/path3
tile base 2 19 base/path3
tile base 0 19 base/path0
tile base 39 18 base/path0
tile base 37 18 base/path1
tile base 36 18 base/path2
tile base 34 18 base/path1
tile base 33 18 base/path3
tile base 32 18 base/path2
tile base 31 18 base/path0
tile base 27 18 base/path0
tile base 26 18 base/path1
tile base 25 18 base/path2
tile base 24 18 base/path2
tile base 23 18 base/path1
tile base 22 18 base/path3
tile base 21 18 base/path2
tile base 20 18 base/path3
tile base 19 18 base/path0
tile base 17 18 base/path2
tile base 16 18 base/path3
tile base 15 18 base/path2
tile base 13 18 base/path2
tile base 12 18 base/path1
tile base 11 18 base/path1
tile base 10 18 base/path3
tile base 9 18 base/path1
tile base 7 18 base/path2
tile base 6 18 base/path3
tile base 5 18 base/path2
tile base 4 18 base/path0
tile base 3 18 base/path2
tile base 2 18 base/path3
tile base 0 18 base/path2
tile base 39 17 base/path2
tile base 37 17 base/path2
tile base 36 17 base/path3
tile base 34 17 base/path0
tile base 33 17 base/path1
tile base 30 17 base/path1
tile base 29 17 base/path3
tile base 28 17 base/path2
tile base 25 17 base/path2
tile base 24 17 base/path1
tile base 23 17 base/path1
tile base 22 17 base/path2
tile base 21 17 base/path3
tile base 20 17 base/path3
tile base 19 17 base/path3
tile base 17 17 base/path2
tile base 16 17 base/path3
tile base 15 17 base/path0
tile base 13 17 base/path0
tile base 12 17 base/path1
tile base 11 17 base/path2
tile base 9 17 base/path1
tile base 8 17 base/path2
tile base 5 17 base/path0
tile base 4 17 base/path3
tile base 3 17 base/path0
tile base 2 17 base/path2
tile base 0 17 base/path1
tile base 39 16 base/path1
tile base 37 16 base/path3
tile base 36 16 base/path0
tile base 34 16 base/path1
tile base 33 16 base/path3
tile base 32 16 base/path3
tile base 30 16 base/path1
tile base 29 16 base/path2
tile base 28 16 base/path1
tile base 27 16 base/path0
tile base 26 16 base/path1
tile base 23 16 base/path1
tile base 22 16 base/path1
tile base 21 16 base/path0
tile base 18 16 base/path3
tile base 17 16 base/path0
tile base 16 16 base/path2
tile base 15 16 base/path2
tile base 14 16 base/path1
tile base 10 16 base/path1
tile base 9 16 base/path0
tile base 8 16 base/path3
tile base 7 16 base/path1
tile base 6 16 base/path0
tile base 4 16 base/path2
tile base 3 16 base/path2
tile base 2 16 base/path1
tile base 0 16 base/path3
tile base 39 15 base/path1
tile base 37 15 base/path1
tile base 36 15 base/path1
tile base 34 15 base/path2
tile base 33 15 base/path0
tile base 32 15 base/path1
tile base 31 15 base/path3
tile base 30 15 base/path0
tile base 27 15 base/path1
tile base 26 15 base/path1
tile base 25 15 base/path0
tile base 24 15 base/path0
tile base 21 15 base/path3
tile base 19 15 base/path1
tile base 18 15 base/path0
tile base 17 15 base/path0
tile base 16 15 base/path3
tile base 15 15 base/path2
tile base 14 15 base/path3
tile base 13 15 base/path0
tile base 11 15 base/path2
tile base 10 15 base/path1
tile base 9 15 base/path1
tile base 8 15 base/path0
tile base 7 15 base/path3
tile base 6 15 base/path0
tile base 4 15 base/path0
tile base 3 15 base/path3
tile base 2 15 base/path3
tile base 0 15 base/path2
tile base 39 14 base/path0
tile base 37 14 base/path2
tile base 36 14 base/path3
tile base 33 14 base/path0
tile base 32 14 base/path3
tile base 31 14 base/path2
tile base 28 14 base/path1
tile base 26 14 base/path1
tile base 25 14 base/path2
tile base 24 14 base/path2
tile base 23 14 base/path2
tile base 22 14 base/path0
tile base 19 14 base/path3
tile base 18 14 base/path0
tile base 17 14 base/path1
tile base 16 14 base/path3
tile base 15 14 base/path1
tile base 14 14 base/path3
tile base 13 14 base/path2
tile base 11 14 base/path3
tile base 10 14 base/path3
tile base 9 14 base/path2
tile base 8 14 base/path3
tile base 7 14 base/path1
tile base 6 14 base/path3
tile base 4 14 base/path3
tile base 3 14 base/path2
tile base 2 14 base/path1
tile base 0 14 base/path0
tile base 39 13 base/path0
tile base 37 13 base/path0
tile base 36 13 base/path3
tile base 35 13 base/path2
tile base 34 13 base/path2
tile base 30 13 base/path0
tile base 29 13 base/path0
tile base 28 13 base/path0
tile base 27 13 base/path3
tile base 26 13 base/path1
tile base 23 13 base/path2
tile base 22 13 base/path0
tile base 21 13 base/path0
tile base 20 13 base/path2
tile base 19 13 base/path0
tile base 17 13 base/path2
tile base 16 13 base/path3
tile base 15 13 base/path2
tile base 13 13 base/path3
tile base 12 13 base/path2
tile base 9 13 base/path3
tile base 8 13 base/path0
tile base 7 13 base/path0
tile base 6 13 base/path2
tile base 4 13 base/path1
tile base 3 13 base/path0
tile base 2 13 base/path2
tile base 0 13 base/path3
tile base 39 12 base/path0
tile base 37 12 base/path2
tile base 36 12 base/path1
tile base 35 12 base/path2
tile base 34 12 base/path2
tile base 33 12 base/path2
tile base 31 12 base/path0
tile base 30 12 base/path1
tile base 29 12 base/path1
tile base 28 12 base/path0
tile base 27 12 base/path2
tile base 26 12 base/path3
tile base 25 12 base/path2
tile base 24 12 base/path1
tile base 21 12 base/path0
tile base 20 12 base/path1
tile base 19 12 base/path3
tile base 17 12 base/path2
tile base 16 12 base/path2
tile base 15 12 base/path1
tile base 13 12 base/path3
tile base 12 12 base/path3
tile base 11 12 base/path2
tile base 10 12 base/path0
tile base 9 12 base/path3
tile base 7 12 base/path0
tile base 6 12 base/path2
tile base 4 12 base/path3
tile base 3 12 base/path3
tile base 2 12 base/path0
tile base 0 12 base/path2
tile base 39 11 base/path2
tile base 37 11 base/path1
tile base 36 11 base/path3
tile base 35 11 base/path2
tile base 34 11 base/path0
tile base 33 11 base/path1
tile base 31 11 base/path1
tile base 30 11 base/path1
tile base 29 11 base/path3
tile base 28 11 base/path2
tile base 27 11 base/path1
tile base 26 11 base/path2
tile base 25 11 base/path3
tile base 24 11 base/path1
tile base 23 11 base/path2
tile base 19 11 base/path2
tile base 17 11 base/path0
tile base 16 11 base/path1
tile base 15 11 base/path3
tile base 13 11 base/path1
tile base 12 11 base/path0
tile base 11 11 base/path3
tile base 10 11 base/path0
tile base 9 11 base/path0
tile base 8 11 base/path1
tile base 4 11 base/path1
tile base 3 11 base/path0
tile base 2 11 base/path2
tile base 0 11 base/path2
tile base 39 10 base/path1
tile base 37 10 base/path0
tile base 36 10 base/path1
tile base 35 10 base/path2
tile base 34 10 base/path0
tile base 33 10 base/path2
tile base 31 10 base/path0
tile base 30 10 base/path1
tile base 29 10 base/path0
tile base 28 10 base/path0
tile base 27 10 base/path2
tile base 26 10 base/path2
tile base 25 10 base/path3
tile base 22 10 base/path1
tile base 21 10 base/path1
tile base 20 10 base/path3
tile base 17 10 base/path0
tile base 16 10 base/path1
tile base 15 10 base/path2
tile base 13 10 base/path0
tile base 12 10 base/path2
tile base 11 10 base/path1
tile base 10 10 base/path1
tile base 9 10 base/path2
tile base 8 10 base/path0
tile base 7 10 base/path3
tile base 6 10 base/path3
tile base 3 10 base/path0
tile base 2 10 base/path3
tile base 0 10 base/path0
tile base 39 9 base/path0
tile base 37 9 base/path1
tile base 36 9 base/path1
tile base 35 9 base/path2
tile base 34 9 base/path3
tile base 33 9 base/path0
tile base 31 9 base/path3
tile base 30 9 base/path3
tile base 29 9 base/path0
tile base 28 9 base/path3
tile base 27 9 base/path2
tile base 24 9 base/path2
tile base 23 9 base/path1
tile base 22 9 base/path3
tile base 21 9 base/path2
tile base 20 9 base/path1
tile base 19 9 base/path1
tile base 17 9 base/path3
tile base 16 9 base/path2
tile base 15 9 base/path1
tile base 13 9 base/path3
tile base 12 9 base/path3
tile base 11 9 base/path1
tile base 10 9 base/path2
tile base 9 9 base/path1
tile base 8 9 base/path3
tile base 7 9 base/path1
tile base 6 9 base/path3
tile base 5 9 base/path1
tile base 4 9 base/path0
tile base 3 9 base/path3
tile base 0 9 base/path3
tile base 39 8 base/path1
tile base 37 8 base/path0
tile base 36 8 base/path0
tile base 35 8 base/path1
tile base 34 8 base/path3
tile base 33 8 base/path1
tile base 31 8 base/path0
tile base 30 8 base/path2
tile base 29 8 base/path2
tile base 26 8 base/path1
tile base 25 8 base/path2
tile base 24 8 base/path3
tile base 23 8 base/path2
tile base 22 8 base/path2
tile base 21 8 base/path2
tile base 20 8 base/path3
tile base 19 8 base/path1
tile base 17 8 base/path1
tile base 16 8 base/path0
tile base 15 8 base/path2
tile base 14 8 base/path1
tile base 11 8 base/path3
tile base 10 8 base/path1
tile base 9 8 base/path1
tile base 8 8 base/path1
tile base 7 8 base/path1
tile base 6 8 base/path0
tile base 5 8 base/path0
tile base 4 8 base/path2
tile base 3 8 base/path2
tile base 1 8 base/path2
tile base 0 8 base/path1
tile base 39 7 base/path0
tile base 37 7 base/path2
tile base 36 7 base/path1
tile base 35 7 base/path3
tile base 34 7 base/path3
tile base 32 7 base/path2
tile base 31 7 base/path0
tile base 30 7 base/path1
tile base 29 7 base/path0
tile base 28 7 base/path1
tile base 27 7 base/path0
tile base 26 7 base/path2
tile base 25 7 base/path2
tile base 24 7 base/path0
tile base 23 7 base/path1
tile base 21 7 base/path1
tile base 20 7 base/path1
tile base 19 7 base/path3
tile base 17 7 base/path3
tile base 16 7 base/path1
tile base 15 7 base/path3
tile base 14 7 base/path1
tile base 13 7 base/path1
tile base 12 7 base/path1
tile base 9 7 base/path2
tile base 8 7 base/path0
tile base 7 7 base/path2
tile base 6 7 base/path3
tile base 5 7 base/path1
tile base 4 7 base/path2
tile base 3 7 base/path2
tile base 1 7 base/path2
tile base 0 7 base/path1
