size 30 65
tileset outdoor
visibilityRadius 8
unexplored


encounter "demonsLvl20" 18 56
encounter "demonsLvl20" 18 47
encounter "demonsLvl20" 5 39
encounter "demonsLvl20" 14 37
encounter "demonsLvl20" 23 37
encounter "demonsLvl20" 22 22
encounter "demonsLvl20" 6 17
encounter "demonsLvl20" 19 9

item 1 "chest_exceptional" 14 56
tile base 5 59 base/snow1
tile base 4 59 base/snow1
tile base 3 59 base/snow1
tile base 2 59 base/snow2
tile base 1 59 base/snow2
tile base 0 59 base/snow0
tile base 29 58 base/snow1
tile base 28 58 base/snow2
tile base 27 58 base/snow2
tile base 26 58 base/snow1
tile base 25 58 base/snow0
tile base 24 58 base/snow2
tile base 23 58 base/snow2
tile base 22 58 base/snow2
tile base 21 58 base/snow0
tile base 20 58 base/snow2
tile base 19 58 base/snow1
tile base 18 58 base/snow0
tile base 17 58 base/snow1
tile base 16 58 base/snow2
tile base 15 58 base/snow1
tile base 14 58 base/snow2
tile base 13 58 base/snow2
tile base 12 58 base/snow1
tile base 11 58 base/snow1
tile base 10 58 base/snow2
tile base 9 58 base/snow1
tile base 8 58 base/snow0
tile base 7 58 base/snow2
tile base 6 58 base/snow0
tile base 5 58 base/snow0
tile base 4 58 base/snow2
tile base 3 58 base/snow2
tile base 2 58 base/snow1
tile base 1 58 base/snow2
tile base 0 58 base/snow0
tile base 29 57 base/snow1
tile base 28 57 base/snow2
tile base 27 57 base/snow1
tile base 26 57 base/snow1
tile base 25 57 base/snow0
tile base 24 57 base/snow2
tile base 23 57 base/snow0
tile base 22 57 base/snow0
tile base 21 57 base/snow1
tile base 20 57 base/snow2
tile base 19 57 base/snow0
tile base 18 57 base/snow1
tile base 17 57 base/snow0
tile base 16 57 base/snow1
tile base 15 57 base/snow0
tile base 14 57 base/snow0
tile base 13 57 base/snow0
tile base 12 57 base/snow2
tile base 11 57 base/snow0
tile base 10 57 base/snow0
tile base 9 57 base/snow1
tile base 8 57 base/snow1
tile base 7 57 base/snow0
tile base 6 57 base/snow2
tile base 5 57 base/snow1
tile base 4 57 base/snow1
tile base 3 57 base/snow1
tile base 2 57 base/snow1
tile base 1 57 base/snow0
tile base 0 57 base/snow1
tile base 29 56 base/snow2
tile base 28 56 base/snow1
tile base 27 56 base/snow0
tile base 26 56 base/snow0
tile base 25 56 base/snow0
tile base 24 56 base/snow0
tile base 23 56 base/snow0
tile base 22 56 base/snow2
tile base 21 56 base/snow0
tile base 20 56 base/snow0
tile base 19 56 base/snow1
tile base 18 56 base/snow1
tile base 17 56 base/snow0
tile base 16 56 base/snow0
tile base 15 56 base/snow1
tile base 14 56 base/snow2
tile base 13 56 base/snow1
tile base 12 56 base/snow2
tile base 11 56 base/snow2
tile base 10 56 base/snow1
tile base 9 56 base/snow2
tile base 8 56 base/snow1
tile base 7 56 base/snow0
tile base 6 56 base/snow2
tile base 5 56 base/snow0
tile base 4 56 base/snow1
tile base 3 56 base/snow0
tile base 2 56 base/snow2
tile base 1 56 base/snow1
tile base 0 56 base/snow1
tile base 29 55 base/snow2
tile base 28 55 base/snow2
tile base 27 55 base/snow2
tile base 26 55 base/snow1
tile base 25 55 base/snow2
tile base 24 55 base/snow2
tile base 23 55 base/snow0
tile base 22 55 base/snow1
tile base 21 55 base/snow2
tile base 20 55 base/snow2
tile base 19 55 base/snow2
tile base 18 55 base/snow1
tile base 17 55 base/snow2
tile base 16 55 base/snow0
tile base 15 55 base/snow0
tile base 14 55 base/snow0
tile base 13 55 base/snow2
tile base 12 55 base/snow1
tile base 11 55 base/snow1
tile base 10 55 base/snow0
tile base 9 55 base/snow0
tile base 8 55 base/snow1
tile base 7 55 base/snow2
tile base 6 55 base/snow1
tile base 5 55 base/snow2
tile base 4 55 base/snow2
tile base 3 55 base/snow2
tile base 2 55 base/snow1
tile base 1 55 base/snow2
tile base 0 55 base/snow2
tile base 29 54 base/snow2
tile base 28 54 base/snow1
tile base 27 54 base/snow1
tile base 26 54 base/snow0
tile base 25 54 base/snow1
tile base 24 54 base/snow0
tile base 23 54 base/snow1
tile base 22 54 base/snow0
tile base 21 54 base/snow1
tile base 20 54 base/snow0
tile base 19 54 base/snow0
tile base 18 54 base/snow0
tile base 17 54 base/snow0
tile base 16 54 base/snow2
tile base 15 54 base/snow1
tile base 14 54 base/snow0
tile base 13 54 base/snow1
tile base 12 54 base/snow1
tile base 11 54 base/snow2
tile base 10 54 base/snow2
tile base 9 54 base/snow2
tile base 8 54 base/snow2
tile base 7 54 base/snow0
tile base 6 54 base/snow1
tile base 5 54 base/snow2
tile base 4 54 base/snow1
tile base 3 54 base/snow0
tile base 2 54 base/snow1
tile base 1 54 base/snow0
tile base 0 54 base/snow0
tile base 29 53 base/snow1
tile base 28 53 base/snow0
tile base 27 53 base/snow0
tile base 26 53 base/snow0
tile base 25 53 base/snow0
tile base 24 53 base/snow2
tile base 23 53 base/snow1
tile base 22 53 base/snow2
tile base 21 53 base/snow0
tile base 20 53 base/snow2
tile base 19 53 base/snow2
tile base 18 53 base/snow1
tile base 17 53 base/snow1
tile base 16 53 base/snow0
tile base 15 53 base/snow1
tile base 14 53 base/snow0
tile base 13 53 base/snow0
tile base 12 53 base/snow0
tile base 11 53 base/snow0
tile base 10 53 base/snow2
tile base 9 53 base/snow1
tile base 8 53 base/snow2
tile base 7 53 base/snow1
tile base 6 53 base/snow1
tile base 5 53 base/snow0
tile base 4 53 base/snow0
tile base 3 53 base/snow2
tile base 2 53 base/snow0
tile base 1 53 base/snow2
tile base 0 53 base/snow2
tile base 29 52 base/snow1
tile base 28 52 base/snow2
tile base 27 52 base/snow0
tile base 26 52 base/snow1
tile base 25 52 base/snow0
tile base 24 52 base/snow2
tile base 23 52 base/snow1
tile base 22 52 base/snow1
tile base 21 52 base/snow1
tile base 20 52 base/snow2
tile base 19 52 base/snow2
tile base 18 52 base/snow2
tile base 17 52 base/snow0
tile base 16 52 base/snow0
tile base 15 52 base/snow1
tile base 14 52 base/snow1
tile base 13 52 base/snow1
tile base 12 52 base/snow2
tile base 11 52 base/snow2
tile base 10 52 base/snow2
tile base 9 52 base/snow0
tile base 8 52 base/snow2
tile base 7 52 base/snow2
tile base 6 52 base/snow1
tile base 5 52 base/snow1
tile base 4 52 base/snow1
tile base 3 52 base/snow2
tile base 2 52 base/snow0
tile base 1 52 base/snow1
tile base 0 52 base/snow0
tile base 29 51 base/snow1
tile base 28 51 base/snow1
tile base 27 51 base/snow0
tile base 26 51 base/snow0
tile base 25 51 base/snow0
tile base 24 51 base/snow2
tile base 23 51 base/snow2
tile base 22 51 base/snow1
tile base 21 51 base/snow2
tile base 20 51 base/snow1
tile base 19 51 base/snow0
tile base 18 51 base/snow0
tile base 17 51 base/snow1
tile base 16 51 base/snow0
tile base 15 51 base/snow0
tile base 14 51 base/snow2
tile base 13 51 base/snow1
tile base 12 51 base/snow1
tile base 11 51 base/snow0
tile base 10 51 base/snow0
tile base 9 51 base/snow1
tile base 8 51 base/snow2
tile base 7 51 base/snow2
tile base 6 51 base/snow2
tile base 5 51 base/snow1
tile base 4 51 base/snow2
tile base 3 51 base/snow2
tile base 2 51 base/snow2
tile base 1 51 base/snow1
tile base 0 51 base/snow1
tile base 29 50 base/snow1
tile base 28 50 base/snow1
tile base 27 50 base/snow1
tile base 26 50 base/snow2
tile base 25 50 base/snow2
tile base 24 50 base/snow0
tile base 23 50 base/snow1
tile base 22 50 base/snow2
tile base 21 50 base/snow2
tile base 20 50 base/snow0
tile base 19 50 base/snow1
tile base 18 50 base/snow1
tile base 17 50 base/snow0
tile base 16 50 base/snow0
tile base 15 50 base/snow2
tile base 14 50 base/snow0
tile base 13 50 base/snow1
tile base 12 50 base/snow0
tile base 11 50 base/snow2
tile base 10 50 base/snow2
tile base 9 50 base/snow0
tile base 8 50 base/snow2
tile base 7 50 base/snow1
tile base 6 50 base/snow0
tile base 5 50 base/snow0
tile base 4 50 base/snow1
tile base 3 50 base/snow1
tile base 2 50 base/snow0
tile base 1 50 base/snow2
tile base 0 50 base/snow2
tile base 29 49 base/snow0
tile base 28 49 base/snow1
tile base 27 49 base/snow2
tile base 26 49 base/snow2
tile base 25 49 base/snow1
tile base 24 49 base/snow2
tile base 23 49 base/snow2
tile base 22 49 base/snow1
tile base 21 49 base/snow0
tile base 20 49 base/snow1
tile base 19 49 base/snow1
tile base 18 49 base/snow0
tile base 17 49 base/snow1
tile base 16 49 base/snow1
tile base 15 49 base/snow1
tile base 14 49 base/snow1
tile base 13 49 base/snow0
tile base 12 49 base/snow0
tile base 11 49 base/snow2
tile base 10 49 base/snow1
tile base 9 49 base/snow0
tile base 8 49 base/snow2
tile base 7 49 base/snow0
tile base 6 49 base/snow1
tile base 5 49 base/snow2
tile base 4 49 base/snow2
tile base 3 49 base/snow2
tile base 2 49 base/snow1
tile base 1 49 base/snow0
tile base 0 49 base/snow0
tile base 29 48 base/snow0
tile base 28 48 base/snow2
tile base 27 48 base/snow2
tile base 26 48 base/snow2
tile base 25 48 base/snow1
tile base 24 48 base/snow2
tile base 23 48 base/snow2
tile base 22 48 base/snow1
tile base 21 48 base/snow0
tile base 20 48 base/snow1
tile base 19 48 base/snow0
tile base 18 48 base/snow2
tile base 17 48 base/snow0
tile base 16 48 base/snow0
tile base 15 48 base/snow0
tile base 14 48 base/snow2
tile base 13 48 base/snow0
tile base 12 48 base/snow2
tile base 11 48 base/snow1
tile base 10 48 base/snow1
tile base 9 48 base/snow1
tile base 8 48 base/snow1
tile base 7 48 base/snow0
tile base 6 48 base/snow0
tile base 5 48 base/snow0
tile base 4 48 base/snow1
tile base 3 48 base/snow2
tile base 2 48 base/snow1
tile base 1 48 base/snow1
tile base 0 48 base/snow1
tile base 29 47 base/snow0
tile base 28 47 base/snow2
tile base 27 47 base/snow2
tile base 26 47 base/snow1
tile base 25 47 base/snow2
tile base 24 47 base/snow1
tile base 23 47 base/snow2
tile base 22 47 base/snow1
tile base 21 47 base/snow0
tile base 20 47 base/snow1
tile base 19 47 base/snow1
tile base 18 47 base/snow1
tile base 17 47 base/snow1
tile base 16 47 base/snow2
tile base 15 47 base/snow0
tile base 14 47 base/snow2
tile base 13 47 base/snow0
tile base 12 47 base/snow0
tile base 11 47 base/snow0
tile base 10 47 base/snow1
tile base 9 47 base/snow2
tile base 8 47 base/snow0
tile base 7 47 base/snow1
tile base 6 47 base/snow2
tile base 5 47 base/snow1
tile base 4 47 base/snow0
tile base 3 47 base/snow2
tile base 2 47 base/snow2
tile base 1 47 base/snow2
tile base 0 47 base/snow2
tile base 29 46 base/snow2
tile base 28 46 base/snow0
tile base 27 46 base/snow2
tile base 26 46 base/snow0
tile base 25 46 base/snow2
tile base 24 46 base/snow0
tile base 23 46 base/snow2
tile base 22 46 base/snow0
tile base 21 46 base/snow2
tile base 20 46 base/snow0
tile base 19 46 base/snow2
tile base 18 46 base/snow0
tile base 17 46 base/snow1
tile base 16 46 base/snow0
tile base 15 46 base/snow1
tile base 14 46 base/snow2
tile base 13 46 base/snow0
tile base 12 46 base/snow1
tile base 11 46 base/snow2
tile base 10 46 base/snow0
tile base 9 46 base/snow0
tile base 8 46 base/snow0
tile base 7 46 base/snow0
tile base 6 46 base/snow1
tile base 5 46 base/snow0
tile base 4 46 base/snow1
tile base 3 46 base/snow2
tile base 2 46 base/snow2
tile base 1 46 base/snow1
tile base 0 46 base/snow1
tile base 29 45 base/snow1
tile base 28 45 base/snow0
tile base 27 45 base/snow1
tile base 26 45 base/snow0
tile base 25 45 base/snow2
tile base 24 45 base/snow1
tile base 23 45 base/snow0
tile base 22 45 base/snow0
tile base 21 45 base/snow2
tile base 20 45 base/snow1
tile base 19 45 base/snow1
tile base 18 45 base/snow2
tile base 17 45 base/snow0
tile base 16 45 base/snow1
tile base 15 45 base/snow0
tile base 14 45 base/snow0
tile base 13 45 base/snow1
tile base 12 45 base/snow1
tile base 11 45 base/snow2
tile base 10 45 base/snow0
tile base 9 45 base/snow2
tile base 8 45 base/snow1
tile base 7 45 base/snow0
tile base 6 45 base/snow2
tile base 5 45 base/snow1
tile base 4 45 base/snow1
tile base 3 45 base/snow1
tile base 2 45 base/snow0
tile base 1 45 base/snow0
tile base 0 45 base/snow0
tile base 29 44 base/snow1
tile base 28 44 base/snow2
tile base 27 44 base/snow1
tile base 26 44 base/snow2
tile base 25 44 base/snow1
tile base 24 44 base/snow0
tile base 23 44 base/snow1
tile base 22 44 base/snow2
tile base 21 44 base/snow2
tile base 20 44 base/snow1
tile base 19 44 base/snow2
tile base 18 44 base/snow0
tile base 17 44 base/snow2
tile base 16 44 base/snow1
tile base 15 44 base/snow2
tile base 14 44 base/snow2
tile base 13 44 base/snow2
tile base 12 44 base/snow1
tile base 11 44 base/snow2
tile base 10 44 base/snow1
tile base 9 44 base/snow2
tile base 8 44 base/snow2
tile base 7 44 base/snow0
tile base 6 44 base/snow0
tile base 5 44 base/snow0
tile base 4 44 base/snow2
tile base 3 44 base/snow2
tile base 2 44 base/snow1
tile base 1 44 base/snow0
tile base 0 44 base/snow0
tile base 29 43 base/snow2
tile base 28 43 base/snow1
tile base 27 43 base/snow0
tile base 26 43 base/snow1
tile base 25 43 base/snow2
tile base 24 43 base/snow1
tile base 23 43 base/snow0
tile base 22 43 base/snow0
tile base 21 43 base/snow1
tile base 20 43 base/snow1
tile base 19 43 base/snow1
tile base 18 43 base/snow2
tile base 17 43 base/snow0
tile base 16 43 base/snow2
tile base 15 43 base/snow1
tile base 14 43 base/snow1
tile base 13 43 base/snow1
tile base 12 43 base/snow0
tile base 11 43 base/snow2
tile base 10 43 base/snow2
tile base 9 43 base/snow1
tile base 8 43 base/snow0
tile base 7 43 base/snow1
tile base 6 43 base/snow1
tile base 5 43 base/snow1
tile base 4 43 base/snow2
tile base 3 43 base/snow1
tile base 2 43 base/snow2
tile base 1 43 base/snow1
tile base 0 43 base/snow2
tile base 29 42 base/snow2
tile base 28 42 base/snow2
tile base 27 42 base/snow2
tile base 26 42 base/snow1
tile base 25 42 base/snow2
tile base 24 42 base/snow0
tile base 23 42 base/snow1
tile base 22 42 base/snow1
tile base 21 42 base/snow2
tile base 20 42 base/snow2
tile base 19 42 base/snow1
tile base 18 42 base/snow0
tile base 17 42 base/snow0
tile base 16 42 base/snow1
tile base 15 42 base/snow0
tile base 14 42 base/snow1
tile base 13 42 base/snow1
tile base 12 42 base/snow0
tile base 11 42 base/snow2
tile base 10 42 base/snow2
tile base 9 42 base/snow0
tile base 8 42 base/snow2
tile base 7 42 base/snow0
tile base 6 42 base/snow0
tile base 5 42 base/snow1
tile base 4 42 base/snow2
tile base 3 42 base/snow0
tile base 2 42 base/snow1
tile base 1 42 base/snow2
tile base 0 42 base/snow0
tile base 29 41 base/snow1
tile base 28 41 base/snow2
tile base 27 41 base/snow1
tile base 26 41 base/snow0
tile base 25 41 base/snow2
tile base 24 41 base/snow0
tile base 23 41 base/snow0
tile base 22 41 base/snow1
tile base 21 41 base/snow1
tile base 20 41 base/snow1
tile base 19 41 base/snow2
tile base 18 41 base/snow2
tile base 17 41 base/snow0
tile base 16 41 base/snow0
tile base 15 41 base/snow2
tile base 14 41 base/snow2
tile base 13 41 base/snow1
tile base 12 41 base/snow2
tile base 11 41 base/snow0
tile base 10 41 base/snow2
tile base 9 41 base/snow0
tile base 8 41 base/snow1
tile base 7 41 base/snow1
tile base 6 41 base/snow1
tile base 5 41 base/snow1
tile base 4 41 base/snow1
tile base 3 41 base/snow1
tile base 2 41 base/snow2
tile base 1 41 base/snow1
tile base 0 41 base/snow0
tile base 29 40 base/snow0
tile base 28 40 base/snow1
tile base 27 40 base/snow1
tile base 26 40 base/snow2
tile base 25 40 base/snow0
tile base 24 40 base/snow0
tile base 23 40 base/snow0
tile base 22 40 base/snow0
tile base 21 40 base/snow2
tile base 20 40 base/snow1
tile base 19 40 base/snow0
tile base 18 40 base/snow1
tile base 17 40 base/snow0
tile base 16 40 base/snow2
tile base 15 40 base/snow2
tile base 14 40 base/snow0
tile base 13 40 base/snow2
tile base 12 40 base/snow0
tile base 11 40 base/snow0
tile base 10 40 base/snow0
tile base 9 40 base/snow2
tile base 8 40 base/snow0
tile base 7 40 base/snow0
tile base 6 40 base/snow2
tile base 5 40 base/snow0
tile base 4 40 base/snow0
tile base 3 40 base/snow1
tile base 2 40 base/snow2
tile base 1 40 base/snow0
tile base 0 40 base/snow1
tile base 29 39 base/snow2
tile base 28 39 base/snow1
tile base 27 39 base/snow0
tile base 26 39 base/snow0
tile base 25 39 base/snow0
tile base 24 39 base/snow2
tile base 23 39 base/snow0
tile base 22 39 base/snow1
tile base 21 39 base/snow0
tile base 20 39 base/snow1
tile base 19 39 base/snow2
tile base 18 39 base/snow2
tile base 17 39 base/snow0
tile base 16 39 base/snow2
tile base 15 39 base/snow0
tile base 14 39 base/snow0
tile base 13 39 base/snow2
tile base 12 39 base/snow0
tile base 11 39 base/snow2
tile base 10 39 base/snow0
tile base 9 39 base/snow1
tile base 8 39 base/snow2
tile base 7 39 base/snow0
tile base 6 39 base/snow0
tile base 5 39 base/snow2
tile base 4 39 base/snow0
tile base 3 39 base/snow1
tile base 2 39 base/snow1
tile base 1 39 base/snow0
tile base 0 39 base/snow2
tile base 29 38 base/snow2
tile base 28 38 base/snow1
tile base 27 38 base/snow2
tile base 26 38 base/snow1
tile base 25 38 base/snow2
tile base 24 38 base/snow0
tile base 23 38 base/snow1
tile base 22 38 base/snow1
tile base 21 38 base/snow2
tile base 20 38 base/snow0
tile base 19 38 base/snow1
tile base 18 38 base/snow2
tile base 17 38 base/snow0
tile base 16 38 base/snow0
tile base 15 38 base/snow2
tile base 14 38 base/snow2
tile base 13 38 base/snow2
tile base 12 38 base/snow2
tile base 11 38 base/snow0
tile base 10 38 base/snow2
tile base 9 38 base/snow0
tile base 8 38 base/snow1
tile base 7 38 base/snow1
tile base 6 38 base/snow0
tile base 5 38 base/snow2
tile base 4 38 base/snow2
tile base 3 38 base/snow2
tile base 2 38 base/snow2
tile base 1 38 base/snow2
tile base 0 38 base/snow1
tile base 29 37 base/snow2
tile base 28 37 base/snow1
tile base 27 37 base/snow0
tile base 26 37 base/snow0
tile base 25 37 base/snow2
tile base 24 37 base/snow0
tile base 23 37 base/snow1
tile base 22 37 base/snow1
tile base 21 37 base/snow2
tile base 20 37 base/snow2
tile base 19 37 base/snow2
tile base 18 37 base/snow2
tile base 17 37 base/snow2
tile base 16 37 base/snow2
tile base 15 37 base/snow1
tile base 14 37 base/snow2
tile base 13 37 base/snow0
tile base 12 37 base/snow1
tile base 11 37 base/snow1
tile base 10 37 base/snow0
tile base 9 37 base/snow2
tile base 8 37 base/snow0
tile base 7 37 base/snow1
tile base 6 37 base/snow1
tile base 5 37 base/snow0
tile base 4 37 base/snow2
tile base 3 37 base/snow1
tile base 2 37 base/snow2
tile base 1 37 base/snow1
tile base 0 37 base/snow1
tile base 29 36 base/snow0
tile base 28 36 base/snow2
tile base 27 36 base/snow2
tile base 26 36 base/snow2
tile base 25 36 base/snow0
tile base 24 36 base/snow0
tile base 23 36 base/snow1
tile base 22 36 base/snow1
tile base 21 36 base/snow2
tile base 20 36 base/snow2
tile base 19 36 base/snow1
tile base 18 36 base/snow2
tile base 17 36 base/snow1
tile base 16 36 base/snow2
tile base 15 36 base/snow0
tile base 14 36 base/snow2
tile base 13 36 base/snow0
tile base 12 36 base/snow2
tile base 11 36 base/snow0
tile base 10 36 base/snow2
tile base 9 36 base/snow1
tile base 8 36 base/snow1
tile base 7 36 base/snow2
tile base 6 36 base/snow0
tile base 5 36 base/snow2
tile base 4 36 base/snow1
tile base 3 36 base/snow0
tile base 2 36 base/snow1
tile base 1 36 base/snow2
tile base 0 36 base/snow1
tile base 29 35 base/snow0
tile base 28 35 base/snow0
tile base 27 35 base/snow0
tile base 26 35 base/snow2
tile base 25 35 base/snow0
tile base 24 35 base/snow0
tile base 23 35 base/snow2
tile base 22 35 base/snow2
tile base 21 35 base/snow2
tile base 20 35 base/snow1
tile base 19 35 base/snow1
tile base 18 35 base/snow2
tile base 17 35 base/snow0
tile base 16 35 base/snow0
tile base 15 35 base/snow0
tile base 14 35 base/snow0
tile base 13 35 base/snow2
tile base 12 35 base/snow0
tile base 11 35 base/snow0
tile base 10 35 base/snow1
tile base 9 35 base/snow2
tile base 8 35 base/snow2
tile base 7 35 base/snow0
tile base 6 35 base/snow1
tile base 5 35 base/snow0
tile base 4 35 base/snow2
tile base 3 35 base/snow2
tile base 2 35 base/snow2
tile base 1 35 base/snow0
tile base 0 35 base/snow2
tile base 29 34 base/snow0
tile base 28 34 base/snow0
tile base 27 34 base/snow2
tile base 26 34 base/snow2
tile base 25 34 base/snow0
tile base 24 34 base/snow1
tile base 23 34 base/snow2
tile base 22 34 base/snow2
tile base 21 34 base/snow0
tile base 20 34 base/snow2
tile base 19 34 base/snow2
tile base 18 34 base/snow1
tile base 17 34 base/snow0
tile base 16 34 base/snow0
tile base 15 34 base/snow1
tile base 14 34 base/snow0
tile base 13 34 base/snow2
tile base 12 34 base/snow2
tile base 11 34 base/snow1
tile base 10 34 base/snow1
tile base 9 34 base/snow0
tile base 8 34 base/snow2
tile base 7 34 base/snow0
tile base 6 34 base/snow1
tile base 5 34 base/snow0
tile base 4 34 base/snow0
tile base 3 34 base/snow2
tile base 2 34 base/snow1
tile base 1 34 base/snow1
tile base 0 34 base/snow1
tile base 29 33 base/snow2
tile base 28 33 base/snow2
tile base 27 33 base/snow1
tile base 26 33 base/snow1
tile base 25 33 base/snow0
tile base 24 33 base/snow0
tile base 23 33 base/snow2
tile base 22 33 base/snow0
tile base 21 33 base/snow1
tile base 20 33 base/snow1
tile base 19 33 base/snow0
tile base 18 33 base/snow1
tile base 17 33 base/snow2
tile base 16 33 base/snow0
tile base 15 33 base/snow2
tile base 14 33 base/snow0
tile base 13 33 base/snow2
tile base 12 33 base/snow2
tile base 11 33 base/snow2
tile base 10 33 base/snow2
tile base 9 33 base/snow0
tile base 8 33 base/snow1
tile base 7 33 base/snow2
tile base 6 33 base/snow2
tile base 5 33 base/snow1
tile base 4 33 base/snow1
tile base 3 33 base/snow1
tile base 2 33 base/snow2
tile base 1 33 base/snow2
tile base 0 33 base/snow0
tile base 29 32 base/snow2
tile base 28 32 base/snow1
